Callsign,Code,Number,AirlineCode,AirportCodes
AEH101,AEH,101,AEH,FMCZ-FMEE
AEH102,AEH,102,AEH,FMEE-FMCZ
AEH1220,AEH,1220,AEH,LFCR-LFPO
AEH1221,AEH,1221,AEH,LFPO-LFCR
AEH1226,AEH,1226,AEH,LFCR-LFPO
AEH1227,AEH,1227,AEH,LFPO-LFCR
AEH1228,AEH,1228,AEH,LFCR-LFPO
AEH1229,AEH,1229,AEH,LFPO-LFCR
AEH1997,AEH,1997,AEH,EDDB-EDDK
AEH201,AEH,201,AEH,FMCZ-FMEE
AEH202,AEH,202,AEH,FMEE-FMCZ
AEH401,AEH,401,AEH,FMCZ-FMEE
AEH402,AEH,402,AEH,FMEE-FMCZ
AEH501,AEH,501,AEH,FMCZ-FMEE
AEH502,AEH,502,AEH,FMEE-FMCZ
AEH601,AEH,601,AEH,FMCZ-FMEE
AEH602,AEH,602,AEH,FMEE-FMCZ
AEH603,AEH,603,AEH,FMEE-FMCZ
AEH701,AEH,701,AEH,FMCZ-FMEE
AEH901,AEH,901,AEH,FMCZ-FMEE
AEH902,AEH,902,AEH,FMEE-FMCZ
AEH907,AEH,907,AEH,FMCZ-FMEP
