Callsign,Code,Number,AirlineCode,AirportCodes
AFR9,AFR,9,AFR,KJFK-LFPG
AFR90,AFR,90,AFR,LFPG-KMIA
AFR900,AFR,900,AFR,LFPG-FKKD-FKYS-LFPG
AFR901,AFR,901,AFR,FKYS-LFPG
AFR901N,AFR,901N,AFR,LEMD-LFPG
AFR902,AFR,902,AFR,LFPG-FKYS
AFR903,AFR,903,AFR,FKYS-LFPG
AFR904,AFR,904,AFR,LIML-LFPG
AFR905,AFR,905,AFR,FMMI-LFPG
AFR905N,AFR,905N,AFR,EDDM-LFPG
AFR906,AFR,906,AFR,LFPG-EDDL
AFR907,AFR,907,AFR,EDDL-LFPG
AFR907T,AFR,907T,AFR,LFPG-EIDW
AFR908,AFR,908,AFR,LFPG-FMMI
AFR909C,AFR,909C,AFR,LFPG-LKPR
AFR90A,AFR,90A,AFR,LFPG-EDDL
AFR910,AFR,910,AFR,LFPG-MDPC
AFR910D,AFR,910D,AFR,LFPG-LIPZ
AFR911J,AFR,911J,AFR,LFPG-LIRQ
AFR912,AFR,912,AFR,LFPG-DFFD-DGAA-LFPG
AFR913,AFR,913,AFR,MDPC-LFPG
AFR9139,AFR,9139,AFR,LFPG-UUEE
AFR914,AFR,914,AFR,LFPG-DIAP-DFFD-LFPG
AFR914E,AFR,914E,AFR,LFBO-LIPZ
AFR914F,AFR,914F,AFR,LKPR-LFPG
AFR916,AFR,916,AFR,LFPG-FOOL
AFR916Z,AFR,916Z,AFR,LFPG-EGLL
AFR917,AFR,917,AFR,MDPC-LFPG
AFR917M,AFR,917M,AFR,LFPG-EGCC
AFR919K,AFR,919K,AFR,LFOK-LFPG
AFR91AB,AFR,91AB,AFR,LFMP-LFPO
AFR91AC,AFR,91AC,AFR,LFPG-LFMN
AFR91AL,AFR,91AL,AFR,LFLL-LFBP
AFR91AN,AFR,91AN,AFR,LIMF-LFPG
AFR91AU,AFR,91AU,AFR,LFBD-LFPO
AFR91AZ,AFR,91AZ,AFR,LFSB-LFPO
AFR91BL,AFR,91BL,AFR,LFPG-EDDT
AFR91FF,AFR,91FF,AFR,GMMX-LFPG
AFR91FH,AFR,91FH,AFR,LIMF-LFPG
AFR91FT,AFR,91FT,AFR,LFPG-LKPR
AFR91FW,AFR,91FW,AFR,LFLL-LFBD
AFR91FZ,AFR,91FZ,AFR,LFPG-LEZL
AFR91GR,AFR,91GR,AFR,LFPG-EGLL
AFR91HA,AFR,91HA,AFR,LFPG-EHAM
AFR91HL,AFR,91HL,AFR,LFPG-ESSA
AFR91HV,AFR,91HV,AFR,LFPG-ESSA
AFR91HZ,AFR,91HZ,AFR,LFKJ-LFPO
AFR91JM,AFR,91JM,AFR,LFPG-EDDM
AFR91JW,AFR,91JW,AFR,LFPG-EDDW
AFR91JZ,AFR,91JZ,AFR,LFBO-LEIB
AFR91KB,AFR,91KB,AFR,LFTH-LFPG
AFR91KH,AFR,91KH,AFR,LFSB-LFPG
AFR91KT,AFR,91KT,AFR,LFPO-LFML
AFR91LA,AFR,91LA,AFR,GMME-LFPG
AFR91LE,AFR,91LE,AFR,LIML-LFPG
AFR91LR,AFR,91LR,AFR,LFPG-ENGM
AFR91LV,AFR,91LV,AFR,EDDV-LFPG
AFR91MC,AFR,91MC,AFR,LFBD-LFPG
AFR91MD,AFR,91MD,AFR,LEZL-LFPG
AFR91MM,AFR,91MM,AFR,EKBI-LFPG
AFR91MY,AFR,91MY,AFR,LFSB-LFPG
AFR91NY,AFR,91NY,AFR,LFBD-LFKB
AFR91PP,AFR,91PP,AFR,LFPG-EKCH
AFR91PV,AFR,91PV,AFR,LFPO-LFPO
AFR91PW,AFR,91PW,AFR,LFPG-ESGG
AFR91QD,AFR,91QD,AFR,LYBE-LFPG
AFR91QG,AFR,91QG,AFR,LFPG-LPPT
AFR91RH,AFR,91RH,AFR,EGPH-LFPG
AFR91RW,AFR,91RW,AFR,LFPG-EPWA
AFR91RY,AFR,91RY,AFR,LFPG-LPFR
AFR91SR,AFR,91SR,AFR,LFPG-LIML
AFR91ST,AFR,91ST,AFR,EDDS-LFPG
AFR91TJ,AFR,91TJ,AFR,EDDB-LFPG
AFR91TU,AFR,91TU,AFR,LFPO-LFKC
AFR91TY,AFR,91TY,AFR,LFPG-LSGG
AFR91UA,AFR,91UA,AFR,LFPG-LIBD
AFR91UG,AFR,91UG,AFR,EDDH-LFPG
AFR91UV,AFR,91UV,AFR,LFPG-EGLL
AFR91VA,AFR,91VA,AFR,LFPO-LFBO
AFR91VN,AFR,91VN,AFR,LKPR-LFPG
AFR91VQ,AFR,91VQ,AFR,LFML-LFPO
AFR91WH,AFR,91WH,AFR,EDDF-LFPG
AFR91WW,AFR,91WW,AFR,LFBZ-LFPO
AFR91WX,AFR,91WX,AFR,LFKF-LFRN
AFR91XN,AFR,91XN,AFR,LFBO-LFLL
AFR91YL,AFR,91YL,AFR,EHAM-LFPG
AFR91YR,AFR,91YR,AFR,LFLL-LFRB
AFR91ZG,AFR,91ZG,AFR,LFPG-LFBD
AFR91ZK,AFR,91ZK,AFR,LFPG-EKCH
AFR91ZQ,AFR,91ZQ,AFR,LFMN-LFPG
AFR91ZR,AFR,91ZR,AFR,LFPG-LFBP
AFR92,AFR,92,AFR,LFPG-KMIA
AFR921C,AFR,921C,AFR,LFMN-LFQQ
AFR921E,AFR,921E,AFR,LOWW-LFPG
AFR926,AFR,926,AFR,LFPG-FOOL
AFR9260,AFR,9260,AFR,LFPG-KMIA
AFR9262,AFR,9262,AFR,LFPG-FTTJ-DGAA-LFPG
AFR9263,AFR,9263,AFR,KBOS-LFPG
AFR9264,AFR,9264,AFR,LFPG-KIAD
AFR9269,AFR,9269,AFR,KMIA-LFPG
AFR927,AFR,927,AFR,FNLU-LFPG
AFR9270,AFR,9270,AFR,LFPG-DTTA
AFR9271,AFR,9271,AFR,DTTA-LFPG
AFR9272,AFR,9272,AFR,LFPG-DRRN-DXXX-LFPG
AFR928,AFR,928,AFR,LFPG-FNLU
AFR929,AFR,929,AFR,FNLU-LFPG
AFR92AA,AFR,92AA,AFR,LFRS-LFLL
AFR92AC,AFR,92AC,AFR,ESGG-LFPG
AFR92AE,AFR,92AE,AFR,LHBP-LFPG
AFR92AN,AFR,92AN,AFR,LFBP-LFLL
AFR92AU,AFR,92AU,AFR,LFBZ-LFPG
AFR92BD,AFR,92BD,AFR,LFML-LFLL
AFR92BG,AFR,92BG,AFR,LFPG-GMMN
AFR92CA,AFR,92CA,AFR,LFPG-LFSB
AFR92CB,AFR,92CB,AFR,LFLC-LFPG
AFR92CD,AFR,92CD,AFR,LFPG-LFSB
AFR92CE,AFR,92CE,AFR,EDDM-LFPG
AFR92DL,AFR,92DL,AFR,LFML-LFPG
AFR92DN,AFR,92DN,AFR,LFBP-LFPG
AFR92DP,AFR,92DP,AFR,LFLL-LFRS
AFR92DX,AFR,92DX,AFR,EGPH-LFPG
AFR92DY,AFR,92DY,AFR,LFLW-LFPO
AFR92DZ,AFR,92DZ,AFR,LFBO-LFPO
AFR92EK,AFR,92EK,AFR,LFPG-LEBL
