Callsign,Code,Number,AirlineCode,AirportCodes
AHY101,AHY,101,AHY,UBBB-KJFK
AHY102,AHY,102,AHY,KJFK-UBBB
AHY107,AHY,107,AHY,UBBB-EGLL
AHY108,AHY,108,AHY,EGLL-UBBB
AHY109,AHY,109,AHY,UBBB-LKPR
AHY1092,AHY,1092,AHY,OEJN-UBBB
AHY11,AHY,11,AHY,UBBB-OMDB
AHY110,AHY,110,AHY,LKPR-UBBB
AHY111,AHY,111,AHY,UBBB-OMDB
AHY112,AHY,112,AHY,OMDB-UBBB
AHY116,AHY,116,AHY,OMDB-UBBB
AHY12,AHY,12,AHY,OMDB-UBBB
AHY120,AHY,120,AHY,OKBK-UBBB
AHY121,AHY,121,AHY,ULLI-UBBG
AHY122,AHY,122,AHY,UBBG-ULLI
AHY123,AHY,123,AHY,UBBB-LTFE
AHY124,AHY,124,AHY,LTFE-UBBB
AHY125,AHY,125,AHY,UBBB-LTAI
AHY126,AHY,126,AHY,LTAI-UBBB
AHY15,AHY,15,AHY,UBBB-OMDB
AHY16,AHY,16,AHY,OMDB-UBBB
AHY162,AHY,162,AHY,LTBS-UBBB
AHY1715,AHY,1715,AHY,UBBB-URWA
AHY1716,AHY,1716,AHY,UKBB-UBBB
AHY175,AHY,175,AHY,UBBB-LTFM
AHY176,AHY,176,AHY,LTFM-UBBB
AHY177,AHY,177,AHY,UBBB-LTFM
AHY178,AHY,178,AHY,LTFM-UBBB
AHY181,AHY,181,AHY,UBBB-UUDD
AHY182,AHY,182,AHY,UUDD-UBBB
AHY184,AHY,184,AHY,UUDD-UBBB
AHY19,AHY,19,AHY,UBBB-ULLI
AHY20,AHY,20,AHY,ULLI-UBBB
AHY21,AHY,21,AHY,UBBB-LLBG
AHY2153,AHY,2153,AHY,UBBB-UBBN
AHY22,AHY,22,AHY,LLBG-UBBB
AHY2251,AHY,2251,AHY,UBBB-UBBN
AHY23,AHY,23,AHY,UBBB-LTFE
AHY24,AHY,24,AHY,LTFE-UBBB
AHY253,AHY,253,AHY,UBBB-UBBN
AHY254,AHY,254,AHY,UBBN-UBBB
AHY255,AHY,255,AHY,UBBB-UBBN
AHY256,AHY,256,AHY,UBBN-UBBB
AHY257,AHY,257,AHY,UBBB-UBBN
AHY258,AHY,258,AHY,UBBN-UBBB
AHY26,AHY,26,AHY,LTAI-UBBB
AHY3001,AHY,3001,AHY,UBBB-LFSB
AHY3002,AHY,3002,AHY,LFSB-UBBB
AHY3007,AHY,3007,AHY,LFSB-UBBB
AHY3008,AHY,3008,AHY,EGSS-UBBB
AHY33,AHY,33,AHY,UBBB-EGPD
AHY34,AHY,34,AHY,EGPD-UBBB
AHY35,AHY,35,AHY,UBBB-LFPG
AHY36,AHY,36,AHY,LIMC-UBBB
AHY37,AHY,37,AHY,UBBB-LIRF
AHY38,AHY,38,AHY,LIRF-UBBB
AHY4,AHY,4,AHY,UBBB-LATI
AHY4007,AHY,4007,AHY,UBBB-EGLL
AHY4009,AHY,4009,AHY,UBBB-LZIB
AHY4015,AHY,4015,AHY,UBBB-EIDW
AHY4021,AHY,4021,AHY,UBBB-EDDN
AHY4026,AHY,4026,AHY,LSZH-UBBB
AHY4036,AHY,4036,AHY,LFSB-UBBB
AHY4107,AHY,4107,AHY,UBBB-EGLL
AHY4108,AHY,4108,AHY,EGLL-UBBB
AHY4176,AHY,4176,AHY,LTFM-UBBB
AHY45,AHY,45,AHY,UBBB-LEBL
AHY46,AHY,46,AHY,LEBL-UBBB
AHY5001,AHY,5001,AHY,UBBB-VIDP
AHY5003,AHY,5003,AHY,EBBR-OAKB
AHY5006,AHY,5006,AHY,EGBB-UBBB
AHY5007,AHY,5007,AHY,UBBB-EGGW
AHY5009,AHY,5009,AHY,UBBB-LSGG
AHY5010,AHY,5010,AHY,LSGG-UBBB
AHY5053,AHY,5053,AHY,UBBB-UAAA
AHY5054,AHY,5054,AHY,UAAA-UBBB
AHY51,AHY,51,AHY,UBBB-UKLL
AHY5101,AHY,5101,AHY,UBBB-LFMN
AHY5102,AHY,5102,AHY,LFMN-UBBB
AHY5103,AHY,5103,AHY,UBBB-EGGW
AHY5104,AHY,5104,AHY,EGGW-UBBB
AHY5105,AHY,5105,AHY,UBBB-EGGW
AHY5106,AHY,5106,AHY,EGGW-UBBB
AHY5107,AHY,5107,AHY,UBBB-EGGW
AHY5108,AHY,5108,AHY,EGGW-UBBB
AHY5109,AHY,5109,AHY,UBBB-LIPE
AHY5110,AHY,5110,AHY,LIPE-UBBB
AHY5111,AHY,5111,AHY,UBBB-LIRQ
AHY5112,AHY,5112,AHY,LIRQ-UBBB
AHY5120,AHY,5120,AHY,OKBK-UBBB
AHY5121,AHY,5121,AHY,UBBB-LKPR
AHY5122,AHY,5122,AHY,LKPR-UBBB
AHY5181,AHY,5181,AHY,UUBW-UBBG
AHY5182,AHY,5182,AHY,UBBG-UUBW
AHY52,AHY,52,AHY,UKLL-UBBB
AHY5207,AHY,5207,AHY,UBBB-EGGW
AHY53,AHY,53,AHY,UBBB-UAAA
AHY5310,AHY,5310,AHY,EGGW-UBBB
AHY54,AHY,54,AHY,UAAA-UBBB
AHY551,AHY,551,AHY,UBBB-UNNT
AHY552,AHY,552,AHY,UNNT-UBBB
AHY555,AHY,555,AHY,UBBB-UNKL
AHY556,AHY,556,AHY,UNKL-UBBB
AHY558,AHY,558,AHY,USPP-UBBB
AHY573,AHY,573,AHY,UBBB-UWGG
AHY574,AHY,574,AHY,UWGG-UBBB
AHY576,AHY,576,AHY,UWKD-UBBB
AHY63,AHY,63,AHY,UBBB-EDDB
AHY64,AHY,64,AHY,EDDB-UBBB
AHY645,AHY,645,AHY,UBBB-USSS
AHY646,AHY,646,AHY,USSS-UBBB
AHY67,AHY,67,AHY,UBBB-ZBAA
AHY6731,AHY,6731,AHY,UBBB-LSGG
AHY6732,AHY,6732,AHY,LSGG-UBBB
AHY6733,AHY,6733,AHY,UBBB-LTBA
AHY6734,AHY,6734,AHY,EGLL-UBBB
AHY6735,AHY,6735,AHY,UBBB-LFPB
AHY6736,AHY,6736,AHY,UBBB-LFPB-EGLL
AHY68,AHY,68,AHY,ZBAA-UBBB
AHY683,AHY,683,AHY,UBBB-UKBB
AHY684,AHY,684,AHY,UKBB-UBBB
AHY7,AHY,7,AHY,UBBB-EGLL
AHY7006,AHY,7006,AHY,EIDW-UBBB
AHY701,AHY,701,AHY,UBBB-UMMS
AHY7017,AHY,7017,AHY,UBBB-EGLL
AHY702,AHY,702,AHY,UMMS-UBBB
AHY7105,AHY,7105,AHY,UBBB-LFLL
AHY73,AHY,73,AHY,UBBB-LFPG
AHY74,AHY,74,AHY,LFPG-UBBB
AHY75,AHY,75,AHY,UBBB-LTFM
AHY76,AHY,76,AHY,LTFM-UBBB
AHY77,AHY,77,AHY,UBBB-LTFM
AHY78,AHY,78,AHY,LTFM-UBBB
AHY79,AHY,79,AHY,UBBB-LTFM
AHY8,AHY,8,AHY,EGLL-UBBB
