Callsign,Code,Number,AirlineCode,AirportCodes
AIC10,AIC,10,AIC,VIDP-VAAH
AIC101,AIC,101,AIC,VIDP-KJFK
AIC101D,AIC,101D,AIC,VIDP-KJFK
AIC102,AIC,102,AIC,KJFK-VIDP
AIC102D,AIC,102D,AIC,KJFK-VABB
AIC103,AIC,103,AIC,VIDP-KIAD
AIC104,AIC,104,AIC,KIAD-VIDP
AIC105,AIC,105,AIC,VIDP-KEWR
AIC106,AIC,106,AIC,KEWR-VIDP
AIC106D,AIC,106D,AIC,KJFK-VABB
AIC107,AIC,107,AIC,VOHS-KORD
AIC108,AIC,108,AIC,KORD-VOHS
AIC109,AIC,109,AIC,VIDP-KORD
AIC11,AIC,11,AIC,VAAH-VIDP
AIC110,AIC,110,AIC,KORD-VIDP
AIC1102,AIC,1102,AIC,VIDP-VABB-VAAH-VIDP
AIC1105,AIC,1105,AIC,VOCI-VIDP
AIC111,AIC,111,AIC,VIDP-EGLL
AIC1116,AIC,1116,AIC,EBBR-VIDP
AIC1117,AIC,1117,AIC,VIDP-VIAR-EGBB
AIC1118,AIC,1118,AIC,EGBB-VIAR-VIDP
AIC112,AIC,112,AIC,EGLL-VIDP
AIC1121,AIC,1121,AIC,VABB-EHAM
AIC1122,AIC,1122,AIC,LIRF-VIDP
AIC1123,AIC,1123,AIC,VIDP-VIAR-LIRF
AIC1126,AIC,1126,AIC,VIDP-VOMM-VOHS-VIDP
AIC1128,AIC,1128,AIC,EGLL-VABB
AIC112D,AIC,112D,AIC,EGLL-VIDP
AIC113,AIC,113,AIC,VIDP-EGBB
AIC1135,AIC,1135,AIC,VOBL-EDDF
AIC1136,AIC,1136,AIC,EDDF-VOBL
AIC114,AIC,114,AIC,EGBB-VIDP
AIC1143,AIC,1143,AIC,VIDP-CYVR
AIC1147,AIC,1147,AIC,VABB-EGLL
AIC1149,AIC,1149,AIC,VECC-EGLL
AIC114D,AIC,114D,AIC,EGBB-VIDP
AIC115,AIC,115,AIC,VIAR-VIDP-EGLL
AIC1150,AIC,1150,AIC,EGLL-VECC
AIC1152,AIC,1152,AIC,LIRF-EDDF-VOBL-VIDP
AIC1153,AIC,1153,AIC,VIDP-EDDF-LIRF
AIC115D,AIC,115D,AIC,VIDP-EGLL
AIC116,AIC,116,AIC,KJFK-VABB
AIC117,AIC,117,AIC,VIAR-EGBB
AIC1171,AIC,1171,AIC,VAAH-EGLL
AIC1172,AIC,1172,AIC,EGLL-VAAH
AIC1174,AIC,1174,AIC,VIDP-VOCI-VOBL-VIDP
AIC1177,AIC,1177,AIC,VOBL-EGLL
AIC1178,AIC,1178,AIC,EGLL-VOBL
AIC118,AIC,118,AIC,EGBB-VIAR
AIC1185,AIC,1185,AIC,VOCI-EGLL
AIC1186,AIC,1186,AIC,EGLL-VOCI
AIC1189,AIC,1189,AIC,VIAR-EGLL
AIC119,AIC,119,AIC,VABB-KJFK
AIC1190,AIC,1190,AIC,EGLL-VIAR
AIC1192,AIC,1192,AIC,EGLL-VOGO
AIC1193,AIC,1193,AIC,VOGO-EGLL
AIC1198,AIC,1198,AIC,EIDW-VIDP-VABB
AIC120,AIC,120,AIC,EDDF-VIDP
AIC120D,AIC,120D,AIC,EDDF-VIDP
AIC121,AIC,121,AIC,VIDP-EDDF
AIC122,AIC,122,AIC,LIRF-VIDP
AIC1229,AIC,1229,AIC,VGHS-VECC
AIC122D,AIC,122D,AIC,LIRF-VIDP
AIC123,AIC,123,AIC,VIDP-LIMC
AIC124,AIC,124,AIC,EDDF-VABB
AIC125,AIC,125,AIC,VABB-EDDF
AIC126,AIC,126,AIC,KORD-VIDP
AIC126D,AIC,126D,AIC,KORD-VIDP
AIC127,AIC,127,AIC,VIDP-KORD
AIC128,AIC,128,AIC,EGLL-VABB
AIC128D,AIC,128D,AIC,EGLL-VABB
AIC129,AIC,129,AIC,VABB-EGLL
AIC129D,AIC,129D,AIC,VABB-EGLL
AIC13,AIC,13,AIC,VIDP-VAAH
AIC130,AIC,130,AIC,EGLL-VABB
AIC1303,AIC,1303,AIC,VDPP-VIDP
AIC1306,AIC,1306,AIC,VIDP-RJAA
AIC1307,AIC,1307,AIC,WIII-VIDP
AIC1308,AIC,1308,AIC,VOMM-RPLL
AIC130D,AIC,130D,AIC,EGLL-VABB
AIC131,AIC,131,AIC,VABB-EGLL
AIC1310,AIC,1310,AIC,VIDP-RPLL
AIC1314,AIC,1314,AIC,VOBL-VHHH
AIC131D,AIC,131D,AIC,VABB-EGLL
AIC132,AIC,132,AIC,EGLL-VOBL
AIC1323,AIC,1323,AIC,VHHH-VIDP
AIC1325,AIC,1325,AIC,WMKK-VOBL
AIC133,AIC,133,AIC,VOBL-EGLL
AIC1336,AIC,1336,AIC,VIDP-VOBL-WSSS
AIC134,AIC,134,AIC,EGLL-VIDP
AIC1345,AIC,1345,AIC,VIDP-UGTB-EGDX
AIC1346,AIC,1346,AIC,VOMM-WSSS
AIC135,AIC,135,AIC,VIDP-LEMD
AIC1352,AIC,1352,AIC,VIDP-VTBS
AIC1353,AIC,1353,AIC,VTBS-VIDP
AIC136,AIC,136,AIC,LEMD-VIDP
AIC1366,AIC,1366,AIC,VOBL-VOMM-WSSS
AIC1368,AIC,1368,AIC,VIDP-VABB-WSSS
AIC1369,AIC,1369,AIC,WSSS-VABB-VIDP
AIC136D,AIC,136D,AIC,LEMD-VIDP
AIC137,AIC,137,AIC,VIDP-LIMC
AIC138,AIC,138,AIC,LIMC-VIDP
AIC138D,AIC,138D,AIC,LIMC-VIDP
AIC139,AIC,139,AIC,VIDP-LLBG
AIC14,AIC,14,AIC,VAAH-VIDP
AIC140,AIC,140,AIC,LLBG-VIDP
AIC141,AIC,141,AIC,VOHY-VABB-KJFK
AIC142,AIC,142,AIC,LFPG-VIDP
AIC142D,AIC,142D,AIC,LFPG-VIDP
AIC143,AIC,143,AIC,VIDP-LFPG
AIC143D,AIC,143D,AIC,VIDP-LFPG
AIC144,AIC,144,AIC,KEWR-VABB
AIC144D,AIC,144D,AIC,KEWR-VABB
AIC145,AIC,145,AIC,VOGA-EGKK
AIC146,AIC,146,AIC,EGKK-VOGA
AIC147,AIC,147,AIC,VOHS-EGLL
AIC148,AIC,148,AIC,EGLL-VOHS
AIC149,AIC,149,AIC,VOCI-EGKK
AIC150,AIC,150,AIC,EGKK-VOCI
AIC151,AIC,151,AIC,VIDP-LSZH
AIC151D,AIC,151D,AIC,VOMM-EGLL
AIC152,AIC,152,AIC,LSZH-VIDP
AIC153,AIC,153,AIC,VIDP-LOWW
AIC154,AIC,154,AIC,LOWW-VIDP
AIC1540,AIC,1540,AIC,VIDP-VOMM
AIC155,AIC,155,AIC,VIDP-EHAM
AIC156,AIC,156,AIC,EHAM-VIDP
AIC157,AIC,157,AIC,VIDP-EKCH
AIC158,AIC,158,AIC,EKCH-VIDP
AIC159,AIC,159,AIC,VOGO-EGLL
AIC16,AIC,16,AIC,VIDP-VIAR
AIC160,AIC,160,AIC,KPAE-VIDP
AIC161,AIC,161,AIC,VIDP-EGLL
AIC161D,AIC,161D,AIC,VIDP-EGLL
AIC162,AIC,162,AIC,EGLL-VIDP
AIC162D,AIC,162D,AIC,EGLL-VIDP
AIC163,AIC,163,AIC,VECC-EGLL
AIC164,AIC,164,AIC,EGLL-VECC
AIC1649,AIC,1649,AIC,VABB-VIAR
AIC165,AIC,165,AIC,VIDP-EGLL
AIC1650,AIC,1650,AIC,VIAR-VABB
AIC166,AIC,166,AIC,EGLL-VIDP
AIC167,AIC,167,AIC,VIDP-ESSA
AIC168,AIC,168,AIC,ESSA-VIDP
AIC1680,AIC,1680,AIC,VOML-VABB
AIC169,AIC,169,AIC,VIAR-EGKK
AIC17,AIC,17,AIC,VIDP-EGLL
AIC170,AIC,170,AIC,EGKK-VIAR
AIC171,AIC,171,AIC,VAAH-EGKK
AIC172,AIC,172,AIC,EGKK-VAAH
AIC172D,AIC,172D,AIC,EGLL-VIDP
AIC173,AIC,173,AIC,VIDP-KSFO
AIC173D,AIC,173D,AIC,VIDP-KSFO
AIC174,AIC,174,AIC,KSFO-VIDP
AIC174D,AIC,174D,AIC,KSFO-VIDP
AIC175,AIC,175,AIC,VOBL-KSFO
AIC176,AIC,176,AIC,KSFO-VOBL
AIC177,AIC,177,AIC,VOBL-EGKK
AIC178,AIC,178,AIC,EGKK-VOBL
AIC179,AIC,179,AIC,VABB-KSFO
AIC180,AIC,180,AIC,KSFO-VABB
AIC181,AIC,181,AIC,VOBL-EDDF
AIC182,AIC,182,AIC,EDDF-VOBL
AIC183,AIC,183,AIC,VIDP-KSFO
AIC184,AIC,184,AIC,KSFO-VIDP
AIC185,AIC,185,AIC,VIDP-CYVR
AIC1851,AIC,1851,AIC,VIDP-VAPO
AIC1852,AIC,1852,AIC,VAPO-VIDP
AIC185D,AIC,185D,AIC,VIDP-CYVR
AIC186,AIC,186,AIC,CYVR-VIDP
AIC186D,AIC,186D,AIC,CYVR-VIDP
AIC187,AIC,187,AIC,VIDP-CYYZ
AIC187D,AIC,187D,AIC,VIDP-CYYZ
AIC188,AIC,188,AIC,CYYZ-VIDP
AIC188D,AIC,188D,AIC,CYYZ-VIDP
AIC189,AIC,189,AIC,VIDP-CYYZ
AIC190,AIC,190,AIC,CYYZ-VIDP
AIC1900,AIC,1900,AIC,OKKK-VIDP
AIC1901,AIC,1901,AIC,VIDP-OKKK
AIC1906,AIC,1906,AIC,OMSJ-VOMM
AIC191,AIC,191,AIC,VABB-KEWR
AIC1911,AIC,1911,AIC,VIDP-VAAH-HKJK
AIC1912,AIC,1912,AIC,HKJK-VAAH-VIDP
AIC1913,AIC,1913,AIC,VIDP-OEDF
AIC1917,AIC,1917,AIC,VABB-OEDF
AIC192,AIC,192,AIC,EDDF-VIDP
AIC1922,AIC,1922,AIC,OERK-VABB
AIC1924,AIC,1924,AIC,OERK-VOHS
AIC1926,AIC,1926,AIC,OERK-VIDP
AIC1931,AIC,1931,AIC,VABB-OEJN
AIC1933,AIC,1933,AIC,VOCI-OOMS
AIC1934,AIC,1934,AIC,OOMS-VOCI
AIC1935,AIC,1935,AIC,VOHS-OBBI
AIC1936,AIC,1936,AIC,OBBI-VOHS
AIC1938,AIC,1938,AIC,OMAA-VOKN-VOBL
AIC1944,AIC,1944,AIC,OMDB-VAPO-VABB
AIC1948,AIC,1948,AIC,OBBI-VOCL-VABB
AIC195,AIC,195,AIC,VIDP-UUEE
AIC196,AIC,196,AIC,UUEE-VIDP
AIC1962,AIC,1962,AIC,OMAA-VOHS-VOMM
AIC1965,AIC,1965,AIC,VIDP-OMAA
AIC1966,AIC,1966,AIC,OEJN-VOHS
AIC1967,AIC,1967,AIC,VIDP-VILK-OMAA
AIC1969,AIC,1969,AIC,VIDP-VIAR-OMAA
AIC1970,AIC,1970,AIC,OMAA-VIAR-VIDP
AIC1972,AIC,1972,AIC,OTHH-VIAR-VIDP
AIC1974,AIC,1974,AIC,OTHH-VIJP-VIDP
AIC1976,AIC,1976,AIC,OOMS-VAAH
AIC1977,AIC,1977,AIC,VOBL-OMAA
AIC1978,AIC,1978,AIC,OMAA-VOCL-VOBL
AIC1986,AIC,1986,AIC,OERK-VOHS
AIC1987,AIC,1987,AIC,VOHS-OBBI
AIC1988,AIC,1988,AIC,OKKK-VOBZ-VOHS
AIC1994,AIC,1994,AIC,OEJN-VOHS-VABB
AIC20,AIC,20,AIC,VIDP-VECC
AIC2017,AIC,2017,AIC,VIDP-EGLL
AIC2018,AIC,2018,AIC,EGLL-VIDP
AIC211,AIC,211,AIC,VIDP-VNKT
AIC2116,AIC,2116,AIC,WSSS-VIDP
AIC212,AIC,212,AIC,VNKT-VIDP
AIC2121,AIC,2121,AIC,VIDP-VTBS
AIC213,AIC,213,AIC,VIDP-VNKT-VIDP
AIC214,AIC,214,AIC,VNKT-VIDP
AIC215,AIC,215,AIC,VIDP-VNKT
AIC216,AIC,216,AIC,VNKT-VIDP
AIC22,AIC,22,AIC,VIDP-VECC
AIC227,AIC,227,AIC,VIDP-VGHS
AIC228,AIC,228,AIC,VGHS-VIDP
AIC229,AIC,229,AIC,VGHS-VECC
AIC230,AIC,230,AIC,VECC-VGHS
AIC233,AIC,233,AIC,VECC-VEGY-VYYY
AIC234,AIC,234,AIC,VYYY-VEGY-VECC
AIC235,AIC,235,AIC,VIDP-VYYY
AIC236,AIC,236,AIC,VYYY-VEGY-VIDP
AIC237,AIC,237,AIC,VIDP-VGHS
AIC238,AIC,238,AIC,VGHS-VIDP
AIC24,AIC,24,AIC,VIDP-VABB
AIC2404,AIC,2404,AIC,VAPO-VIDP
AIC2406,AIC,2406,AIC,VOBL-VIDP
AIC2409,AIC,2409,AIC,VIDP-VOBL
AIC247,AIC,247,AIC,VECC-VNKT-VECC
AIC248,AIC,248,AIC,VNKT-VECC
AIC2501,AIC,2501,AIC,VOBL-VOCI
AIC2502,AIC,2502,AIC,VOCI-VOBL
AIC2523,AIC,2523,AIC,VOBL-VOTV
AIC2525,AIC,2525,AIC,VOBL-VOTV
AIC2526,AIC,2526,AIC,VOTV-VOBL
AIC2573,AIC,2573,AIC,VAAH-VOBL
AIC2637,AIC,2637,AIC,VIDP-VICG
AIC264,AIC,264,AIC,VRMM-VOTV-VIDP
AIC265,AIC,265,AIC,VOBL-VRMM
AIC266,AIC,266,AIC,VRMM-VOBL
AIC267,AIC,267,AIC,VIDP-VABB-VRMM
AIC268,AIC,268,AIC,VRMM-VABB-VIDP
AIC2691,AIC,2691,AIC,VIDP-VIAR
AIC2692,AIC,2692,AIC,VIAR-VIDP
AIC2705,AIC,2705,AIC,VIDP-VECC
AIC271,AIC,271,AIC,VOMM-VCBI
AIC272,AIC,272,AIC,VCBI-VOMM
AIC2720,AIC,2720,AIC,VECC-VIDP
AIC273,AIC,273,AIC,VOMM-VCBI
AIC274,AIC,274,AIC,VCBI-VOMM
AIC275,AIC,275,AIC,VABB-VCBI
AIC2761,AIC,2761,AIC,VOBL-VECC
AIC2762,AIC,2762,AIC,VECC-VOBL
AIC2801,AIC,2801,AIC,VIDP-VOBL
AIC2808,AIC,2808,AIC,VOBL-VIDP
AIC281,AIC,281,AIC,VIDP-VCBI
AIC2810,AIC,2810,AIC,VOBL-VIDP
AIC2815,AIC,2815,AIC,VIDP-VOBL
AIC282,AIC,282,AIC,VCBI-VIDP
AIC2829,AIC,2829,AIC,VIDP-VOHS
AIC283,AIC,283,AIC,VIDP-VCBI
AIC2832,AIC,2832,AIC,VOMM-VIDP
AIC2833,AIC,2833,AIC,VIDP-VOMM
AIC2836,AIC,2836,AIC,VOMM-VIDP
AIC2839,AIC,2839,AIC,VIDP-VOMM
AIC284,AIC,284,AIC,VCBI-VIDP
AIC2868,AIC,2868,AIC,VOBL-VIDP
AIC287,AIC,287,AIC,VABB-OERK
AIC2883,AIC,2883,AIC,VIDP-VOCI
AIC2884,AIC,2884,AIC,VOCI-VIDP
AIC2895,AIC,2895,AIC,VIDP-VOTV
AIC2896,AIC,2896,AIC,VOTV-VIDP
AIC2906,AIC,2906,AIC,VAAH-VIDP
AIC2959,AIC,2959,AIC,VIDP-VAAH
AIC2970,AIC,2970,AIC,VABB-VIDP
AIC2971,AIC,2971,AIC,VIDP-VAPO
AIC301,AIC,301,AIC,YSSY-VIDP
AIC302,AIC,302,AIC,VIDP-YSSY
AIC306,AIC,306,AIC,VIDP-RJAA
AIC307,AIC,307,AIC,RJAA-VIDP
AIC308,AIC,308,AIC,VIDP-YMML
AIC309,AIC,309,AIC,YMML-VIDP
AIC310,AIC,310,AIC,VABB-YMML
AIC311,AIC,311,AIC,YMML-VABB
AIC312,AIC,312,AIC,VIDP-RKSI
AIC313,AIC,313,AIC,RKSI-VIDP
AIC314,AIC,314,AIC,VIDP-VHHH
AIC315,AIC,315,AIC,VHHH-VIDP
AIC317,AIC,317,AIC,RKSI-VHHH-VIDP-VABB
AIC321,AIC,321,AIC,VTBS-VECC
AIC322,AIC,322,AIC,VECC-VTBS
AIC330,AIC,330,AIC,VABB-VTBS
AIC331,AIC,331,AIC,VTBS-VABB
AIC332,AIC,332,AIC,VIDP-VTBS
AIC333,AIC,333,AIC,VTBS-VIDP
AIC333D,AIC,333D,AIC,VTBS-VABB
AIC334,AIC,334,AIC,VIDP-VTBS
AIC335,AIC,335,AIC,VTBS-VIDP
AIC336,AIC,336,AIC,VIDP-VTBS
AIC337,AIC,337,AIC,VTBS-VICG
AIC338,AIC,338,AIC,VECC-VTBS
AIC339,AIC,339,AIC,VTBS-VOBL
AIC340,AIC,340,AIC,VABB-VTBS
AIC341,AIC,341,AIC,VTBS-VABB
AIC3415,AIC,3415,AIC,VILH-VICG
AIC3416,AIC,3416,AIC,VICG-VILH
AIC342,AIC,342,AIC,VABB-WSSS
AIC3425,AIC,3425,AIC,VIDP-VISR
AIC3426,AIC,3426,AIC,VISR-VIDP
AIC343,AIC,343,AIC,WSSS-VABB
AIC344,AIC,344,AIC,VABB-WSSS
AIC3449,AIC,3449,AIC,VIDP-VILH
AIC3450,AIC,3450,AIC,VILH-VIDP
AIC346,AIC,346,AIC,VOMM-WSSS
AIC346D,AIC,346D,AIC,VOMM-WSSS
AIC347,AIC,347,AIC,WSSS-VOMM
AIC348,AIC,348,AIC,VABB-VIDP-ZSPD
AIC349,AIC,349,AIC,ZSPD-VIDP-VABB
AIC350,AIC,350,AIC,VIDP-ZSPD
AIC3559,AIC,3559,AIC,VISR-VIDP
AIC3701,AIC,3701,AIC,VIDP-FIMP
AIC3713,AIC,3713,AIC,VECC-VEIM
AIC3743,AIC,3743,AIC,VECC-VEAT
AIC3766,AIC,3766,AIC,VOBL-VIJP
AIC377,AIC,377,AIC,VTSP-VIDP
AIC3775,AIC,3775,AIC,VEGT-VIDP
AIC378,AIC,378,AIC,VIDP-VTSP
AIC379,AIC,379,AIC,VTSP-VIDP
AIC3799,AIC,3799,AIC,VOGO-VIDP-VEGT
AIC380,AIC,380,AIC,VIDP-WSSS
AIC381,AIC,381,AIC,WSSS-VIDP
AIC382,AIC,382,AIC,VIDP-WSSS
AIC383,AIC,383,AIC,WSSS-VIDP
AIC3831,AIC,3831,AIC,VIDP-VILH
AIC3832,AIC,3832,AIC,VILH-VIDP
AIC384,AIC,384,AIC,VIDP-WMKK
AIC385,AIC,385,AIC,WMKK-VIDP
AIC388,AIC,388,AIC,VIDP-VVTS
AIC389,AIC,389,AIC,VVTS-VIDP
AIC392,AIC,392,AIC,VOBL-WSSS
AIC393,AIC,393,AIC,WSSS-VOBL
AIC394,AIC,394,AIC,VABB-WSSS
AIC395,AIC,395,AIC,WSSS-VABB
AIC3972,AIC,3972,AIC,VOBL-VOHS
AIC3982,AIC,3982,AIC,VAPO-VOBL
AIC401,AIC,401,AIC,VIDP-VECC
AIC402,AIC,402,AIC,VECC-VIDP
AIC403,AIC,403,AIC,VIDP-VARK
AIC404,AIC,404,AIC,VOBL-VIDP
AIC405,AIC,405,AIC,VEBN-VIDP
AIC406,AIC,406,AIC,VIDP-VEBN
AIC407,AIC,407,AIC,VIDP-VEPT
AIC408,AIC,408,AIC,VEPT-VIDP
AIC409,AIC,409,AIC,VIDP-VEPT
AIC410,AIC,410,AIC,VEPT-VIDP
AIC411,AIC,411,AIC,VIDP-VILK
AIC412,AIC,412,AIC,VILK-VIDP
AIC413,AIC,413,AIC,VIDP-VIAR
AIC414,AIC,414,AIC,VISR-VIDP
AIC415,AIC,415,AIC,VIDP-VEPT-VIDP
AIC416,AIC,416,AIC,VEPT-VIDP
AIC417,AIC,417,AIC,VIDP-VOHS
AIC418,AIC,418,AIC,VOHS-VIDP
AIC419,AIC,419,AIC,VOCI-VIDP
AIC42,AIC,42,AIC,VIDP-VOMM
AIC420,AIC,420,AIC,VIDP-VOCI
AIC422,AIC,422,AIC,VAAH-VIDP
AIC423,AIC,423,AIC,VIDP-VAAH
AIC425,AIC,425,AIC,VIDP-VOHS
AIC426,AIC,426,AIC,VOHS-VIDP
AIC427,AIC,427,AIC,VIDP-VOBL
AIC428,AIC,428,AIC,VOBL-VIDP
AIC429,AIC,429,AIC,VIDP-VOMM-VOCB
AIC43,AIC,43,AIC,VOMM-VIDP
AIC430,AIC,430,AIC,VOMM-VIDP
AIC431,AIC,431,AIC,VIDP-VILK
AIC432,AIC,432,AIC,VILK-VIDP
AIC433,AIC,433,AIC,VIDP-VABP
AIC434,AIC,434,AIC,VABP-VIDP
AIC435,AIC,435,AIC,VIDP-VABP
AIC436,AIC,436,AIC,VABP-VIDP
AIC437,AIC,437,AIC,VIDP-VICG
AIC438,AIC,438,AIC,VICG-VIDP
AIC439,AIC,439,AIC,VIDP-VOMM
AIC440,AIC,440,AIC,VOMM-VIDP
AIC441,AIC,441,AIC,VIDP-VABB
AIC442,AIC,442,AIC,VABB-VIDP
