Callsign,Code,Number,AirlineCode,AirportCodes
AMC100,AMC,100,AMC,LMML-EGLL
AMC100A,AMC,100A,AMC,LMML-EGLL
AMC101,AMC,101,AMC,EGLL-LMML
AMC102,AMC,102,AMC,LMML-EGLL
AMC103,AMC,103,AMC,EGLL-LMML
AMC106,AMC,106,AMC,LMML-EGLL
AMC107,AMC,107,AMC,EGLL-LMML
AMC108,AMC,108,AMC,LMML-EGLL
AMC109,AMC,109,AMC,EGLL-LMML
AMC1122,AMC,1122,AMC,LMML-LICC-EGKK
AMC1123,AMC,1123,AMC,EGKK-LICC
AMC116,AMC,116,AMC,LMML-EGKK
AMC117,AMC,117,AMC,EGKK-LMML
AMC117B,AMC,117B,AMC,EGKK-LMML
AMC118,AMC,118,AMC,LMML-EGKK
AMC119,AMC,119,AMC,EGKK-LMML
AMC1236,AMC,1236,AMC,LICC-EDDF
AMC1276,AMC,1276,AMC,EGPH-EHAM
AMC1306,AMC,1306,AMC,LMML-LICC-EDDM
AMC1307,AMC,1307,AMC,EDDM-LICC-LMML
AMC1308,AMC,1308,AMC,LMML-LICC-EDDM
AMC1309,AMC,1309,AMC,EDDM-LICC-LMML
AMC130B,AMC,130B,AMC,EDDM-LICC
AMC1325,AMC,1325,AMC,EDDF-LICC-LMML
AMC1326,AMC,1326,AMC,LMML-LICC-EDDF
AMC1327,AMC,1327,AMC,EDDF-LICC-LMML
AMC1328,AMC,1328,AMC,LMML-LICC-EDDF
AMC1329,AMC,1329,AMC,EDDF-LICC-LMML
AMC138,AMC,138,AMC,LMML-EGCC
AMC139,AMC,139,AMC,EGCC-LMML
AMC146,AMC,146,AMC,LMML-EGCC
AMC147,AMC,147,AMC,EGCC-LMML
AMC147B,AMC,147B,AMC,EGCC-LMML
AMC1482,AMC,1482,AMC,LMML-LICC-LSGG
AMC1483,AMC,1483,AMC,LSGG-LICC-LMML
AMC15,AMC,15,AMC,EPWA-EPWR
AMC172,AMC,172,AMC,LMML-EGBB
AMC173,AMC,173,AMC,EGBB-LMML
AMC174,AMC,174,AMC,LMML-EGBB
AMC175,AMC,175,AMC,EGBB-LMML
AMC178,AMC,178,AMC,LMML-EGBB
AMC179,AMC,179,AMC,EGBB-LMML
AMC182,AMC,182,AMC,LMML-EGMC
AMC183,AMC,183,AMC,EGMC-LMML
AMC184,AMC,184,AMC,LMML-LICC-EGMC
AMC185,AMC,185,AMC,EGMC-LICC
AMC186,AMC,186,AMC,LIEE-EGMC
AMC187,AMC,187,AMC,EGMC-LIEE-LMML
AMC238,AMC,238,AMC,LMML-EGGD
AMC239,AMC,239,AMC,EGGD-LMML
AMC306,AMC,306,AMC,LMML-EDDM
AMC306A,AMC,306A,AMC,LMML-EDDM
AMC307,AMC,307,AMC,EDDM-LMML
AMC307B,AMC,307B,AMC,EGCC-LMML
AMC308,AMC,308,AMC,LMML-EDDM
AMC309,AMC,309,AMC,EDDM-LMML
AMC310,AMC,310,AMC,LMML-EDDP
AMC310A,AMC,310A,AMC,LMML-EDDP
AMC311,AMC,311,AMC,EDDP-LMML
AMC3116,AMC,3116,AMC,LMML-EGKK
