Callsign,Code,Number,AirlineCode,AirportCodes
AMX1,AMX,1,AMX,MMMX-LEMD
AMX10,AMX,10,AMX,MMMX-SCEL
AMX100,AMX,100,AMX,MMMX-MMTC
AMX1001,AMX,1001,AMX,MMMX-LEMD
AMX1002,AMX,1002,AMX,LEMD-MMMX
AMX101,AMX,101,AMX,MMTC-MMMX
AMX1019,AMX,1019,AMX,MMMX-KLAX
AMX102,AMX,102,AMX,MMMX-MMTC-MMMX
AMX1029,AMX,1029,AMX,SAEZ-MMMX
AMX103,AMX,103,AMX,MMTC-MMMX
AMX1033,AMX,1033,AMX,MMMX-LEBL
AMX1034,AMX,1034,AMX,LEBL-MMMX
AMX1036,AMX,1036,AMX,MMMX-MMOX
AMX1037,AMX,1037,AMX,MMOX-MMMX
AMX104,AMX,104,AMX,MMMX-MMGL
AMX1044,AMX,1044,AMX,MMMX-MMOX
AMX1045,AMX,1045,AMX,MMOX-MMMX
AMX1046,AMX,1046,AMX,MMMX-MMOX
AMX1048,AMX,1048,AMX,MMMX-MMOX
AMX1049,AMX,1049,AMX,MMOX-MMMX
AMX105,AMX,105,AMX,MMTC-MMMX
AMX1050,AMX,1050,AMX,MMMX-MMOX
AMX1051,AMX,1051,AMX,MMOX-MMMX
AMX1052,AMX,1052,AMX,MMMX-MMOX
AMX1053,AMX,1053,AMX,MMOX-MMMX
AMX1054,AMX,1054,AMX,MMMX-MMOX
AMX1055,AMX,1055,AMX,MMOX-MMMX
AMX1057,AMX,1057,AMX,MMOX-MMMX
AMX1058,AMX,1058,AMX,MMMX-MMMY-RJAA
AMX106,AMX,106,AMX,MMMX-MMTC
AMX107,AMX,107,AMX,MMTC-MMMX
AMX108,AMX,108,AMX,MMMX-MMTC
AMX109,AMX,109,AMX,MMTC-MMMX
AMX1099,AMX,1099,AMX,MMOX-MMMX
AMX11,AMX,11,AMX,SCEL-MMMX
AMX110,AMX,110,AMX,MMMX-MMTJ
AMX1108,AMX,1108,AMX,LFPO-DAAS
AMX111,AMX,111,AMX,MMTJ-MMMX
AMX1113,AMX,1113,AMX,MMTJ-MMGL
AMX1114,AMX,1114,AMX,MMGL-MMTJ
AMX1117,AMX,1117,AMX,MMMX-MMCS
AMX1118,AMX,1118,AMX,MMCS-MMMX
AMX112,AMX,112,AMX,MMCS-MMMX
AMX1124,AMX,1124,AMX,MMUN-SPJC-SBGR
AMX1125,AMX,1125,AMX,SBGR-SPJC-MMUN
AMX113,AMX,113,AMX,MMMX-MMCS
AMX1137,AMX,1137,AMX,MMOX-MMMX
AMX114,AMX,114,AMX,MMCS-MMMX
AMX1140,AMX,1140,AMX,MMMX-MMOX
AMX115,AMX,115,AMX,MMMX-MMCS
AMX116,AMX,116,AMX,MMCS-MMMX
AMX1160,AMX,1160,AMX,MMMX-MMGL-MMTJ
AMX117,AMX,117,AMX,MMMX-MMCS
AMX1170,AMX,1170,AMX,MMMX-MMTJ
AMX1171,AMX,1171,AMX,MMTJ-MMMX
AMX1172,AMX,1172,AMX,MMMX-MMTJ
AMX1173,AMX,1173,AMX,MMTJ-MMMX
AMX1176,AMX,1176,AMX,MMMX-MMTJ
AMX1177,AMX,1177,AMX,MMTJ-MMMX
AMX118,AMX,118,AMX,MMCS-MMMX
AMX1180,AMX,1180,AMX,MMMX-MMTJ
AMX1181,AMX,1181,AMX,MMTJ-MMMX
AMX1182,AMX,1182,AMX,MMMX-MMTJ
AMX1184,AMX,1184,AMX,MMMX-MMTJ
AMX1185,AMX,1185,AMX,MMTJ-MMMX
AMX119,AMX,119,AMX,MMMX-MMCS
AMX1191,AMX,1191,AMX,MMML-MMMX
AMX1193,AMX,1193,AMX,MMTJ-MMMX
AMX1195,AMX,1195,AMX,MMTJ-MMMX
AMX120,AMX,120,AMX,MMCS-MMMX
AMX121,AMX,121,AMX,MMMX-MMCS
AMX1210,AMX,1210,AMX,MMMX-MMCU
AMX124,AMX,124,AMX,MMMX-MMTC
AMX125,AMX,125,AMX,MMGL-MMMX
AMX126,AMX,126,AMX,MMMX-MMGL
AMX127,AMX,127,AMX,MMGL-MMMX
AMX128,AMX,128,AMX,MMMX-MMGL
AMX129,AMX,129,AMX,MMTJ-MMGL-MMMX
AMX131,AMX,131,AMX,MMLO-MMMX
AMX1313,AMX,1313,AMX,MMTG-MMMX
AMX1316,AMX,1316,AMX,MMMX-MMTG
AMX1319,AMX,1319,AMX,MMTG-MMMX
AMX132,AMX,132,AMX,MMMX-MMLO
AMX133,AMX,133,AMX,MMLO-MMMX
AMX1338,AMX,1338,AMX,MMMX-MMPR
AMX134,AMX,134,AMX,MMMX-MMLO
AMX135,AMX,135,AMX,MMLO-MMMX
AMX136,AMX,136,AMX,MMMX-MMLO
AMX1367,AMX,1367,AMX,MMPR-MMMX
AMX137,AMX,137,AMX,MMLO-MMMX
AMX1372,AMX,1372,AMX,MMMX-MMTG
AMX1376,AMX,1376,AMX,MMMX-MMTG
AMX138,AMX,138,AMX,MMMX-MMCU
AMX1382,AMX,1382,AMX,MMMX-MMSD
AMX1383,AMX,1383,AMX,MMSD-MMMX
AMX139,AMX,139,AMX,MMCU-MMMX
AMX14,AMX,14,AMX,MMMX-SBGR
AMX140,AMX,140,AMX,MMMX-MMCU
AMX1408,AMX,1408,AMX,MMMX-MMOX
AMX141,AMX,141,AMX,MMCU-MMMX
AMX1410,AMX,1410,AMX,MMMX-MMTM
AMX1411,AMX,1411,AMX,MMTM-MMMX
AMX1413,AMX,1413,AMX,MMTM-MMMX
AMX1414,AMX,1414,AMX,MMMX-MMTM
AMX1415,AMX,1415,AMX,MMTM-MMMX
AMX1416,AMX,1416,AMX,MMMX-MMTM
AMX1417,AMX,1417,AMX,MMTM-MMMX
AMX1418,AMX,1418,AMX,MMMX-MMTM
AMX1419,AMX,1419,AMX,KIAH-MMMX
AMX142,AMX,142,AMX,MMMX-MMCU
AMX1423,AMX,1423,AMX,KMIA-MMMX
AMX1428,AMX,1428,AMX,MMUN-MMMX
AMX1429,AMX,1429,AMX,MMMX-MMUN
AMX143,AMX,143,AMX,MMCU-MMMX
AMX1430,AMX,1430,AMX,MMUN-MMMX
AMX144,AMX,144,AMX,MMMX-MMCU
AMX1440,AMX,1440,AMX,MMMX-KMCO
AMX1441,AMX,1441,AMX,KMCO-MMMX
AMX1445,AMX,1445,AMX,MMMX-MMUN
AMX1447,AMX,1447,AMX,MMMX-MMUN
AMX1448,AMX,1448,AMX,MMUN-MMMX
AMX145,AMX,145,AMX,MMCU-MMMX
AMX1450,AMX,1450,AMX,MMMX-MMZH
AMX1451,AMX,1451,AMX,MMZH-MMMX
AMX1452,AMX,1452,AMX,MMMX-MMZH
AMX1453,AMX,1453,AMX,MMZH-MMMX
AMX1456,AMX,1456,AMX,MMMX-MMZH
AMX146,AMX,146,AMX,MMMX-MMCU
AMX1460,AMX,1460,AMX,MMMX-MMQT
AMX1462,AMX,1462,AMX,MMGL-KFAT
