Callsign,Code,Number,AirlineCode,AirportCodes
APF108,APF,108,APF,ESNU-ESNG-ESNQ
APF109,APF,109,APF,ESNQ-ESNG-ESNU
APF162,APF,162,APF,ESSV-ESSA
APF163,APF,163,APF,ESSA-ESSV
APF191,APF,191,APF,ESPA-ESNU-ESSA
APF20,APF,20,APF,ESSA-ESMS
APF2072,APF,2072,APF,ESMS-ESOE
APF2090,APF,2090,APF,ESMS-ESNN-ESNU
APF22,APF,22,APF,ESMS-ESSA
APF23,APF,23,APF,ESSA-ESMS
APF24,APF,24,APF,ESMS-ESSA
APF25,APF,25,APF,ESSA-ESMS
APF250,APF,250,APF,ESNV-ESNL-ESSA
APF251,APF,251,APF,ESSA-ESNL-ESNV
APF251G,APF,251G,APF,ESNG-ESNK-ESSA
APF252,APF,252,APF,ESNV-ESNL-ESSA
APF252G,APF,252G,APF,ESSA-ESNK-ESNG
APF253,APF,253,APF,ESSA-ESNL-ESNV
APF253G,APF,253G,APF,ESNG-ESNK-ESSA
APF254,APF,254,APF,ESNV-ESNL-ESSA
APF254G,APF,254G,APF,ESSA-ESNK-ESNG
APF255,APF,255,APF,ESSA-ESNL-ESNV
APF257K,APF,257K,APF,ESNK-ESSA
APF28,APF,28,APF,ESMS-ESMX-ESSA
APF280,APF,280,APF,EFMA-ESSA
APF281,APF,281,APF,ESSA-EFMA
APF282,APF,282,APF,ESSA-EFMA
APF283,APF,283,APF,ESSA-EFMA
APF284,APF,284,APF,ESSA-EFMA
APF285,APF,285,APF,EFMA-EFTU
APF286,APF,286,APF,EFTU-EFMA
APF288,APF,288,APF,EFMA-ESSA
APF29,APF,29,APF,ESSA-ESMX-ESMS
APF300,APF,300,APF,ESSA-ESNO-EFKK
APF301,APF,301,APF,ESNO-ESSA
APF302,APF,302,APF,ESSA-ESNO
APF303,APF,303,APF,ESNO-ESSA
APF304,APF,304,APF,ESSA-ESNO
APF305,APF,305,APF,ESNO-ESSA
APF306,APF,306,APF,ESSA-ESNO
APF307,APF,307,APF,ESNO-ESSA
APF308,APF,308,APF,ESSA-ESNO
APF3135,APF,3135,APF,ENVA-ENGM
APF3136,APF,3136,APF,ENGM-ENVA
APF3137,APF,3137,APF,ENVA-EKCH
APF315A,APF,315A,APF,ESNX-ESSA
APF316A,APF,316A,APF,ESSA-ESNX
APF320,APF,320,APF,EFHK-EFJO
APF321,APF,321,APF,EFJO-EFHK
APF321A,APF,321A,APF,ESNX-ESSA
APF322,APF,322,APF,EFHK-EFJO
APF322A,APF,322A,APF,ESSA-ESNX
APF323,APF,323,APF,EFJO-EFHK
APF324,APF,324,APF,EFHK-EFJO
APF330,APF,330,APF,EIDL-EIDW
APF332,APF,332,APF,EIDL-EIDW
APF333,APF,333,APF,EIDW-EIDL
APF35,APF,35,APF,ESSA-ESMX
APF362,APF,362,APF,ESSA-ESMK
APF367,APF,367,APF,ESMK-ESSA
APF368,APF,368,APF,ESSA-ESMK
APF40,APF,40,APF,ESGG-ESSA
APF4086,APF,4086,APF,ESGG-ESNU-ESNN
APF41,APF,41,APF,ESSA-ESGG
APF42,APF,42,APF,ESGG-ESSA
APF43,APF,43,APF,ESSA-ESGJ-ESGG
APF46P,APF,46P,APF,ESSA-ESGG
APF526P,APF,526P,APF,ESGG-ESSD
APF56,APF,56,APF,ESGJ-ESSA
APF57,APF,57,APF,ESSA-ESGJ
APF651,APF,651,APF,ESNL-ESSA
APF651V,APF,651V,APF,ESNL-ESSA
APF654,APF,654,APF,ESSA-ESNL
APF654V,APF,654V,APF,ESSA-ESNL-ESNV
APF659,APF,659,APF,ESNV-ESNL-ESSA
APF660,APF,660,APF,ESSA-ESNL-ESNV
APF663,APF,663,APF,ESNG-ESNK-ESSA
APF670A,APF,670A,APF,ESSA-ESNV-ESNX
APF671,APF,671,APF,ESNV-ESNL-ESSA
APF671A,APF,671A,APF,ESNX-ESNV-ESSA
APF672,APF,672,APF,ESSA-ESNL-ESNV
APF673,APF,673,APF,ESSA-ESUT
APF675,APF,675,APF,ESNK-ESSA
APF676,APF,676,APF,ESSA-ESNK-ESUT
APF677,APF,677,APF,ESUT-ESNK-ESSA
APF678,APF,678,APF,ESSA-ESNK-ESUT
APF679,APF,679,APF,ESUT-ESSA
APF680H,APF,680H,APF,ESSA-ESNX-ESUT
APF681H,APF,681H,APF,ESUT-ESNL-ESSA
APF685,APF,685,APF,ESUT-ESNK-ESSA
APF686,APF,686,APF,ESSA-ESNK-ESUT
APF687,APF,687,APF,ESUT-ESNK-ESSA
APF688,APF,688,APF,ESSA-ESNK-ESUT
APF689,APF,689,APF,ESSA-ESNK
APF691,APF,691,APF,ESSA-ESNK-ESUT
APF692,APF,692,APF,ESUT-ESNK-ESSA
APF693,APF,693,APF,ESUT-ESNK-ESSA
APF694,APF,694,APF,ESSA-ESUT
APF695,APF,695,APF,ESUT-ESSA
APF696,APF,696,APF,ESSA-ESUT
APF697,APF,697,APF,ESUT-ESSA
APF698,APF,698,APF,ESNK-EFKK
APF699,APF,699,APF,EFKK-ESNK
APF70,APF,70,APF,ESOE-ESSA
APF7088,APF,7088,APF,ESOE-ESNN
APF71,APF,71,APF,ESSA-ESOE
APF7123,APF,7123,APF,ESOE-ESMS
APF788,APF,788,APF,ESSA-ESNX
APF83,APF,83,APF,ESNN-ESSA
APF831,APF,831,APF,ESPA-ESGG
APF84,APF,84,APF,ESSA-ESNN
APF856,APF,856,APF,ESSB-ESMK
APF86,APF,86,APF,ESNN-ESSA
APF87,APF,87,APF,ESSA-ESNN
APF8741,APF,8741,APF,ESNN-ESOE-ESGG
APF9121,APF,9121,APF,ESNU-ESMS
APF92,APF,92,APF,ESSA-ESNU
APF94,APF,94,APF,ESSA-ESNU
APF95,APF,95,APF,ESNU-ESSA
APF96,APF,96,APF,ESSA-ESNU
