Callsign,Code,Number,AirlineCode,AirportCodes
APO31,APO,31,APO,NZAA-NZCH
APO32,APO,32,APO,NZCH-NZAA
APO51,APO,51,APO,NZAA-NZPM
APO56,APO,56,APO,NZPM-NZAA
APO62,APO,62,APO,NZCH-NZPM
APO63,APO,63,APO,NZPM-NZCH
APO64,APO,64,APO,NZCH-NZPM
APO65,APO,65,APO,NZPM-NZCH
APO71,APO,71,APO,NZAA-NZCH
APO7100,APO,7100,APO,DNMM-DNEN
APO7101,APO,7101,APO,DNEN-DNAA
APO7102,APO,7102,APO,DNAA-DNEN
APO7103,APO,7103,APO,DNEN-DNMM
APO7120,APO,7120,APO,DNMM-DNAA
APO7121,APO,7121,APO,DNAA-DNMM
APO7122,APO,7122,APO,DNMM-DNAA
APO7123,APO,7123,APO,DNAA-DNMM
APO7124,APO,7124,APO,DNMM-DNAA
APO7125,APO,7125,APO,DNAA-DNMM
APO7126,APO,7126,APO,DNMM-DNAA
APO7127,APO,7127,APO,DNAA-DNMM
APO7128,APO,7128,APO,DNMM-DNAA
APO7129,APO,7129,APO,DNAA-DNMM
APO7130,APO,7130,APO,DNMM-DNAA
APO7131,APO,7131,APO,DNAA-DNMM
APO7138,APO,7138,APO,DNMM-DNAA
APO7139,APO,7139,APO,DNAA-DNMM
APO7150,APO,7150,APO,DNMM-DNIM
APO7151,APO,7151,APO,DNIM-DNAA
APO7152,APO,7152,APO,DNAA-DNIM
APO7153,APO,7153,APO,DNIM-DNMM
APO7154,APO,7154,APO,DNMM-DNIM
APO7156,APO,7156,APO,DNAA-DNMM
APO7157,APO,7157,APO,DNIM-DNMM
APO7158,APO,7158,APO,DNMM-DNIM
APO7159,APO,7159,APO,DNIM-DNMM
APO7170,APO,7170,APO,DNMM-DNBE
APO7171,APO,7171,APO,DNBE-DNAA
APO7172,APO,7172,APO,DNAA-DNBE
APO7173,APO,7173,APO,DNBE-DNMM
APO7190,APO,7190,APO,DNMM-DNPO
APO7191,APO,7191,APO,DNPO-DNAA
APO7192,APO,7192,APO,DNAA-DNPO
APO7193,APO,7193,APO,DNPO-DNMM
APO7194,APO,7194,APO,DNMM-DNPO
APO7197,APO,7197,APO,DNPO-DNMM
APO7199,APO,7199,APO,DNAA-DNMM
APO72,APO,72,APO,NZCH-NZAA
APO7210,APO,7210,APO,DNMM-DNAA
APO7211,APO,7211,APO,DNSU-DNAA
APO7213,APO,7213,APO,DNSU-DNMM
APO7226,APO,7226,APO,DNMM-DNAA
APO7227,APO,7227,APO,DNAA-DNMM
APO7231,APO,7231,APO,DNAA-DNIB
APO7232,APO,7232,APO,DNIB-DNAA
APO7294,APO,7294,APO,DNMM-DNAA
APO7295,APO,7295,APO,DNAA-DNMM
APO73,APO,73,APO,NZAA-NZCH
APO74,APO,74,APO,NZCH-NZAA
APO7420,APO,7420,APO,DNMM-DNKN
APO7424,APO,7424,APO,DNMM-DNKN
APO7425,APO,7425,APO,DNKN-DNAA
APO7426,APO,7426,APO,DNAA-DNKN
APO7427,APO,7427,APO,DNKN-DNMM
APO7428,APO,7428,APO,DNMM-DNAA-DNYO
APO7429,APO,7429,APO,DNYO-DNAA-DNMM
APO7444,APO,7444,APO,DNMM-DNAA-DNMA
APO7445,APO,7445,APO,DNMA-DNAA-DNMM
APO75,APO,75,APO,NZAA-NZCH
APO753,APO,753,APO,OEJN-DNKN-DNMM
APO7536,APO,7536,APO,DNMM-DGAA-GLRB-GFLL
APO7537,APO,7537,APO,GFLL-GLRB-DGAA-DNMM
APO7560,APO,7560,APO,DNMM-DGAA
APO7561,APO,7561,APO,DGAA-DNMM
APO7563,APO,7563,APO,DNMM-FAOR
APO7564,APO,7564,APO,FAOR-DNMM
APO7574,APO,7574,APO,DNAA-EGKK
APO7575,APO,7575,APO,EGKK-DNAA
APO7576,APO,7576,APO,DNAA-EGLL
APO7577,APO,7577,APO,EGLL-DNAA
APO7578,APO,7578,APO,DNMM-EGKK
APO7579,APO,7579,APO,EGKK-DNMM
APO76,APO,76,APO,NZCH-NZAA
APO7660,APO,7660,APO,DNMM-GBYD-GOBD
APO77,APO,77,APO,NZAA-NZCH
APO7750,APO,7750,APO,DNMM-DGAA
APO7751,APO,7751,APO,DGAA-DNMM
APO7762,APO,7762,APO,DNMM-DGAA
APO7763,APO,7763,APO,DGAA-DNMM
APO7770,APO,7770,APO,DNMM-DIAP-GOBD-GBYD
APO7771,APO,7771,APO,GOBD-GBYD-DIAP-DNMM
APO78,APO,78,APO,NZCH-NZAA
APO7810,APO,7810,APO,DNMM-OMSJ-ZUUU
APO7860,APO,7860,APO,DNMM-DNAS
APO7861,APO,7861,APO,DNAS-DNAA
APO7862,APO,7862,APO,DNAA-DNAS
APO7863,APO,7863,APO,DNAS-DNMM
APO7864,APO,7864,APO,DNMM-DNAS
APO7867,APO,7867,APO,DNAS-DNMM
APO7868,APO,7868,APO,DNMM-DNAS
APO7869,APO,7869,APO,DNAS-DNMM
APO79,APO,79,APO,NZAA-NZCH
APO81,APO,81,APO,NZAA-NZCH
