Callsign,Code,Number,AirlineCode,AirportCodes
APW103,APW,103,APW,RJAA-RCTP
APW603,APW,603,APW,RPVM-RJAA
APW604,APW,604,APW,RJAA-RPVM
APW8520,APW,8520,APW,RJCC-RJAA
APW8521,APW,8521,APW,RJAA-RJCC
APW8522,APW,8522,APW,RJCC-RJAA
APW8523,APW,8523,APW,RJAA-RJCC
APW8527,APW,8527,APW,RJAA-RJCC
APW8528,APW,8528,APW,RJCC-RJAA
APW8541,APW,8541,APW,RJAA-RJFF
APW8542,APW,8542,APW,RJFF-RJAA
APW8543,APW,8543,APW,RJAA-RJFF
APW8544,APW,8544,APW,RJFF-RJAA
APW8665,APW,8665,APW,RJAA-ROAH
APW8666,APW,8666,APW,ROAH-RJAA
APW884,APW,884,APW,RKPK-RJAA
APW885,APW,885,APW,RJAA-RKPK
APW888,APW,888,APW,RKPK-RJAA
APW889,APW,889,APW,RJAA-RKPK
APW892,APW,892,APW,RKSI-RJAA
APW893,APW,893,APW,RJAA-RKSI
APW905,APW,905,APW,RJAA-RJCC
APW909,APW,909,APW,RJAA-RJCC
