Callsign,Code,Number,AirlineCode,AirportCodes
ASL102,ASL,102,ASL,LYBE-LQBK
ASL103,ASL,103,ASL,LQBK-LYBE
ASL105,ASL,105,ASL,LYBE-LYPG
ASL1053,ASL,1053,ASL,LBSF-LYBE
ASL10A,ASL,10A,ASL,LYBE-LSZH
ASL10F,ASL,10F,ASL,LDZA-LYBE
ASL10N,ASL,10N,ASL,LYBE-LCLK
ASL10P,ASL,10P,ASL,EHAM-LYBE
ASL10Q,ASL,10Q,ASL,LROP-LYBE
ASL10V,ASL,10V,ASL,LROP-LYBE
ASL10W,ASL,10W,ASL,LROP-LYBE
ASL1101,ASL,1101,ASL,LYNI-LYBE
ASL1102,ASL,1102,ASL,LYBE-LYNI
ASL112,ASL,112,ASL,LYBE-LQSA
ASL113,ASL,113,ASL,LQSA-LYBE
ASL114,ASL,114,ASL,LYBE-LWSK
ASL115,ASL,115,ASL,LWSK-LYBE
ASL1192,ASL,1192,ASL,LYNI-LJLJ
ASL1193,ASL,1193,ASL,LJLJ-LYNI
ASL11B,ASL,11B,ASL,LYBE-LTAI
ASL11C,ASL,11C,ASL,LYBE-LSZH
ASL11G,ASL,11G,ASL,LYBE-LKPR
ASL11H,ASL,11H,ASL,EDDS-LYBE
ASL11K,ASL,11K,ASL,LSGG-LYBE
ASL11P,ASL,11P,ASL,LFLL-LYBE
ASL11T,ASL,11T,ASL,LYBE-LBSF
ASL11X,ASL,11X,ASL,LYBE-LYTV
ASL122,ASL,122,ASL,LYBE-LBSF
ASL123,ASL,123,ASL,LBSF-LYBE
ASL125,ASL,125,ASL,ULLI-LYBE
ASL12D,ASL,12D,ASL,LTAI-LYBE
ASL12E,ASL,12E,ASL,LQBK-LYBE
ASL12F,ASL,12F,ASL,LYBE-LROP
ASL12K,ASL,12K,ASL,LYBE-LTAI
ASL12N,ASL,12N,ASL,LJLJ-LYBE
ASL12V,ASL,12V,ASL,LYBE-LYPG
ASL131,ASL,131,ASL,UUEE-LYBE
ASL132,ASL,132,ASL,LYBE-UUEE
ASL1326,ASL,1326,ASL,LYNI-EDDK
ASL1327,ASL,1327,ASL,EDDK-LYNI
ASL133,ASL,133,ASL,UUEE-LYBE
ASL1336,ASL,1336,ASL,LYNI-EDFH
ASL1337,ASL,1337,ASL,EDFH-LYNI
ASL134,ASL,134,ASL,LYBE-UUEE
ASL135,ASL,135,ASL,UUEE-LYBE
ASL1356,ASL,1356,ASL,LYNI-EDDN
ASL1357,ASL,1357,ASL,EDDN-LYNI
ASL136,ASL,136,ASL,LYBE-LBWN
ASL1364,ASL,1364,ASL,LYBE-LBWN
ASL1365,ASL,1365,ASL,LBWN-LYBE
ASL137,ASL,137,ASL,UUEE-LYBE
ASL1377,ASL,1377,ASL,EDNY-LYNI
ASL139,ASL,139,ASL,UUEE-LYBE
ASL1393,ASL,1393,ASL,EDDV-LYNI
ASL13A,ASL,13A,ASL,ESSA-LYBE
ASL13H,ASL,13H,ASL,LHBP-LYBE
ASL13K,ASL,13K,ASL,LYBE-LIRF
ASL13L,ASL,13L,ASL,LYBE-EGLL
ASL13M,ASL,13M,ASL,LYBE-LIRF
ASL13Q,ASL,13Q,ASL,LYNI-LGAV
ASL13W,ASL,13W,ASL,HECA-LYBE
ASL13Y,ASL,13Y,ASL,LYBE-LIRF
ASL1416,ASL,1416,ASL,LYNI-ESGG
ASL1417,ASL,1417,ASL,ESGG-LYNI
ASL142,ASL,142,ASL,LYBE-LDDU
ASL143,ASL,143,ASL,LDDU-LYBE
ASL14C,ASL,14C,ASL,LYBE-EDDL
ASL14H,ASL,14H,ASL,LYBE-LEMG
ASL14M,ASL,14M,ASL,LYBE-LDZA
ASL14R,ASL,14R,ASL,LYBE-LKPR
ASL14T,ASL,14T,ASL,EDDS-LYBE
ASL14U,ASL,14U,ASL,EDDS-LYBE
ASL1536,ASL,1536,ASL,LYNI-LIRF
ASL1550,ASL,1550,ASL,LYNI-LIPE
ASL15A,ASL,15A,ASL,LYBE-LGAV
ASL15B,ASL,15B,ASL,EDDL-LYBE
ASL15D,ASL,15D,ASL,EDDH-LYBE
ASL15E,ASL,15E,ASL,HECA-LYBE
ASL15H,ASL,15H,ASL,LYBE-LIBD
ASL15J,ASL,15J,ASL,LOWW-LYBE
ASL15K,ASL,15K,ASL,LYBE-LFLL
ASL15L,ASL,15L,ASL,LJLJ-LYBE
ASL15M,ASL,15M,ASL,LYBE-LYNI
ASL15N,ASL,15N,ASL,ENGM-LYBE
ASL15R,ASL,15R,ASL,LYBE-LGAV
ASL15T,ASL,15T,ASL,LCLK-LYBE
ASL15U,ASL,15U,ASL,LOWW-LYBE
ASL15V,ASL,15V,ASL,LYBE-LIPQ
ASL1608,ASL,1608,ASL,LYNI-LOWS
ASL1609,ASL,1609,ASL,LOWS-LYNI
ASL162,ASL,162,ASL,LYBE-LWSK
ASL1626,ASL,1626,ASL,LYNI-LHBP
ASL163,ASL,163,ASL,LWSK-LYBE
ASL166,ASL,166,ASL,LYBE-LWSK
ASL16D,ASL,16D,ASL,LYBE-LDZA
ASL16E,ASL,16E,ASL,EHAM-LYBE
ASL16G,ASL,16G,ASL,LYBE-LDPL
ASL16H,ASL,16H,ASL,LJLJ-LYNI
ASL16N,ASL,16N,ASL,LYBE-LWSK
ASL16Q,ASL,16Q,ASL,LYBE-EPKK
ASL16R,ASL,16R,ASL,LYBE-LKPR
ASL16V,ASL,16V,ASL,LYBE-EDDL
ASL16W,ASL,16W,ASL,LYBE-LFPG
ASL170,ASL,170,ASL,LYBE-LYPG
ASL171,ASL,171,ASL,WIEE-LYBE
ASL172,ASL,172,ASL,LYBE-LYPG
ASL173,ASL,173,ASL,LYPG-LYBE
ASL174,ASL,174,ASL,LYBE-LYPG
ASL175,ASL,175,ASL,LYPG-LYBE
ASL17F,ASL,17F,ASL,LYNI-LYBE
ASL17H,ASL,17H,ASL,LYBE-LEMD
ASL17J,ASL,17J,ASL,LYBE-LTAI
ASL17K,ASL,17K,ASL,LYBE-LIRQ
ASL17M,ASL,17M,ASL,LYBE-LTFM
ASL17P,ASL,17P,ASL,LDZA-LYBE
ASL17Y,ASL,17Y,ASL,LYNI-EDFH
ASL180,ASL,180,ASL,LYBE-LYTV
ASL1804,ASL,1804,ASL,LYNI-LTFM
ASL181,ASL,181,ASL,LYTV-LYBE
ASL182,ASL,182,ASL,LYBE-LYTV
ASL1826,ASL,1826,ASL,LYBE-OLBA
ASL183,ASL,183,ASL,LYTV-LYBE
ASL184,ASL,184,ASL,LYBE-LYTV
ASL185,ASL,185,ASL,LYTV-LYBE
ASL18B,ASL,18B,ASL,LYBE-LIRF
ASL18H,ASL,18H,ASL,LGAV-LYNI
ASL18K,ASL,18K,ASL,EKCH-LYBE
ASL18T,ASL,18T,ASL,LYBE-LOWW
ASL18V,ASL,18V,ASL,LYBE-LATI
ASL18W,ASL,18W,ASL,LATI-LYBE
ASL190,ASL,190,ASL,LYBE-LJLJ
ASL191,ASL,191,ASL,LJLJ-LYBE
ASL194,ASL,194,ASL,LYBE-LJLJ
ASL195,ASL,195,ASL,LJLJ-LYBE
ASL19G,ASL,19G,ASL,LATI-LYBE
ASL19H,ASL,19H,ASL,LYBE-LFML
ASL19K,ASL,19K,ASL,LYBE-LTFE
ASL19M,ASL,19M,ASL,LYBE-LYTV
ASL19N,ASL,19N,ASL,LYBE-HEGN
ASL19Q,ASL,19Q,ASL,LIRF-LYBE
ASL19W,ASL,19W,ASL,LYBE-LWSK
ASL19Z,ASL,19Z,ASL,LROP-LYBE
ASL2000,ASL,2000,ASL,LYBE-LYKV
ASL2001,ASL,2001,ASL,LYKV-LYBE
ASL202,ASL,202,ASL,LYBE-LYTV
ASL208,ASL,208,ASL,LYBE-EGLL
ASL209,ASL,209,ASL,EGLL-LYBE
ASL20G,ASL,20G,ASL,LYBE-LDZA
ASL20H,ASL,20H,ASL,LYBE-ESSA
ASL20K,ASL,20K,ASL,EHAM-LYBE
ASL20N,ASL,20N,ASL,LTFM-LYNI
ASL20P,ASL,20P,ASL,LYBE-LEMG
ASL20Z,ASL,20Z,ASL,LDSP-LYBE
ASL210,ASL,210,ASL,LYBE-EGLL
ASL211,ASL,211,ASL,EGLL-LYBE
ASL212,ASL,212,ASL,LYBE-LATI
ASL2122,ASL,2122,ASL,LYBE-LBSF
ASL213,ASL,213,ASL,LATI-LYBE
ASL2188,ASL,2188,ASL,LYKV-LYTV
ASL2189,ASL,2189,ASL,LYTV-LYKV
ASL21A,ASL,21A,ASL,LATI-LYBE
ASL21B,ASL,21B,ASL,LYBE-LYTV
ASL21F,ASL,21F,ASL,EKCH-LYBE
ASL21H,ASL,21H,ASL,LEBL-LYBE
ASL21P,ASL,21P,ASL,LYBE-ESSA
ASL21R,ASL,21R,ASL,LYBE-EDDH
ASL21W,ASL,21W,ASL,LYBE-EFHK
ASL21X,ASL,21X,ASL,LYBE-EHAM
ASL21Y,ASL,21Y,ASL,LYBE-EDDL
ASL22A,ASL,22A,ASL,LIPZ-LYBE
ASL22B,ASL,22B,ASL,LDZA-LYBE
ASL22D,ASL,22D,ASL,LYTV-LYBE
ASL22E,ASL,22E,ASL,LDDU-LYBE
ASL22F,ASL,22F,ASL,LYBE-LIPZ
ASL22G,ASL,22G,ASL,LYBE-LTAI
ASL22J,ASL,22J,ASL,ENGM-LYBE
ASL22M,ASL,22M,ASL,LYTV-LYBE
ASL22P,ASL,22P,ASL,LATI-LYBE
ASL22Q,ASL,22Q,ASL,LYBE-LEVC
ASL22R,ASL,22R,ASL,LYNI-LYBE
ASL230,ASL,230,ASL,LYBE-LDZA
ASL231,ASL,231,ASL,LDZA-LYBE
ASL234,ASL,234,ASL,LYBE-LDZA
ASL235,ASL,235,ASL,LDZA-LYBE
ASL2361,ASL,2361,ASL,EHAM-LYBE
ASL23A,ASL,23A,ASL,LFLL-LYBE
ASL23B,ASL,23B,ASL,LJLJ-LYNI
ASL23E,ASL,23E,ASL,ESSA-LYBE
ASL23G,ASL,23G,ASL,EGLL-LYBE
ASL23M,ASL,23M,ASL,ENGM-LYBE
ASL23P,ASL,23P,ASL,LYBE-EKCH
ASL23Q,ASL,23Q,ASL,LYBE-LMML
ASL23U,ASL,23U,ASL,ESSA-LYBE
ASL240,ASL,240,ASL,LYBE-LFPG
ASL241,ASL,241,ASL,LFPG-LYBE
ASL242,ASL,242,ASL,LYBE-LFPG
ASL2428,ASL,2428,ASL,LYKV-LTFM
ASL2429,ASL,2429,ASL,LTFM-LYKV
ASL243,ASL,243,ASL,LFPG-LYBE
ASL24A,ASL,24A,ASL,LYBE-EBBR
ASL24B,ASL,24B,ASL,EDDF-LYBE
ASL24E,ASL,24E,ASL,LYBE-ESSA
ASL24F,ASL,24F,ASL,LYNI-LYBE
ASL24G,ASL,24G,ASL,LYBE-LCLK
ASL24J,ASL,24J,ASL,LIPZ-LYBE
ASL24M,ASL,24M,ASL,LIPZ-LYBE
ASL24Q,ASL,24Q,ASL,ENGM-LYBE
ASL24T,ASL,24T,ASL,LHBP-LYBE
ASL24U,ASL,24U,ASL,LTAI-LYBE
ASL24V,ASL,24V,ASL,LYBE-EDDK
ASL24Z,ASL,24Z,ASL,LYBE-LOWW
ASL2524,ASL,2524,ASL,LYKV-LGTS
ASL2525,ASL,2525,ASL,LGTS-LYKV
ASL25C,ASL,25C,ASL,LOWW-LYBE
ASL25D,ASL,25D,ASL,LYBE-EDDH
ASL25E,ASL,25E,ASL,LYBE-LTAI
ASL25K,ASL,25K,ASL,LYBE-LCLK
ASL25M,ASL,25M,ASL,LEBL-LYBE
ASL25N,ASL,25N,ASL,LYBE-LIPE
ASL25P,ASL,25P,ASL,EDDL-LYBE
ASL25Q,ASL,25Q,ASL,EKCH-LYBE
ASL25T,ASL,25T,ASL,LYBE-LIBD
ASL25W,ASL,25W,ASL,EKCH-LYBE
ASL25X,ASL,25X,ASL,LIRF-LYBE
ASL262,ASL,262,ASL,LYBE-EHAM
ASL263,ASL,263,ASL,EHAM-LYBE
ASL26B,ASL,26B,ASL,LTAI-LYBE
ASL26D,ASL,26D,ASL,LTAI-LYBE
ASL26E,ASL,26E,ASL,LYNI-EDFH
ASL26F,ASL,26F,ASL,LHBP-LYBE
ASL26G,ASL,26G,ASL,LIPE-LYBE
ASL26H,ASL,26H,ASL,LYBE-LDZA
ASL26J,ASL,26J,ASL,LIMC-LYBE
ASL26K,ASL,26K,ASL,LYBE-LSZH
ASL26L,ASL,26L,ASL,LGTS-LYBE
ASL26R,ASL,26R,ASL,LYBE-LTBA
ASL26T,ASL,26T,ASL,LTAI-LYBE
ASL26W,ASL,26W,ASL,LYBE-LGSA
ASL272,ASL,272,ASL,LYBE-EHAM-EBBR-LYBE
ASL27E,ASL,27E,ASL,LYBE-LQBK
ASL27G,ASL,27G,ASL,LYBE-LHBP
ASL27H,ASL,27H,ASL,LYBE-LEBL
ASL27J,ASL,27J,ASL,LTBA-LYBE
ASL27K,ASL,27K,ASL,LYBE-LCLK
ASL27M,ASL,27M,ASL,LYBE-LFPG
ASL27Q,ASL,27Q,ASL,LYBE-EKCH
ASL27U,ASL,27U,ASL,LYBE-EDDL
ASL27W,ASL,27W,ASL,LYBE-LOWS
ASL27X,ASL,27X,ASL,LGAV-LYBE
ASL27Y,ASL,27Y,ASL,LYBE-LCLK
ASL27Z,ASL,27Z,ASL,LYBE-LHBP
ASL2804,ASL,2804,ASL,LYKV-LTFM
ASL2805,ASL,2805,ASL,LTFM-LYKV
ASL28C,ASL,28C,ASL,EDDL-LYBE
ASL28F,ASL,28F,ASL,LEMD-LYBE
ASL28G,ASL,28G,ASL,LYBE-LOWS
ASL28H,ASL,28H,ASL,LYBE-LHBP
ASL28J,ASL,28J,ASL,LYBE-LOWW
ASL28K,ASL,28K,ASL,EDDK-LYNI
ASL28V,ASL,28V,ASL,LYBE-ENGM
ASL28W,ASL,28W,ASL,LYBE-LTFM
ASL28X,ASL,28X,ASL,LYBE-LKPR
ASL28Y,ASL,28Y,ASL,LYNI-LJLJ
ASL29E,ASL,29E,ASL,LSZH-LYBE
ASL29H,ASL,29H,ASL,LYTV-LYBE
ASL29J,ASL,29J,ASL,LYBE-LDZA
ASL29K,ASL,29K,ASL,LYPG-LYBE
ASL29L,ASL,29L,ASL,LYBE-LGTS
ASL29N,ASL,29N,ASL,LYPG-LYBE
ASL29P,ASL,29P,ASL,LDZA-LYBE
ASL29Q,ASL,29Q,ASL,LYBE-EDDT
ASL29R,ASL,29R,ASL,LYBE-LDRI
ASL29T,ASL,29T,ASL,EDDH-LYBE
ASL29W,ASL,29W,ASL,LYBE-LIMC
ASL300,ASL,300,ASL,LYBE-EBBR
ASL301,ASL,301,ASL,EBBR-LYBE
ASL304,ASL,304,ASL,LYBE-EBBR
ASL305,ASL,305,ASL,EBBR-LYBE
ASL30B,ASL,30B,ASL,LTAI-LYBE
ASL30F,ASL,30F,ASL,LTAC-LYBE
ASL30L,ASL,30L,ASL,LYTV-LYBE
ASL30N,ASL,30N,ASL,LYBE-ESGG
ASL30Q,ASL,30Q,ASL,LYBE-EDDH
ASL30R,ASL,30R,ASL,LOWS-LYBE
ASL30U,ASL,30U,ASL,EDDL-LYBE
ASL30V,ASL,30V,ASL,LYBE-LROP
ASL30X,ASL,30X,ASL,LYBE-LWSK
ASL30Y,ASL,30Y,ASL,LYBE-EPWA
ASL310,ASL,310,ASL,LYBE-LFPG
ASL311,ASL,311,ASL,LFPG-LYBE
ASL3130,ASL,3130,ASL,LYBE-LBWN
ASL3131,ASL,3131,ASL,LBWN-LYBE
ASL314,ASL,314,ASL,LYBE-LFPG
ASL315,ASL,315,ASL,LFPG-LYBE
ASL316,ASL,316,ASL,LYBE-LFPG
ASL317,ASL,317,ASL,LFPG-LYBE
ASL31A,ASL,31A,ASL,LDPL-LYBE
ASL31D,ASL,31D,ASL,EGLL-LYBE
ASL31E,ASL,31E,ASL,LIMC-LYBE
ASL31N,ASL,31N,ASL,LQSA-LYBE
ASL31T,ASL,31T,ASL,LYBE-LTFM
ASL31W,ASL,31W,ASL,EHAM-LYBE
ASL320,ASL,320,ASL,LYBE-EDDL
ASL321,ASL,321,ASL,EDDL-LYBE
ASL324,ASL,324,ASL,LYBE-EDDL
ASL325,ASL,325,ASL,EDDL-LYBE
ASL32B,ASL,32B,ASL,LGTS-LYBE
ASL32C,ASL,32C,ASL,LHBP-LYBE
ASL32D,ASL,32D,ASL,LDZA-LYBE
ASL32G,ASL,32G,ASL,LROP-LYBE
ASL32N,ASL,32N,ASL,LYBE-LWOH
ASL32P,ASL,32P,ASL,LYBE-LCLK
ASL32Q,ASL,32Q,ASL,LDZA-LYBE
ASL32Y,ASL,32Y,ASL,LYBE-LFLL
ASL32Z,ASL,32Z,ASL,LTBJ-LYBE
ASL330,ASL,330,ASL,LYBE-EDDF
ASL331,ASL,331,ASL,LSZH-LYBE
ASL334,ASL,334,ASL,LYBE-EDDF
ASL3370,ASL,3370,ASL,LYBE-LWOH-LFSB
ASL33A,ASL,33A,ASL,LIRF-LYBE
ASL33D,ASL,33D,ASL,EBBR-LYBE
ASL33E,ASL,33E,ASL,LYBE-EDDN
ASL33G,ASL,33G,ASL,EHAM-LYBE
ASL33H,ASL,33H,ASL,LPPT-LYBE
ASL33K,ASL,33K,ASL,LYBE-EDDF
ASL33P,ASL,33P,ASL,EDDH-LYBE
ASL33U,ASL,33U,ASL,LYPG-LYBE
ASL33X,ASL,33X,ASL,LYBE-EDDF
ASL33Z,ASL,33Z,ASL,EBBR-LYBE
ASL340,ASL,340,ASL,LYBE-EDDS
ASL3400,ASL,3400,ASL,LYBE-EKCH
ASL3401,ASL,3401,ASL,EKCH-LYBE
ASL341,ASL,341,ASL,EDDS-LYBE
ASL3411,ASL,3411,ASL,LIRN-LYBE
ASL344,ASL,344,ASL,LYBE-EDDS
ASL345,ASL,345,ASL,EDDS-LYBE
ASL346,ASL,346,ASL,LYBE-EDDS
ASL347,ASL,347,ASL,EDDS-LYBE
ASL34B,ASL,34B,ASL,LYBE-LTAI
ASL34D,ASL,34D,ASL,LYBE-LGTS
ASL34E,ASL,34E,ASL,LYBE-LTFE
ASL34H,ASL,34H,ASL,ESSA-LYBE
ASL34K,ASL,34K,ASL,LYBE-LJLJ
ASL34Q,ASL,34Q,ASL,LYBE-EDDB
ASL350,ASL,350,ASL,LYBE-EDDB
ASL3500,ASL,3500,ASL,LYBE-LIRN
ASL351,ASL,351,ASL,EDDB-LYBE
ASL3510,ASL,3510,ASL,LYBE-LGSR
ASL3511,ASL,3511,ASL,LGAV-LYBE
ASL3512,ASL,3512,ASL,LYBE-LGAV
ASL3521,ASL,3521,ASL,LGIR-LYBE
ASL354,ASL,354,ASL,LYBE-EDDT
ASL355,ASL,355,ASL,EDDT-LYBE
ASL35B,ASL,35B,ASL,LYBE-LWSK
ASL35C,ASL,35C,ASL,LYBE-LTAI
ASL35E,ASL,35E,ASL,LYBE-LTFM
ASL35F,ASL,35F,ASL,LFML-LYBE
ASL35J,ASL,35J,ASL,LYBE-OLBA
ASL35K,ASL,35K,ASL,LIMC-LYBE
ASL35P,ASL,35P,ASL,LYBE-LTAI
ASL35T,ASL,35T,ASL,LYBE-LJLJ
ASL35U,ASL,35U,ASL,LBSF-LYBE
ASL35X,ASL,35X,ASL,LYBE-LKPR
ASL35Z,ASL,35Z,ASL,EBBR-LYBE
ASL36,ASL,36,ASL,LGTS-LYBE
ASL360,ASL,360,ASL,LYBE-EHAM
ASL361,ASL,361,ASL,EHAM-LYBE
ASL364,ASL,364,ASL,LYBE-EHAM
ASL3640,ASL,3640,ASL,LYBE-LROP
ASL3641,ASL,3641,ASL,LROP-LYBE
ASL365,ASL,365,ASL,EHAM-LYBE
ASL3656,ASL,3656,ASL,LYBE-LUKK
