Callsign,Code,Number,AirlineCode,AirportCodes
ASV101,ASV,101,ASV,RKSI-PGUM
ASV102,ASV,102,ASV,RKSI-PGUM
ASV103,ASV,103,ASV,RKSI-PGUM
ASV104,ASV,104,ASV,PGUM-RKSI
ASV105,ASV,105,ASV,RKSI-PGUM
ASV106,ASV,106,ASV,PGUM-RKSI
ASV501,ASV,501,ASV,RKSI-VHHH
ASV502,ASV,502,ASV,VHHH-RKSI
ASV511,ASV,511,ASV,RKSI-VVDN
ASV512,ASV,512,ASV,VVDN-RKSI
ASV513,ASV,513,ASV,RKSI-VVDN
ASV5135,ASV,5135,ASV,RKSI-VVDN
ASV514,ASV,514,ASV,VVDN-RKSI
ASV5146,ASV,5146,ASV,VVDN-RKSI
ASV522,ASV,522,ASV,VVNB-RKSI
ASV525,ASV,525,ASV,RKSI-VVCR
ASV526,ASV,526,ASV,VVCR-RKSI
ASV527,ASV,527,ASV,RKSI-VVCR
ASV528,ASV,528,ASV,VVCR-RKSI
ASV529,ASV,529,ASV,RKSI-VVCR
ASV530,ASV,530,ASV,VVCR-RKSI
ASV531,ASV,531,ASV,RKSI-RPVK
ASV532,ASV,532,ASV,RPVK-RKSI
ASV541,ASV,541,ASV,RKSI-WBKK
ASV542,ASV,542,ASV,WBKK-RKSI
ASV545,ASV,545,ASV,RKSI-VDSR
ASV546,ASV,546,ASV,VDSR-RKSI
ASV581,ASV,581,ASV,RKSI-RPVT
ASV582,ASV,582,ASV,RPVT-RKSI
ASV701,ASV,701,ASV,RKSI-RJAA
ASV702,ASV,702,ASV,RJAA-RKSI
ASV703,ASV,703,ASV,RKSI-RJAA
ASV704,ASV,704,ASV,RJAA-RKSI
ASV705,ASV,705,ASV,RKSI-RJAA
ASV706,ASV,706,ASV,RJAA-RKSI
ASV707,ASV,707,ASV,RKSI-RJAA
ASV708,ASV,708,ASV,RJAA-RKSI
ASV711,ASV,711,ASV,RKSI-RJBB
ASV712,ASV,712,ASV,RJBB-RKSI
ASV713,ASV,713,ASV,RKSI-RJBB
ASV714,ASV,714,ASV,RJBB-RKSI
ASV715,ASV,715,ASV,RKSI-RJBB
ASV716,ASV,716,ASV,RJBB-RKSI
ASV717,ASV,717,ASV,RKSI-RJBB
ASV718,ASV,718,ASV,RJBB-RKSI
ASV723,ASV,723,ASV,RKSI-RJFF
ASV724,ASV,724,ASV,RJFF-RKSI
ASV727,ASV,727,ASV,RKSI-RJFF
ASV728,ASV,728,ASV,RJFF-RKSI
ASV731,ASV,731,ASV,RKSI-RJCC
ASV732,ASV,732,ASV,RJCC-RKSI
ASV734,ASV,734,ASV,RJCC-RKSI
ASV741,ASV,741,ASV,RKSI-RJOT
ASV742,ASV,742,ASV,RJOT-RKSI
ASV744,ASV,744,ASV,RJOT-RKSI
ASV745,ASV,745,ASV,RKSI-RJOH
ASV746,ASV,746,ASV,RJOH-RKSI
ASV751,ASV,751,ASV,RJAA-RKSI
ASV752,ASV,752,ASV,RKSI-RJAA
ASV753,ASV,753,ASV,RJAA-RKSI
ASV754,ASV,754,ASV,RKSI-RJAA
ASV791,ASV,791,ASV,RJCC-RKSI
ASV792,ASV,792,ASV,RKSI-RJCC
ASV811,ASV,811,ASV,RKSI-ZGDY
ASV812,ASV,812,ASV,ZGDY-RKSI
ASV813,ASV,813,ASV,RKSI-ZGDY
ASV814,ASV,814,ASV,ZGDY-RKSI
ASV831,ASV,831,ASV,RKSI-ZSYT
ASV901,ASV,901,ASV,RKSS-RKPC
ASV902,ASV,902,ASV,RKPC-RKSS
ASV903,ASV,903,ASV,RKSS-RKPC
ASV904,ASV,904,ASV,RKPC-RKSS
ASV905,ASV,905,ASV,RKSS-RKPC
ASV906,ASV,906,ASV,RKPC-RKSS
ASV907,ASV,907,ASV,RKSS-RKPC
ASV908,ASV,908,ASV,RKPC-RKSS
ASV912,ASV,912,ASV,RKPC-RKSS
ASV921,ASV,921,ASV,RKSS-RKPC
ASV922,ASV,922,ASV,RKPC-RKSS
ASV923,ASV,923,ASV,RKSS-RKPC
ASV924,ASV,924,ASV,RKPC-RKSS
ASV925,ASV,925,ASV,RKSS-RKPC
ASV926,ASV,926,ASV,RKPC-RKSS
ASV927,ASV,927,ASV,RKSS-RKPC
ASV928,ASV,928,ASV,RKPC-RKSS
ASV936,ASV,936,ASV,RKPC-RKSS
ASV937,ASV,937,ASV,RKSS-RKPC
ASV9402,ASV,9402,ASV,RKPC-RKSS
ASV942,ASV,942,ASV,RKPC-RKSS
ASV955,ASV,955,ASV,RKTU-RKPC
ASV961,ASV,961,ASV,RKSS-RKPK
ASV963,ASV,963,ASV,RKSS-RKPK
ASV964,ASV,964,ASV,RKPK-RKSS
ASV965,ASV,965,ASV,RKSS-RKPK
ASV966,ASV,966,ASV,RKPK-RKSS
ASV967,ASV,967,ASV,RKSS-RKPK
ASV968,ASV,968,ASV,RKPK-RKSS
ASV969,ASV,969,ASV,RKSS-RKPK
ASV973,ASV,973,ASV,RKPK-RKPC
ASV974,ASV,974,ASV,RKPC-RKPK
ASV981,ASV,981,ASV,RKSS-RKPK
ASV983,ASV,983,ASV,RKSS-RKPK
ASV985,ASV,985,ASV,RKSS-RKPK
ASV986,ASV,986,ASV,RKPK-RKSS
