Callsign,Code,Number,AirlineCode,AirportCodes
AUL101,AUL,101,AUL,ULMM-URSS
AUL102,AUL,102,AUL,URSS-ULMM
AUL105,AUL,105,AUL,ULAA-URKA
AUL106,AUL,106,AUL,URKA-ULAA
AUL107,AUL,107,AUL,UUYY-URKA
AUL108,AUL,108,AUL,URKA-UUYY
AUL109,AUL,109,AUL,UUYY-URSS
AUL110,AUL,110,AUL,URSS-UUYY
AUL111,AUL,111,AUL,ULMM-URKA
AUL112,AUL,112,AUL,URKA-ULMM
AUL115,AUL,115,AUL,ULAA-UUEE
AUL116,AUL,116,AUL,UUDD-ULAA
AUL117,AUL,117,AUL,ULAA-UUDD
AUL118,AUL,118,AUL,UUDD-ULAA
AUL119,AUL,119,AUL,UUEE-ULAA
AUL120,AUL,120,AUL,ULAA-UUEE
AUL1207,AUL,1207,AUL,UUDD-URML
AUL1231,AUL,1231,AUL,UUDD-UWOO
AUL1240,AUL,1240,AUL,URSS-UUEE
AUL1259,AUL,1259,AUL,UUDD-UKFF
AUL1296,AUL,1296,AUL,ULLI-UUEE
AUL130,AUL,130,AUL,URSS-UUYY
AUL1301,AUL,1301,AUL,USII-UUDD
AUL1302,AUL,1302,AUL,UUDD-USII
AUL1307,AUL,1307,AUL,USII-UUDD
AUL1308,AUL,1308,AUL,UUDD-USII
AUL144,AUL,144,AUL,ULLI-ULAA
AUL145,AUL,145,AUL,ULAA-ULLI
AUL146,AUL,146,AUL,ULLI-ULAA
AUL147,AUL,147,AUL,ULAA-ULLI
AUL148,AUL,148,AUL,ULLI-ULAA
AUL149,AUL,149,AUL,ULAA-ULLI
AUL150,AUL,150,AUL,ULLI-ULAA
AUL1504,AUL,1504,AUL,UUYY-ULLI
AUL1506,AUL,1506,AUL,UMKK-ULLI
AUL151,AUL,151,AUL,ULAA-ULLI
AUL152,AUL,152,AUL,ULLI-ULAA
AUL1520,AUL,1520,AUL,ULLI-ULMM
AUL1522,AUL,1522,AUL,ULMM-UUEE
AUL1524,AUL,1524,AUL,URKA-ULLI
AUL1538,AUL,1538,AUL,UWKD-ULLI
AUL1542,AUL,1542,AUL,URMM-ULLI
AUL1547,AUL,1547,AUL,ULLI-URSS
AUL1548,AUL,1548,AUL,URSS-ULLI
AUL1561,AUL,1561,AUL,UUDD-UIUU
AUL1572,AUL,1572,AUL,UNNT-ULLI
AUL1585,AUL,1585,AUL,ULLI-URKK
AUL1597,AUL,1597,AUL,ULLI-UWKD
AUL163,AUL,163,AUL,ULAA-URSS
AUL164,AUL,164,AUL,URSS-ULAA
AUL169,AUL,169,AUL,ULMM-UKFF
AUL170,AUL,170,AUL,UKFF-ULMM
