Callsign,Code,Number,AirlineCode,AirportCodes
AUR0EM,AUR,0EM,AUR,EGJB-EGNX
AUR100P,AUR,100P,AUR,EGMC-EGKK
AUR108,AUR,108,AUR,EGJB-EIDW
AUR109,AUR,109,AUR,EIDW-EGJB
AUR1121,AUR,1121,AUR,EGDX-EIDW
AUR11LY,AUR,11LY,AUR,EGLC-EGJB
AUR11P,AUR,11P,AUR,EGJB-EGGW
AUR169G,AUR,169G,AUR,EGJB-EGNX
AUR1EM,AUR,1EM,AUR,EGNX-EGJB
AUR1ET,AUR,1ET,AUR,EGTE-EGJB
AUR200,AUR,200,AUR,EGJB-EGJA
AUR201,AUR,201,AUR,EGJA-EGJB
AUR202,AUR,202,AUR,EGJB-EGJA
AUR203,AUR,203,AUR,EGJA-EGJB
AUR205,AUR,205,AUR,EGJA-EGJB
AUR206,AUR,206,AUR,EGJB-EGJA
AUR207,AUR,207,AUR,EGJA-EGJB
AUR208,AUR,208,AUR,EGJB-EGJA
AUR209,AUR,209,AUR,EGJA-EGJB
AUR20GW,AUR,20GW,AUR,EGJB-EGKK
AUR211,AUR,211,AUR,EGJA-EGJB
AUR214,AUR,214,AUR,EGJB-EGJA
AUR215,AUR,215,AUR,EGJA-EGJB
AUR216,AUR,216,AUR,EGJB-EGJA
AUR21GW,AUR,21GW,AUR,EGKK-EGJB
AUR223,AUR,223,AUR,EGJA-EGJB
AUR227,AUR,227,AUR,EGJA-EGJB
AUR228,AUR,228,AUR,EGJB-EGJA
AUR231,AUR,231,AUR,EGJA-EGJB
AUR232,AUR,232,AUR,EGJB-EGJA
AUR23C,AUR,23C,AUR,EGSS-EGJB
AUR24C,AUR,24C,AUR,EGJB-EGKK
AUR25C,AUR,25C,AUR,EGKK-EGJB
AUR262,AUR,262,AUR,EGJB-EGJA
AUR267,AUR,267,AUR,EGJA-EGJB
AUR26C,AUR,26C,AUR,EGJB-EGSS
AUR27C,AUR,27C,AUR,EGSS-EGJB
AUR282,AUR,282,AUR,EGJB-EGJA
AUR287,AUR,287,AUR,EGJA-EGJB
AUR28C,AUR,28C,AUR,EGJB-EGSS
AUR29C,AUR,29C,AUR,EGSS-EGJB
AUR2BM,AUR,2BM,AUR,EGJB-EGBB
AUR2ET,AUR,2ET,AUR,EGJB-EGTE
AUR2GB,AUR,2GB,AUR,EGJB-EGSS
AUR2LG,AUR,2LG,AUR,EGJB-EGKK
AUR301,AUR,301,AUR,EGJJ-EGJB
AUR30J,AUR,30J,AUR,EGJB-EGJJ
AUR30K,AUR,30K,AUR,EGJB-EGSH
AUR31J,AUR,31J,AUR,EGJJ-EGJB
AUR31K,AUR,31K,AUR,EGGP-EGJB
AUR38J,AUR,38J,AUR,EGJB-EGJJ
AUR39J,AUR,39J,AUR,EGJJ-EGJB
AUR3BM,AUR,3BM,AUR,EGBB-EGJB
AUR3EM,AUR,3EM,AUR,EGJB-EGCC
AUR3ET,AUR,3ET,AUR,EGTE-EGJB
AUR3LG,AUR,3LG,AUR,EGKK-EGJB
AUR400,AUR,400,AUR,EGJB-EGLC
AUR401,AUR,401,AUR,EGLC-EGJB
AUR40LC,AUR,40LC,AUR,EGJB-EGLC
AUR40LY,AUR,40LY,AUR,EGJB-EGLC
AUR41LC,AUR,41LC,AUR,EGLC-EGJB
AUR41LY,AUR,41LY,AUR,EGLC-EGJB
AUR42D,AUR,42D,AUR,EGJB-EGGD
AUR432A,AUR,432A,AUR,EGJB-EGJJ-EGSS
AUR434C,AUR,434C,AUR,EGJJ-EGSS
AUR435C,AUR,435C,AUR,EGSS-EGJJ-EGJB
AUR437C,AUR,437C,AUR,EGSS-EGJJ
AUR43D,AUR,43D,AUR,EGGD-EGJB
AUR443C,AUR,443C,AUR,EGSS-EGJJ
AUR444C,AUR,444C,AUR,EGJJ-EGSS
