Callsign,Code,Number,AirlineCode,AirportCodes
AZD108,AZD,108,AZD,ESNU-ESNG-ESNQ
AZD109,AZD,109,AZD,ESNQ-ESNG-ESNU
AZD111,AZD,111,AZD,EDDF-EGBB
AZD112,AZD,112,AZD,EGBB-EDDF
AZD162,AZD,162,AZD,ESSV-ESSA
AZD191,AZD,191,AZD,ESPA-ESNU
AZD192,AZD,192,AZD,ESNU-ESPA
AZD20,AZD,20,AZD,ESMS-ESSA
AZD21,AZD,21,AZD,ESSA-ESMS
AZD211,AZD,211,AZD,EDDB-EIDW
AZD212,AZD,212,AZD,EIDW-EDDB
AZD22,AZD,22,AZD,ESMS-ESSA
AZD34,AZD,34,AZD,ESMX-ESSA
AZD35,AZD,35,AZD,ESSA-ESMX
AZD358,AZD,358,AZD,EHBK-EGBB-EIDW
AZD359,AZD,359,AZD,EIDW-EBLG
AZD40,AZD,40,AZD,ESGG-ESSA
AZD41,AZD,41,AZD,ESSA-ESGG
AZD70,AZD,70,AZD,ESOE-ESSA
AZD70F,AZD,70F,AZD,ESSA-ESOE
AZD7341,AZD,7341,AZD,ESSA-ESOE-ESGG
AZD87,AZD,87,AZD,ESNN-ESSA
AZD88,AZD,88,AZD,ESSA-ESNN
AZD91,AZD,91,AZD,ESNU-ESSA
AZD92,AZD,92,AZD,ESSA-ESNU
AZD93,AZD,93,AZD,ESNU-ESSA
AZD94,AZD,94,AZD,ESSA-ESNU
