Callsign,Code,Number,AirlineCode,AirportCodes
AZO105,AZO,105,AZO,URRP-UKFF
AZO106,AZO,106,AZO,UKFF-URRP
AZO112,AZO,112,AZO,UUWW-URRP
AZO121,AZO,121,AZO,URKK-UWUU
AZO124,AZO,124,AZO,URSS-URRP
AZO127,AZO,127,AZO,USCC-URMM
AZO128,AZO,128,AZO,URMM-USCC
AZO130,AZO,130,AZO,UWUU-URMM
AZO136,AZO,136,AZO,URWI-UUWW
AZO202,AZO,202,AZO,UUWW-URRP
AZO203,AZO,203,AZO,URRP-ULLI
AZO204,AZO,204,AZO,ULLI-URRP
AZO205,AZO,205,AZO,URRP-UKFF
AZO206,AZO,206,AZO,UKFF-URRP
AZO207,AZO,207,AZO,URRP-UWWW
AZO208,AZO,208,AZO,UWWW-URRP
AZO209,AZO,209,AZO,URRP-URMG
AZO210,AZO,210,AZO,URMG-URRP
AZO211,AZO,211,AZO,URRP-URML
AZO212,AZO,212,AZO,URML-URRP
AZO215,AZO,215,AZO,URRP-UWKD
AZO216,AZO,216,AZO,UWKD-URRP
AZO218,AZO,218,AZO,UWGG-URRR
AZO219,AZO,219,AZO,URRR-UNNT
AZO220,AZO,220,AZO,UNNT-URRP
AZO221,AZO,221,AZO,URRP-UWUU
AZO222,AZO,222,AZO,UWUU-URRP
AZO223,AZO,223,AZO,URRP-URSS
AZO224,AZO,224,AZO,URSS-URRP
AZO225,AZO,225,AZO,URRR-UDYZ
AZO226,AZO,226,AZO,UDYZ-URRP
AZO227,AZO,227,AZO,URRR-URMM
AZO228,AZO,228,AZO,URMM-URRR
AZO230,AZO,230,AZO,UCFM-URRP
AZO231,AZO,231,AZO,URRR-URWW
AZO233,AZO,233,AZO,URRP-USTR
AZO234,AZO,234,AZO,USTR-URRP
AZO239,AZO,239,AZO,URRP-URWA
AZO242,AZO,242,AZO,UWKE-URRP
AZO245,AZO,245,AZO,URRP-UUBC-UMKK
AZO246,AZO,246,AZO,UMKK-UUBC-URRP
AZO248,AZO,248,AZO,UNOO-URRP
AZO249,AZO,249,AZO,URRP-USCC
AZO253,AZO,253,AZO,URRP-UWGG-USPP
AZO254,AZO,254,AZO,USPP-UWGG-URRP
AZO257,AZO,257,AZO,URRP-URMM-URWA
AZO258,AZO,258,AZO,URWA-URMM-URRP
AZO262,AZO,262,AZO,UWGG-UWSG-URRP
AZO267,AZO,267,AZO,URRP-UWKE-USNN
AZO268,AZO,268,AZO,USNN-UWKE-URRP
AZO269,AZO,269,AZO,URRP-LTFM
AZO270,AZO,270,AZO,LTFM-URRP
AZO274,AZO,274,AZO,URSS-URMM-URRP
AZO275,AZO,275,AZO,URRP-LTAI
AZO278,AZO,278,AZO,URML-URSS-URRP
AZO291,AZO,291,AZO,URRP-UUWW
AZO292,AZO,292,AZO,UUWW-URRP
AZO297,AZO,297,AZO,URRP-UUWW-ULOO
AZO298,AZO,298,AZO,DBBP-UUWW-URRP
AZO301,AZO,301,AZO,URKK-UUWW-ULOO
AZO302,AZO,302,AZO,UUWW-URKK
AZO305,AZO,305,AZO,URKK-UKFF
AZO307,AZO,307,AZO,URKK-UWWW
AZO3070,AZO,3070,AZO,LTFM-URKK
AZO308,AZO,308,AZO,UWWW-URKK
AZO309,AZO,309,AZO,URKK-UDYZ
AZO313,AZO,313,AZO,URKK-UUOO
AZO315,AZO,315,AZO,URKK-UWKD
AZO317,AZO,317,AZO,URKK-UWSG-UWGG
AZO319,AZO,319,AZO,URKK-ULMM
AZO320,AZO,320,AZO,ULMM-URKK
AZO323,AZO,323,AZO,URKK-USCC
AZO324,AZO,324,AZO,USCC-URKK
AZO325,AZO,325,AZO,URKK-UNOO
AZO326,AZO,326,AZO,UNOO-URKK
AZO328,AZO,328,AZO,UWKE-URKK
AZO332,AZO,332,AZO,URWW-URKK
AZO333,AZO,333,AZO,URKK-USTR
AZO334,AZO,334,AZO,USTR-URKK
AZO335,AZO,335,AZO,URKK-USPP
AZO336,AZO,336,AZO,USPP-URKK
AZO337,AZO,337,AZO,URKK-UUBC
AZO338,AZO,338,AZO,UUBC-URKK
AZO339,AZO,339,AZO,URKK-URWA
AZO340,AZO,340,AZO,URWA-URKK
AZO342,AZO,342,AZO,UMKK-URMM-URKK
AZO343,AZO,343,AZO,URKK-UUBP
AZO345,AZO,345,AZO,URKK-UUDL
AZO346,AZO,346,AZO,UUDL-URKK
AZO347,AZO,347,AZO,URKK-UMKK
AZO348,AZO,348,AZO,UMKK-URKK
AZO349,AZO,349,AZO,URKK-EDDM
AZO350,AZO,350,AZO,EDDM-URKK
AZO354,AZO,354,AZO,UUOO-URMM-URKK
AZO355,AZO,355,AZO,URKK-UUOB
AZO356,AZO,356,AZO,UUOB-URKK
AZO357,AZO,357,AZO,URKK-URMM-URWA
AZO358,AZO,358,AZO,URWA-URMM-URKK
AZO361,AZO,361,AZO,URKK-UWSG
AZO362,AZO,362,AZO,UWSG-URKK
AZO366,AZO,366,AZO,UMMS-UUBC-URKK
AZO374,AZO,374,AZO,UUBP-URMM-URKK
AZO377,AZO,377,AZO,URKK-URMM-URML
AZO386,AZO,386,AZO,UCFO-URKK
AZO387,AZO,387,AZO,URKK-UMMS
AZO388,AZO,388,AZO,UMMS-URKK
AZO4017,AZO,4017,AZO,URML-USPP
AZO4022,AZO,4022,AZO,UDYZ-UWUU
AZO4027,AZO,4027,AZO,URML-USPP
