Callsign,Code,Number,AirlineCode,AirportCodes
AZU2000,AZU,2000,AZU,SBKP-SBEG
AZU2001,AZU,2001,AZU,SBEG-SBKP
AZU2002,AZU,2002,AZU,SBKP-SBEG
AZU2004,AZU,2004,AZU,SBKP-SBBE-SBEG-SBKP
AZU2005,AZU,2005,AZU,SBEG-SBKP
AZU2006,AZU,2006,AZU,SBKP-SBBE
AZU2007,AZU,2007,AZU,SBBE-SBEG
AZU2008,AZU,2008,AZU,SBKP-SBEG
AZU2009,AZU,2009,AZU,SBEG-SBKP
AZU2010,AZU,2010,AZU,SBKP-SBRF
AZU2012,AZU,2012,AZU,SBEG-SBKP
AZU2013,AZU,2013,AZU,SBKP-SBFZ
AZU2014,AZU,2014,AZU,SBPA-SBGR
AZU2015,AZU,2015,AZU,SBGR-SBPA
AZU2020,AZU,2020,AZU,SBKP-SBVT
AZU2021,AZU,2021,AZU,SBKP-SBEG
AZU2022,AZU,2022,AZU,SBEG-SBRF
AZU2023,AZU,2023,AZU,SBRF-SBEG
AZU2024,AZU,2024,AZU,SBEG-SBKP
AZU2025,AZU,2025,AZU,SBKP-SBEG
AZU2026,AZU,2026,AZU,SBEG-SBKP
AZU2030,AZU,2030,AZU,SBKP-SBEG
AZU2031,AZU,2031,AZU,SBEG-SBKP
AZU2032,AZU,2032,AZU,SBKP-SBFZ
AZU2035,AZU,2035,AZU,SBBE-SBEG
AZU2037,AZU,2037,AZU,SBEG-SBBE
AZU2038,AZU,2038,AZU,SBEG-SBBV
AZU2040,AZU,2040,AZU,SBKP-SBBE
AZU2041,AZU,2041,AZU,SBBE-SBFZ
AZU2046,AZU,2046,AZU,SBGR-SBPA
AZU2060,AZU,2060,AZU,SBKP-SBEG
AZU2061,AZU,2061,AZU,SBEG-SBKP
AZU2062,AZU,2062,AZU,SBKP-SBEG
AZU2070,AZU,2070,AZU,SBKP-SBVT
AZU2071,AZU,2071,AZU,SBVT-SBKP
AZU2075,AZU,2075,AZU,SBKP-SBVT
AZU2090,AZU,2090,AZU,SBKP-SBGO
AZU2091,AZU,2091,AZU,SBKP-SAEZ
AZU2092,AZU,2092,AZU,SBKP-SBMO
AZU2093,AZU,2093,AZU,SBMO-SBKP
AZU2094,AZU,2094,AZU,SBKP-SBRF
AZU2095,AZU,2095,AZU,SBBE-SBKP
AZU2096,AZU,2096,AZU,SBKP-SBVT
AZU2097,AZU,2097,AZU,SBVT-SBKP
AZU2098,AZU,2098,AZU,SBKP-SBCY
AZU2099,AZU,2099,AZU,SBCY-SBKP
AZU2200,AZU,2200,AZU,SBSP-SBIL
AZU2201,AZU,2201,AZU,SBIL-SBSP
AZU2202,AZU,2202,AZU,SBSP-SBSV
AZU2203,AZU,2203,AZU,SBSV-SBSP
AZU2204,AZU,2204,AZU,SBSP-SBSV
AZU2205,AZU,2205,AZU,SBSV-SBSP
AZU2206,AZU,2206,AZU,SBPA-SBRF
AZU2209,AZU,2209,AZU,SBFZ-SBSP
AZU2210,AZU,2210,AZU,SBKP-SBMO
AZU2211,AZU,2211,AZU,SBMO-SBKP
AZU2212,AZU,2212,AZU,SBMO-SBKP
AZU2213,AZU,2213,AZU,SBKP-SBMO
AZU2214,AZU,2214,AZU,SBPS-SBKP
AZU2215,AZU,2215,AZU,SBPS-SBKP
AZU2216,AZU,2216,AZU,SBKP-SBPS
AZU2217,AZU,2217,AZU,SBSP-SBPA
AZU2218,AZU,2218,AZU,SBCF-SBFZ
AZU2219,AZU,2219,AZU,SBFZ-SBCF
AZU2221,AZU,2221,AZU,SBPA-SBKP
AZU2223,AZU,2223,AZU,SBCT-SBMO
AZU2224,AZU,2224,AZU,SBMO-SBCT
AZU2226,AZU,2226,AZU,SBSP-SBNF
AZU2227,AZU,2227,AZU,SBNF-SBSP
AZU2228,AZU,2228,AZU,SBSP-SBAR
AZU2232,AZU,2232,AZU,SBSP-SBPA
AZU2233,AZU,2233,AZU,SBCT-SBKP
AZU2234,AZU,2234,AZU,SBKP-SBCT
AZU2240,AZU,2240,AZU,SBPS-SBBR
