Callsign,Code,Number,AirlineCode,AirportCodes
BAV101,BAV,101,BAV,VVNB-VVDN
BAV102,BAV,102,BAV,VVDN-VVNB
BAV103,BAV,103,BAV,VVNB-VVDN
BAV1031,BAV,1031,BAV,VVNB-VVCS
BAV1033,BAV,1033,BAV,VVNB-VVCS
BAV1034,BAV,1034,BAV,VVCS-VVNB
BAV1036,BAV,1036,BAV,VVCS-VVNB
BAV1037,BAV,1037,BAV,VVNB-VVCS
BAV104,BAV,104,BAV,VVDN-VVNB
BAV1043,BAV,1043,BAV,VVTS-VVCS
BAV1044,BAV,1044,BAV,VVCS-VVTS
BAV105,BAV,105,BAV,VVNB-VVDN
BAV106,BAV,106,BAV,VVDN-VVNB
BAV1061,BAV,1061,BAV,VVDN-VVCS
BAV107,BAV,107,BAV,VVNB-VVDN
BAV108,BAV,108,BAV,VVDN-VVNB
BAV1081,BAV,1081,BAV,VVTX-VVCS
BAV109,BAV,109,BAV,VVNB-VVDN
BAV110,BAV,110,BAV,VVDN-VVNB
BAV1102,BAV,1102,BAV,VVTS-VVPB
BAV1103,BAV,1103,BAV,VVPB-VVTS
BAV1104,BAV,1104,BAV,VVTS-VVPB
BAV1122,BAV,1122,BAV,VVTS-VVPC
BAV1123,BAV,1123,BAV,VVPC-VVTS
BAV1124,BAV,1124,BAV,VVTS-VVPC
BAV1125,BAV,1125,BAV,VVPC-VVTS
BAV1126,BAV,1126,BAV,VVTS-VVPC
BAV1127,BAV,1127,BAV,VVPC-VVTS
BAV1132,BAV,1132,BAV,VVTS-VVCA
BAV1142,BAV,1142,BAV,VVTS-VVDH
BAV1143,BAV,1143,BAV,VVDH-VVTS
BAV1144,BAV,1144,BAV,VVTS-VVDH
BAV1145,BAV,1145,BAV,VVDH-VVTS
BAV1152,BAV,1152,BAV,VVTS-VVVH
BAV1153,BAV,1153,BAV,VVVH-VVTS
BAV1154,BAV,1154,BAV,VVTS-VVVH
BAV1155,BAV,1155,BAV,VVVH-VVTS
BAV1159,BAV,1159,BAV,VVVH-VVTS
BAV117,BAV,117,BAV,VVNB-VVDN
BAV1172,BAV,1172,BAV,VVTS-VVTX
BAV1173,BAV,1173,BAV,VVTX-VVTS
BAV1174,BAV,1174,BAV,VVTS-VVTX
BAV1175,BAV,1175,BAV,VVTX-VVTS
BAV1177,BAV,1177,BAV,VVTX-VVTS
BAV1178,BAV,1178,BAV,VVTS-VVTX
BAV1184,BAV,1184,BAV,VVBM-VVDN
BAV1185,BAV,1185,BAV,VVTX-VVTS
BAV1201,BAV,1201,BAV,VVNB-VVPB
BAV1202,BAV,1202,BAV,VVPB-VVNB
BAV121,BAV,121,BAV,VVNB-VVDN
BAV1212,BAV,1212,BAV,VVPC-VVNB
BAV1213,BAV,1213,BAV,VVNB-VVPC
BAV1214,BAV,1214,BAV,VVPC-VVNB
BAV1215,BAV,1215,BAV,VVNB-VVPC
BAV1216,BAV,1216,BAV,VVPC-VVNB
BAV1217,BAV,1217,BAV,VVNB-VVPC
BAV1218,BAV,1218,BAV,VVPC-VVNB
BAV1219,BAV,1219,BAV,VVNB-VVPC
BAV122,BAV,122,BAV,VVDN-VVNB
BAV123,BAV,123,BAV,VVNB-VVDN
BAV1231,BAV,1231,BAV,VVNB-VVCA
BAV1232,BAV,1232,BAV,VVCA-VVNB
BAV124,BAV,124,BAV,VVDN-VVNB
BAV1241,BAV,1241,BAV,VVNB-VVDH
BAV1242,BAV,1242,BAV,VVDH-VVNB
BAV1243,BAV,1243,BAV,VVNB-VVDH
BAV1244,BAV,1244,BAV,VVDH-VVNB
BAV126,BAV,126,BAV,VVDN-VVNB
BAV127,BAV,127,BAV,VVNB-VVDN
BAV128,BAV,128,BAV,VVDN-VVNB
BAV1312,BAV,1312,BAV,VVTS-VVCR
BAV1313,BAV,1313,BAV,VVCR-VVTS
BAV1320,BAV,1320,BAV,VVTS-VVDL
BAV1321,BAV,1321,BAV,VVDL-VVTS
BAV1334,BAV,1334,BAV,VVTS-VVBM
BAV1335,BAV,1335,BAV,VVBM-VVTS
BAV1401,BAV,1401,BAV,VVNB-VVBM
BAV1402,BAV,1402,BAV,VVBM-VVNB
BAV1403,BAV,1403,BAV,VVNB-VVBM
BAV1404,BAV,1404,BAV,VVBM-VVNB
BAV1406,BAV,1406,BAV,VVCR-VVNB
BAV1407,BAV,1407,BAV,VVNB-VVCR
BAV1408,BAV,1408,BAV,VVCR-VVNB
BAV1409,BAV,1409,BAV,VVNB-VVCR
BAV1410,BAV,1410,BAV,VVCR-VVNB
BAV1413,BAV,1413,BAV,VVNB-VVCR
BAV1414,BAV,1414,BAV,VVCR-VVNB
BAV1415,BAV,1415,BAV,VVNB-VVCR
BAV1416,BAV,1416,BAV,VVCR-VVNB
BAV1417,BAV,1417,BAV,VVNB-VVCR
BAV1418,BAV,1418,BAV,VVCR-VVNB
BAV1419,BAV,1419,BAV,VVNB-VVCR
BAV1421,BAV,1421,BAV,VVNB-VVDL
BAV1422,BAV,1422,BAV,VVDL-VVNB
BAV1423,BAV,1423,BAV,VVNB-VVDL
BAV1424,BAV,1424,BAV,VVDL-VVNB
BAV1431,BAV,1431,BAV,VVNB-VVCT
BAV1432,BAV,1432,BAV,VVCT-VVNB
BAV1433,BAV,1433,BAV,VVNB-VVCT
BAV1434,BAV,1434,BAV,VVCT-VVNB
BAV144,BAV,144,BAV,VVDN-VVNB
BAV145,BAV,145,BAV,VVNB-VVDN
BAV1455,BAV,1455,BAV,VVNB-VVCR
BAV150,BAV,150,BAV,VVTS-VVDN
BAV1501,BAV,1501,BAV,VVPK-VVTS
BAV1502,BAV,1502,BAV,VVTS-VVPK
BAV151,BAV,151,BAV,VVDN-VVTS
BAV152,BAV,152,BAV,VVTS-VVDN
BAV1521,BAV,1521,BAV,VVTS-VVPQ
BAV1522,BAV,1522,BAV,VVPQ-VVTS
BAV1523,BAV,1523,BAV,VVTS-VVPQ
BAV1524,BAV,1524,BAV,VVPQ-VVTS
BAV1525,BAV,1525,BAV,VVTS-VVPQ
BAV153,BAV,153,BAV,VVDN-VVTS
BAV154,BAV,154,BAV,VVTS-VVDN
BAV1540,BAV,1540,BAV,VVTS-VVCI
BAV1541,BAV,1541,BAV,VVCI-VVTS
BAV1544,BAV,1544,BAV,VVTS-VVCI
BAV1545,BAV,1545,BAV,VVCI-VVTS
BAV1547,BAV,1547,BAV,VVCI-VVTS
BAV1549,BAV,1549,BAV,VVCI-VVTS
BAV155,BAV,155,BAV,VVDN-VVTS
BAV156,BAV,156,BAV,VVTS-VVDN
BAV157,BAV,157,BAV,VVDN-VVTS
BAV158,BAV,158,BAV,VVTS-VVDN
BAV1601,BAV,1601,BAV,VVNB-VVPK
BAV1602,BAV,1602,BAV,VVPK-VVNB
BAV1621,BAV,1621,BAV,VVNB-VVPQ
BAV1622,BAV,1622,BAV,VVPQ-VVNB
BAV1623,BAV,1623,BAV,VVNB-VVPQ
BAV1624,BAV,1624,BAV,VVPQ-VVNB
BAV1625,BAV,1625,BAV,VVNB-VVPQ
BAV1626,BAV,1626,BAV,VVPQ-VVNB
BAV1627,BAV,1627,BAV,VVNB-VVPQ
BAV1628,BAV,1628,BAV,VVPQ-VVNB
BAV1629,BAV,1629,BAV,VVNB-VVPQ
BAV1652,BAV,1652,BAV,VVVH-VVNB
BAV1671,BAV,1671,BAV,VVNB-VVRG
BAV1691,BAV,1691,BAV,VVDB-VVNB
BAV170,BAV,170,BAV,VVTS-VVDN
BAV171,BAV,171,BAV,VVDN-VVTS
BAV1717,BAV,1717,BAV,VVDN-VVCT
BAV1718,BAV,1718,BAV,VVCT-VVDN
BAV172,BAV,172,BAV,VVTS-VVDN
BAV1730,BAV,1730,BAV,VVDN-VVCI
BAV1731,BAV,1731,BAV,VVCI-VVDN
BAV190,BAV,190,BAV,VVTS-VVDN
BAV191,BAV,191,BAV,VVDN-VVTS
BAV192,BAV,192,BAV,VVTS-VVDN
BAV193,BAV,193,BAV,VVDN-VVTS
BAV1931,BAV,1931,BAV,VVNB-VVCS
BAV1932,BAV,1932,BAV,VVCS-VVNB
BAV1933,BAV,1933,BAV,VVDN-VVCR
BAV1960,BAV,1960,BAV,VVDL-VVDN
BAV1961,BAV,1961,BAV,VVDN-VVDL
BAV1970,BAV,1970,BAV,VVTS-VVVD
BAV1971,BAV,1971,BAV,VVVD-VVTS
BAV2002,BAV,2002,BAV,VVDN-VVCI
