Callsign,Code,Number,AirlineCode,AirportCodes
BAW1,BAW,1,BAW,EGLL-KJFK
BAW10,BAW,10,BAW,VTBS-EGLL
BAW1003,BAW,1003,BAW,EGLL-VRMM
BAW101,BAW,101,BAW,EGPF-EGLL
BAW1011,BAW,1011,BAW,EGLL-WSSS
BAW101P,BAW,101P,BAW,LPPR-EGKK
BAW102,BAW,102,BAW,CYYC-EGLL
BAW103,BAW,103,BAW,EGLL-CYYC
BAW1034,BAW,1034,BAW,WMKK-EGLL
BAW1036,BAW,1036,BAW,VOMM-EGLL
BAW1038,BAW,1038,BAW,ZBAA-EGLL
BAW1039,BAW,1039,BAW,EGLL-ZBAA
BAW104,BAW,104,BAW,OMDB-EGLL
BAW104D,BAW,104D,BAW,OMDB-EGLL
BAW105,BAW,105,BAW,EGLL-OMDB
BAW106,BAW,106,BAW,OMDB-EGLL
BAW1062,BAW,1062,BAW,HUEN-EGLL
BAW1064,BAW,1064,BAW,HKJK-EGLL
BAW106D,BAW,106D,BAW,OMDB-EGLL
BAW107,BAW,107,BAW,EGLL-OMDB
BAW107D,BAW,107D,BAW,EGLL-OMDB
BAW108,BAW,108,BAW,OMDB-EGLL
BAW108D,BAW,108D,BAW,OMDB-EGLL
BAW109,BAW,109,BAW,EGLL-OMDB
BAW109D,BAW,109D,BAW,EGLL-OMDB
BAW10A,BAW,10A,BAW,EGPF-EGKK
BAW10AB,BAW,10AB,BAW,EDDK-EGLL
BAW10B,BAW,10B,BAW,EGPF-EGKK
BAW10C,BAW,10C,BAW,KJFK-EGKK
BAW10F,BAW,10F,BAW,EGPF-EGKK
BAW10GA,BAW,10GA,BAW,EGLL-LHBP
BAW10H,BAW,10H,BAW,EGLL-EKCH
BAW10HE,BAW,10HE,BAW,EDDB-EGLL
BAW10MA,BAW,10MA,BAW,EGKK-LMML
BAW10PM,BAW,10PM,BAW,LIRN-EGKK
BAW10T,BAW,10T,BAW,EGLL-EDDS
BAW10X,BAW,10X,BAW,VTBS-EGLL
BAW10Y,BAW,10Y,BAW,EGLL-KJFK
BAW10YF,BAW,10YF,BAW,EGLL-LIMC
BAW11,BAW,11,BAW,EGLL-WSSS
BAW1103,BAW,1103,BAW,EGLL-CYYC
BAW1106,BAW,1106,BAW,OMDB-EGLL
