Callsign,Code,Number,AirlineCode,AirportCodes
BBC1,BBC,1,BBC,VGHS-EGLL
BBC1027,BBC,1027,BBC,VGHS-OMAA-EHAM
BBC1028,BBC,1028,BBC,EHAM-VGHS
BBC1040,BBC,1040,BBC,OERK-LBSF-VGHS
BBC121,BBC,121,BBC,VGHS-VGEG-OOMS
BBC122,BBC,122,BBC,OOMS-VGEG-VGHS
BBC125,BBC,125,BBC,VGHS-VGEG-OTHH
BBC126,BBC,126,BBC,OTHH-VGEG-VGHS
BBC127,BBC,127,BBC,VGHS-VGEG-OMAA
BBC128,BBC,128,BBC,OMAA-VGEG-VGHS
BBC135,BBC,135,BBC,VGHS-VGEG-OEJN
BBC136,BBC,136,BBC,OEJN-VGEG-VGHS
BBC137,BBC,137,BBC,VGHS-VGEG-OEMA
BBC138,BBC,138,BBC,OEMA-VGEG-VGHS
BBC147,BBC,147,BBC,VGHS-VGEG-OMDB
BBC148,BBC,148,BBC,OMDB-VGEG-VGHS
BBC15,BBC,15,BBC,VGHS-EGLL
BBC151,BBC,151,BBC,VGHS-VGEG-OMSJ
BBC152,BBC,152,BBC,OMSJ-VGEG-VGHS
BBC16,BBC,16,BBC,EGLL-VGSY-VGHS
BBC17,BBC,17,BBC,VGHS-EGLL
BBC18,BBC,18,BBC,EGLL-VGSY-VGHS
BBC186,BBC,186,BBC,VGHS-WMKK
BBC187,BBC,187,BBC,WMKK-VGHS
BBC2,BBC,2,BBC,EGLL-OMDB-VGSY-VGHS
BBC201,BBC,201,BBC,VGHS-VGSY-EGLL
BBC202,BBC,202,BBC,EGLL-VGHS
BBC207,BBC,207,BBC,VGHS-VGSY-EGCC
BBC208,BBC,208,BBC,EGCC-VGSY-VGHS
BBC21,BBC,21,BBC,VGHS-OOMS
BBC222,BBC,222,BBC,OOMS-VGSY-VGHS
BBC225,BBC,225,BBC,VGHS-VGSY-OTHH
BBC226,BBC,226,BBC,OTHH-VGSY-VGHS
BBC227,BBC,227,BBC,VGHS-VGSY-OMAA
BBC228,BBC,228,BBC,OMAA-VGSY-VGHS
BBC235,BBC,235,BBC,VGHS-VGSY-OEJN
BBC236,BBC,236,BBC,OEJN-VGSY-VGHS
BBC237,BBC,237,BBC,VGHS-VGSY-OEMA
BBC247,BBC,247,BBC,VGHS-VGSY-OMDB
BBC248,BBC,248,BBC,OMDB-VGHS
BBC25,BBC,25,BBC,VGHS-OTHH
BBC251,BBC,251,BBC,VGHS-VGSY-OMSJ
BBC252,BBC,252,BBC,OMSJ-VGSY-VGHS
BBC26,BBC,26,BBC,OTHH-VGHS
BBC27,BBC,27,BBC,VGHS-OMAA
BBC302,BBC,302,BBC,EGLL-VGHS
BBC3025,BBC,3025,BBC,OERK-OEMA
BBC3037,BBC,3037,BBC,VGHS-OEMA
BBC305,BBC,305,BBC,VGHS-LTFM-CYYZ
BBC306,BBC,306,BBC,CYYZ-LTFM-VGHS
BBC321,BBC,321,BBC,VGHS-OOMS
BBC325,BBC,325,BBC,VGHS-OTHH
BBC326,BBC,326,BBC,OTHH-VGHS
BBC327,BBC,327,BBC,VGHS-OMAA
BBC328,BBC,328,BBC,OMAA-VGHS
BBC331,BBC,331,BBC,VGHS-OEJN
BBC332,BBC,332,BBC,OEJN-VGHS
BBC335,BBC,335,BBC,VGHS-OEJN
BBC336,BBC,336,BBC,OEJN-VGHS
BBC337,BBC,337,BBC,VGHS-OEMA
BBC338,BBC,338,BBC,OEMA-VGHS
BBC339,BBC,339,BBC,VGHS-OERK
BBC340,BBC,340,BBC,OERK-VGHS
BBC343,BBC,343,BBC,VGHS-OKKK
BBC344,BBC,344,BBC,OKKK-VGHS
BBC347,BBC,347,BBC,VGHS-OMDB
BBC348,BBC,348,BBC,OMDB-VGHS
BBC349,BBC,349,BBC,VGHS-OEDF
BBC35,BBC,35,BBC,VGHS-OEJN
BBC350,BBC,350,BBC,OEDF-VGHS
BBC351,BBC,351,BBC,VGHS-OMSJ
BBC355,BBC,355,BBC,VGHS-LIRF
BBC356,BBC,356,BBC,LIRF-VGHS
BBC36,BBC,36,BBC,OEJN-VGHS
BBC363,BBC,363,BBC,VGHS-VOMM
BBC364,BBC,364,BBC,VOMM-VGHS
BBC366,BBC,366,BBC,VGHS-ZGGG
BBC367,BBC,367,BBC,ZGGG-VGHS
BBC371,BBC,371,BBC,VGHS-VNKT
BBC372,BBC,372,BBC,VGHS-VNKT-VGHS
BBC373,BBC,373,BBC,VGHS-VNKT
BBC374,BBC,374,BBC,VNKT-VGHS
BBC376,BBC,376,BBC,VGHS-RJAA
BBC377,BBC,377,BBC,RJAA-VGHS
BBC382,BBC,382,BBC,VGHS-WMKK
BBC383,BBC,383,BBC,WMKK-VGHS
BBC386,BBC,386,BBC,VGHS-WMKK
BBC387,BBC,387,BBC,WMKK-VGHS
BBC388,BBC,388,BBC,VGHS-VTBS
BBC389,BBC,389,BBC,VTBS-VGHS
BBC39,BBC,39,BBC,VGHS-OERK
BBC391,BBC,391,BBC,VGHS-VECC
BBC392,BBC,392,BBC,VECC-VGHS
BBC395,BBC,395,BBC,VGHS-VECC
BBC396,BBC,396,BBC,VECC-VGHS
BBC397,BBC,397,BBC,VGHS-VIDP
BBC398,BBC,398,BBC,VIDP-VGHS
BBC401,BBC,401,BBC,VGHS-VGSY
BBC4035,BBC,4035,BBC,VGHS-OEJN
BBC4036,BBC,4036,BBC,VABB-VGHS
BBC4037,BBC,4037,BBC,VGHS-OEMA
BBC4039,BBC,4039,BBC,VGHS-OERK
BBC4049,BBC,4049,BBC,VGHS-OEDF
BBC4050,BBC,4050,BBC,OEDF-VGHS
BBC4067,BBC,4067,BBC,ZGGG-VGHS
BBC4078,BBC,4078,BBC,VGHS-VHHH
BBC4079,BBC,4079,BBC,VHHH-VGHS
BBC4082,BBC,4082,BBC,VGHS-WMKK
BBC4084,BBC,4084,BBC,VGHS-WSSS
BBC4088,BBC,4088,BBC,VGHS-VTBS
BBC4089,BBC,4089,BBC,VTBS-VGHS
BBC4092,BBC,4092,BBC,VECC-VGHS
BBC4094,BBC,4094,BBC,OMDB-VGHS
BBC4097,BBC,4097,BBC,VGHS-VIDP
BBC4098,BBC,4098,BBC,VIDP-VGHS
BBC41,BBC,41,BBC,VGHS-VGEG-OMDB
BBC418,BBC,418,BBC,VGEG-VGHS
BBC43,BBC,43,BBC,VGHS-OKKK
BBC432,BBC,432,BBC,VGCB-VGHS
BBC433,BBC,433,BBC,VGHS-VGCB
BBC434,BBC,434,BBC,VGCB-VGHS
BBC435,BBC,435,BBC,VGHS-VGCB
BBC436,BBC,436,BBC,VGCB-VGHS
BBC437,BBC,437,BBC,VGHS-VGCB
BBC438,BBC,438,BBC,VGCB-VGHS
BBC439,BBC,439,BBC,VGHS-VGCB
BBC44,BBC,44,BBC,OKKK-VGHS
BBC440,BBC,440,BBC,VGCB-VGHS
BBC45,BBC,45,BBC,VGHS-OBBI-OKKK
BBC46,BBC,46,BBC,OBBI-OKKK-VGHS
BBC461,BBC,461,BBC,VGHS-VGJR
BBC462,BBC,462,BBC,VGJR-VGHS
BBC463,BBC,463,BBC,VGHS-VGJR
BBC464,BBC,464,BBC,VGJR-VGHS
BBC467,BBC,467,BBC,VGHS-VGJR
BBC468,BBC,468,BBC,VGJR-VGHS
BBC47,BBC,47,BBC,VGHS-OMDB
BBC471,BBC,471,BBC,VGHS-VGBR
BBC472,BBC,472,BBC,VGBR-VGHS
BBC473,BBC,473,BBC,VGHS-VGBR
BBC474,BBC,474,BBC,VGBR-VGHS
BBC48,BBC,48,BBC,OMDB-VGHS
BBC481,BBC,481,BBC,VGHS-VGRJ
BBC482,BBC,482,BBC,VGRJ-VGHS
BBC483,BBC,483,BBC,VGHS-VGRJ
BBC484,BBC,484,BBC,VGRJ-VGHS
BBC49,BBC,49,BBC,VGHS-OERK
BBC491,BBC,491,BBC,VGHS-VGSD
BBC492,BBC,492,BBC,VGSD-VGHS
BBC493,BBC,493,BBC,VGHS-VGSD
BBC494,BBC,494,BBC,VGSD-VGHS
BBC495,BBC,495,BBC,VGHS-VGSD
BBC496,BBC,496,BBC,VGSD-VGHS
BBC5,BBC,5,BBC,VGHS-EGLL
BBC50,BBC,50,BBC,OEDF-OERK-VGHS
BBC501,BBC,501,BBC,VGHS-VGSY-VGCB
BBC502,BBC,502,BBC,VGCB-VGSY-VGHS
BBC5047,BBC,5047,BBC,VGHS-OMDB
BBC5065,BBC,5065,BBC,ZBTJ-VGHS
BBC51,BBC,51,BBC,VGHS-OTHH-OMDB
BBC52,BBC,52,BBC,OTHH-OMDB-VGSY-VGHS
BBC535,BBC,535,BBC,VGHS-VGCB
BBC536,BBC,536,BBC,VGCB-VGSD-VGHS
BBC537,BBC,537,BBC,VGHS-OEMA
BBC538,BBC,538,BBC,OEMA-VGHS
BBC56,BBC,56,BBC,LIRF-VGHS
BBC584,BBC,584,BBC,VGHS-WSSS
BBC585,BBC,585,BBC,WSSS-VGHS
BBC591,BBC,591,BBC,VGHS-VGSD-VGCB
BBC592,BBC,592,BBC,VGCB-VGHS
BBC593,BBC,593,BBC,VGCB-VGHS
BBC6,BBC,6,BBC,EGLL-VGSY-VGHS
BBC60,BBC,60,BBC,VGHS-VYYY
BBC601,BBC,601,BBC,VGHS-VGSY
BBC602,BBC,602,BBC,VGSY-VGHS
BBC603,BBC,603,BBC,VGHS-VGSY
BBC604,BBC,604,BBC,VGSY-VGHS
BBC605,BBC,605,BBC,VGHS-VGSY
BBC606,BBC,606,BBC,VGSY-VGHS
BBC611,BBC,611,BBC,VGHS-VGEG
BBC612,BBC,612,BBC,VGEG-VGHS
BBC615,BBC,615,BBC,VGHS-VGEG
BBC616,BBC,616,BBC,VGEG-VGHS
BBC617,BBC,617,BBC,VGHS-VGEG
BBC618,BBC,618,BBC,VGEG-VGHS
BBC619,BBC,619,BBC,VGHS-VGEG
BBC620,BBC,620,BBC,VGEG-VGHS
BBC66,BBC,66,BBC,VGHS-ZGGG
BBC67,BBC,67,BBC,ZGGG-VGHS
BBC693,BBC,693,BBC,VGHS-VGSD
BBC694,BBC,694,BBC,VGSD-VGHS
BBC696,BBC,696,BBC,VGSD-VGHS
BBC7,BBC,7,BBC,VGHS-EGCC
BBC721,BBC,721,BBC,VGHS-OOMS
BBC722,BBC,722,BBC,OOMS-VGHS
BBC78,BBC,78,BBC,VGHS-VHHH
BBC79,BBC,79,BBC,VHHH-VGHS
BBC8,BBC,8,BBC,EGLL-OMDB-VGSY-VGHS
BBC82,BBC,82,BBC,VGHS-WMKK
BBC84,BBC,84,BBC,VGHS-WSSS
BBC85,BBC,85,BBC,WSSS-VGHS
BBC86,BBC,86,BBC,VGHS-WMKK
BBC87,BBC,87,BBC,WMKK-VGHS
BBC88,BBC,88,BBC,VGHS-VTBS
BBC89,BBC,89,BBC,VTBS-VGHS
BBC95,BBC,95,BBC,VGHS-VECC
BBC97,BBC,97,BBC,VGHS-VIDP
