Callsign,Code,Number,AirlineCode,AirportCodes
BLA103,BLA,103,BLA,LROP-LEMD
BLA105,BLA,105,BLA,LROP-LFPG
BLA1061,BLA,1061,BLA,LROP-LGAV
BLA1069,BLA,1069,BLA,LROP-LLBG
BLA109,BLA,109,BLA,LROP-LFLL
BLA110,BLA,110,BLA,LFLL-LROP
BLA1124,BLA,1124,BLA,EBBR-LROP
BLA1159,BLA,1159,BLA,LROP-LIML
BLA117,BLA,117,BLA,LROP-LIPE
BLA119,BLA,119,BLA,LROP-LIRQ
BLA1215,BLA,1215,BLA,LROP-LIRF
BLA122,BLA,122,BLA,EDDK-LROP
BLA123,BLA,123,BLA,LRBC-EBBR
BLA1232,BLA,1232,BLA,EGGW-LROP
BLA126,BLA,126,BLA,LEMG-LROP
BLA129,BLA,129,BLA,LROP-EDDS
BLA133,BLA,133,BLA,LROP-EGGP
BLA1331,BLA,1331,BLA,LROP-EGLL
BLA1332,BLA,1332,BLA,EGLL-LROP
BLA134,BLA,134,BLA,EGGP-LROP
BLA135,BLA,135,BLA,LROP-LEZL
BLA1355,BLA,1355,BLA,LROP-EIDW
BLA138,BLA,138,BLA,LCLK-LROP
BLA143,BLA,143,BLA,LROP-LIRN
BLA1431,BLA,1431,BLA,LROP-EGLL
BLA1432,BLA,1432,BLA,EGLL-LROP
BLA145,BLA,145,BLA,LROP-LICC
BLA152,BLA,152,BLA,EGBB-LROP
BLA1523,BLA,1523,BLA,LROP-EBBR
BLA1531,BLA,1531,BLA,LROP-EGLL
BLA1532,BLA,1532,BLA,EGLL-LROP
BLA154,BLA,154,BLA,EKCH-LROP
BLA155,BLA,155,BLA,LROP-EIDW
BLA1555,BLA,1555,BLA,LROP-EIDW
BLA156,BLA,156,BLA,EIDW-LROP
BLA158,BLA,158,BLA,LPPT-LROP
BLA161,BLA,161,BLA,LROP-LGAV
BLA162,BLA,162,BLA,LGAV-LROP
BLA1631,BLA,1631,BLA,LROP-EGLL
BLA1632,BLA,1632,BLA,EGLL-LROP
