Callsign,Code,Number,AirlineCode,AirportCodes
BLF10,BLF,10,BLF,ESSA-ESPA
BLF1012,BLF,1012,BLF,ESSA-ESNS
BLF1013,BLF,1013,BLF,ESNS-ESSA
BLF1016,BLF,1016,BLF,ESSA-ESNS
BLF1017,BLF,1017,BLF,ESNS-ESSA
BLF102,BLF,102,BLF,EGKK-EETN
BLF1020,BLF,1020,BLF,ESSA-ESNS
BLF1021,BLF,1021,BLF,ESNS-ESSA
BLF1024,BLF,1024,BLF,ESSA-ESNS
BLF1025,BLF,1025,BLF,ESNS-ESSA
BLF1045,BLF,1045,BLF,ESNQ-ESSA
BLF11,BLF,11,BLF,EFHK-EGPH
BLF1128,BLF,1128,BLF,ESDF-ESSA
BLF12,BLF,12,BLF,EGPH-EFHK
BLF1203,BLF,1203,BLF,EKCH-EKYT
BLF1214,BLF,1214,BLF,EKYT-EKCH
BLF1217,BLF,1217,BLF,EKCH-EKYT
BLF1257,BLF,1257,BLF,EKCH-EKAH
BLF1258,BLF,1258,BLF,EKAH-EKCH
BLF1291,BLF,1291,BLF,EFHK-EFKT
BLF1292,BLF,1292,BLF,EFKT-EFHK
BLF13,BLF,13,BLF,EFHK-EGPH
BLF14,BLF,14,BLF,EGPH-EFHK
BLF1485,BLF,1485,BLF,ESSA-ENVA
BLF1486,BLF,1486,BLF,ENVA-ESSA
BLF1491,BLF,1491,BLF,ESSA-ENTC
BLF1492,BLF,1492,BLF,ENTC-ESSA
BLF1550,BLF,1550,BLF,EHAM-EKCH
BLF1555,BLF,1555,BLF,EHAM-ESSA
BLF1556,BLF,1556,BLF,EHAM-ESSA
BLF1590,BLF,1590,BLF,EBBR-ESSA
BLF16,BLF,16,BLF,ESSA-ESPA
BLF1674,BLF,1674,BLF,EDDT-EKCH
BLF1701,BLF,1701,BLF,EFHK-EKCH
BLF1702,BLF,1702,BLF,EKCH-EFHK
BLF1703,BLF,1703,BLF,EFHK-EKCH
BLF1704,BLF,1704,BLF,EKCH-EFHK
BLF1707,BLF,1707,BLF,EFHK-EKCH
BLF1709,BLF,1709,BLF,EFHK-EKCH
BLF1710,BLF,1710,BLF,EKCH-EFHK
BLF1713,BLF,1713,BLF,EFHK-EKCH
BLF1714,BLF,1714,BLF,EKCH-EFHK
BLF1717,BLF,1717,BLF,EFHK-EKCH
BLF1718,BLF,1718,BLF,EKCH-EFHK
BLF1719,BLF,1719,BLF,EFHK-EKCH
BLF1720,BLF,1720,BLF,EKCH-EFHK
BLF1723,BLF,1723,BLF,EFHK-EKCH
BLF1724,BLF,1724,BLF,EKCH-EFHK
BLF1725,BLF,1725,BLF,EFHK-EKCH
BLF1726,BLF,1726,BLF,EKCH-EFHK
BLF19,BLF,19,BLF,ESPA-ESSA
BLF200,BLF,200,BLF,EFOU-EFHK
BLF201,BLF,201,BLF,EFHK-EFOU
BLF202,BLF,202,BLF,EFOU-EFHK
BLF2026,BLF,2026,BLF,ESSA-ESNU
BLF2027,BLF,2027,BLF,ESNU-ESSA
BLF203,BLF,203,BLF,EFHK-EFOU
BLF2030,BLF,2030,BLF,ESSA-ESNU
BLF2031,BLF,2031,BLF,ESNU-ESSA
BLF204,BLF,204,BLF,EFOU-EFHK
BLF2047,BLF,2047,BLF,ESNN-ESSA
BLF205,BLF,205,BLF,EFHK-EFOU
BLF206,BLF,206,BLF,EFOU-EFHK
BLF207,BLF,207,BLF,EFHK-EFOU
BLF208,BLF,208,BLF,EFOU-EFHK
BLF209,BLF,209,BLF,EFHK-EFOU
BLF210,BLF,210,BLF,EFOU-EFHK
BLF211,BLF,211,BLF,EFHK-EFOU
BLF212,BLF,212,BLF,EFOU-EFHK
BLF213,BLF,213,BLF,EFHK-EFOU
BLF214,BLF,214,BLF,EFOU-EFHK
BLF215,BLF,215,BLF,EFHK-EFOU
BLF216,BLF,216,BLF,EFOU-EFHK
BLF217,BLF,217,BLF,EFHK-EFOU
BLF218,BLF,218,BLF,EFOU-EFHK
BLF219,BLF,219,BLF,EFHK-EFOU
BLF220,BLF,220,BLF,EFOU-EFHK
BLF223,BLF,223,BLF,EFHK-EFOU
BLF224,BLF,224,BLF,EFOU-EFHK
BLF231,BLF,231,BLF,EFHK-EFKS
BLF232,BLF,232,BLF,EFKS-EFHK
BLF233,BLF,233,BLF,EFHK-EFKS
BLF234,BLF,234,BLF,EFKS-EFHK
BLF237,BLF,237,BLF,EFHK-EFIV
BLF238,BLF,238,BLF,EFIV-EFHK
BLF24,BLF,24,BLF,ESSA-ESNU
BLF241,BLF,241,BLF,EFHK-EFKU
BLF242,BLF,242,BLF,EFKU-EFHK
BLF243,BLF,243,BLF,EFHK-EFKU
BLF244,BLF,244,BLF,EFKU-EFHK
BLF2481,BLF,2481,BLF,ESSA-ENBO
BLF249,BLF,249,BLF,EFHK-EFKU
BLF25,BLF,25,BLF,EFHK-LFMN
BLF252,BLF,252,BLF,EFKU-EFHK
BLF253,BLF,253,BLF,EFHK-EFKU
BLF254,BLF,254,BLF,EFKU-EFHK
BLF2554,BLF,2554,BLF,EGBB-ESSA
BLF26,BLF,26,BLF,LFMN-EFHK
BLF2626,BLF,2626,BLF,EDDL-ESSA
BLF27,BLF,27,BLF,EFHK-LFML
BLF2700,BLF,2700,BLF,ENGM-EFHK
BLF2703,BLF,2703,BLF,EFHK-ENGM
BLF2704,BLF,2704,BLF,ENGM-EFHK
BLF2705,BLF,2705,BLF,EFHK-ENGM
BLF2706,BLF,2706,BLF,ENGM-EFHK
BLF2707,BLF,2707,BLF,EFHK-ENGM
BLF2710,BLF,2710,BLF,EKCH-EFTU
BLF273,BLF,273,BLF,EFHK-EFRO
BLF274,BLF,274,BLF,EFRO-EFHK
BLF275,BLF,275,BLF,EFHK-EFRO
BLF276,BLF,276,BLF,EFRO-EFHK
BLF28,BLF,28,BLF,LFML-EFHK
BLF280,BLF,280,BLF,EFVA-EFHK
BLF281,BLF,281,BLF,EFHK-EFVA
BLF282,BLF,282,BLF,EFVA-EFHK
BLF283,BLF,283,BLF,EFHK-EFVA
BLF284,BLF,284,BLF,EFVA-EFHK
BLF285,BLF,285,BLF,EFHK-EFVA
BLF286,BLF,286,BLF,EFVA-EFHK
BLF287,BLF,287,BLF,EFHK-EFVA
BLF288,BLF,288,BLF,EFVA-EFHK
BLF289,BLF,289,BLF,EFHK-EFVA
BLF291,BLF,291,BLF,EFHK-EFKT
BLF292,BLF,292,BLF,EFKT-EFHK
BLF293,BLF,293,BLF,EFHK-EFKT
BLF294,BLF,294,BLF,EFKT-EFHK
BLF295,BLF,295,BLF,EFHK-EFKT
BLF296,BLF,296,BLF,EFKT-EFHK
BLF297,BLF,297,BLF,EFHK-EFKT
BLF298,BLF,298,BLF,EFKT-EFHK
BLF333,BLF,333,BLF,EFHK-LGAV
BLF334,BLF,334,BLF,LGAV-EFHK
BLF340,BLF,340,BLF,EKCH-EFOU
BLF341,BLF,341,BLF,EFOU-EKCH
BLF342,BLF,342,BLF,EKCH-EFOU
BLF343,BLF,343,BLF,EFOU-EKCH
BLF351,BLF,351,BLF,EFVA-EKCH
BLF352,BLF,352,BLF,EKCH-EFVA
BLF353,BLF,353,BLF,EFVA-EKCH
BLF354,BLF,354,BLF,EKCH-EFVA
BLF355,BLF,355,BLF,EFVA-EKCH
BLF358,BLF,358,BLF,EKCH-EFVA
BLF364,BLF,364,BLF,EKCH-EFTP
BLF365,BLF,365,BLF,EFTP-EKCH
BLF370,BLF,370,BLF,EKCH-EFLP
BLF371,BLF,371,BLF,EFLP-EKCH
BLF375,BLF,375,BLF,EKCH-EFLP
BLF376,BLF,376,BLF,EFLP-EKCH
BLF420,BLF,420,BLF,ESSA-EFTU
BLF423,BLF,423,BLF,EFTU-ESSA
BLF425,BLF,425,BLF,EFHK-ESSA
BLF4255,BLF,4255,BLF,EFIV-EKCH
BLF426,BLF,426,BLF,ESSA-EFHK
BLF4266,BLF,4266,BLF,EKCH-EFKT
BLF427,BLF,427,BLF,EFHK-ESSA
BLF428,BLF,428,BLF,ESSA-EFHK
BLF4288,BLF,4288,BLF,EKCH-EFVA
BLF4289,BLF,4289,BLF,EFVA-EKCH
BLF429,BLF,429,BLF,EFHK-ESSA
BLF43,BLF,43,BLF,ESNN-ESSA
BLF430,BLF,430,BLF,ESSA-EFHK
BLF4334,BLF,4334,BLF,EFHK-EFKT
BLF434,BLF,434,BLF,ESSA-EFHK
BLF4343,BLF,4343,BLF,EFKS-EFHK
BLF435,BLF,435,BLF,EFHK-ESSA
