Callsign,Code,Number,AirlineCode,AirportCodes
BOV1445,BOV,1445,BOV,SLTR-SLCB
BOV1607,BOV,1607,BOV,SLLP-SLCB
BOV164,BOV,164,BOV,SLLP-SLVR
BOV1735,BOV,1735,BOV,SBGR-SLVR
BOV1764,BOV,1764,BOV,SLVR-MPTO-KMIA
BOV1766,BOV,1766,BOV,SLVR-KMIA
BOV2880,BOV,2880,BOV,MMMX-SLCB
BOV2881,BOV,2881,BOV,SLCB-MMMX
BOV3017,BOV,3017,BOV,MMMX-SLCB
BOV302,BOV,302,BOV,SLLP-SLUY
BOV303,BOV,303,BOV,SLUY-SLLP
BOV304,BOV,304,BOV,SLLP-SLUY
BOV305,BOV,305,BOV,SLUY-SLLP
BOV400,BOV,400,BOV,SLLP-SLCO
BOV401,BOV,401,BOV,SLCO-SLLP
BOV432,BOV,432,BOV,SLLP-SLTR
BOV433,BOV,433,BOV,SLTR-SLLP
BOV434,BOV,434,BOV,SLLP-SLTR
BOV442,BOV,442,BOV,SLCB-SLTR
BOV443,BOV,443,BOV,SLTR-SLCB
BOV446,BOV,446,BOV,SLCB-SLTR
BOV510,BOV,510,BOV,SLLP-SLTJ
BOV521,BOV,521,BOV,SLTJ-SLCB
BOV524,BOV,524,BOV,SLCB-SLTJ
BOV531,BOV,531,BOV,SLTJ-SLCB
BOV532,BOV,532,BOV,SLCB-SLTJ
BOV535,BOV,535,BOV,SLTJ-SLCB
BOV551,BOV,551,BOV,SLTJ-SLVR
BOV552,BOV,552,BOV,SLVR-SLTJ
BOV570,BOV,570,BOV,SLCB-SLSU
BOV571,BOV,571,BOV,SLSU-SLCB
BOV576,BOV,576,BOV,SLCB-SLSU
BOV584,BOV,584,BOV,SLVR-SLSU
BOV600,BOV,600,BOV,SLCB-SLLP
BOV602,BOV,602,BOV,SLCB-SLLP
BOV603,BOV,603,BOV,SLLP-SLCB
BOV605,BOV,605,BOV,SLLP-SLCB
BOV606,BOV,606,BOV,SLCB-SLLP
BOV607,BOV,607,BOV,SLLP-SLCB
BOV608,BOV,608,BOV,SLCB-SLLP
BOV610,BOV,610,BOV,SLCB-SLLP
BOV611,BOV,611,BOV,SLLP-SLCB
BOV612,BOV,612,BOV,SLCB-SLLP
BOV613,BOV,613,BOV,SLLP-SLCB
BOV616,BOV,616,BOV,SLCB-SLLP
BOV617,BOV,617,BOV,SLLP-SLCB
