Callsign,Code,Number,AirlineCode,AirportCodes
BOX104,BOX,104,BOX,EDDP-EGNX
BOX106,BOX,106,BOX,EDDP-EGNX
BOX108,BOX,108,BOX,EDDF-EGNX
BOX110,BOX,110,BOX,EDDP-EGNX-KCVG
BOX111,BOX,111,BOX,KCVG-EGNX-EDDP
BOX112,BOX,112,BOX,EDDP-EGNX
BOX114,BOX,114,BOX,EDDF-EBBR
BOX115,BOX,115,BOX,EBBR-EDDP
BOX116,BOX,116,BOX,EDDP-EBBR
BOX117,BOX,117,BOX,EBBR-EDDP
BOX118,BOX,118,BOX,EDDP-EBBR
BOX119,BOX,119,BOX,EBBR-EDDP
BOX120,BOX,120,BOX,TFFF-TFFR
BOX124,BOX,124,BOX,EDDF-EDDP
BOX127,BOX,127,BOX,EDDF-EDDP
BOX148,BOX,148,BOX,EDDP-EDDF
BOX149,BOX,149,BOX,EDDF-EDDP
BOX1560,BOX,1560,BOX,RJAA-ZSPD
BOX1561,BOX,1561,BOX,ZSPD-EDDP
BOX1564,BOX,1564,BOX,EDDP-ZSPD
BOX1565,BOX,1565,BOX,ZSPD-EDDP
BOX1571,BOX,1571,BOX,ZSPD-EDDP
BOX1575,BOX,1575,BOX,RKSI-EDDP
BOX1578,BOX,1578,BOX,EDDP-ZSPD
BOX1590,BOX,1590,BOX,EDDP-RJAA
BOX1595,BOX,1595,BOX,ZGSZ-EDDP
BOX1597,BOX,1597,BOX,ZGSZ-EDDP
BOX170,BOX,170,BOX,EDDP-EDDF
BOX171,BOX,171,BOX,EDDP-EDDF
BOX172,BOX,172,BOX,EDDP-EDDF
BOX174,BOX,174,BOX,EDDP-EDDF
BOX175,BOX,175,BOX,EDDP-EDDF
BOX181,BOX,181,BOX,EDDK-EBBR
BOX183,BOX,183,BOX,EDDK-EBBR
BOX190,BOX,190,BOX,EDDP-EGNX
BOX191,BOX,191,BOX,EGNX-EDDP
BOX192,BOX,192,BOX,EDDP-EGNX
BOX193,BOX,193,BOX,EGNX-EDDP
BOX194,BOX,194,BOX,EDDP-EGNX
BOX195,BOX,195,BOX,EGNX-EDDP
BOX196,BOX,196,BOX,EDDF-EGNX
BOX210,BOX,210,BOX,EDDP-EDDF
BOX295,BOX,295,BOX,EDDP-EDDF
BOX303,BOX,303,BOX,KCVG-OBBI-EDDP
BOX305,BOX,305,BOX,OBBI-EDDP
BOX310,BOX,310,BOX,BIKF-CYYR
BOX311,BOX,311,BOX,KCVG-EDDP
BOX316,BOX,316,BOX,EDDP-EBBR-KCVG
BOX317,BOX,317,BOX,KCVG-EDDP
BOX326,BOX,326,BOX,EDDK-EBBR-KCVG
BOX330,BOX,330,BOX,EDDP-EGNX-KLAX
BOX331,BOX,331,BOX,KLAX-EDDP
BOX340,BOX,340,BOX,EDDP-EGNX-KCVG
BOX341,BOX,341,BOX,KCVG-EDDP
BOX342,BOX,342,BOX,EDDP-EGNX-KLAX
BOX350,BOX,350,BOX,EDDF-KJFK-KCVG
BOX360,BOX,360,BOX,EDDP-EGNX-KLAX
BOX361,BOX,361,BOX,KLAX-EDDP
BOX377,BOX,377,BOX,KORD-EDDP
BOX379,BOX,379,BOX,KCVG-EBBR
BOX381,BOX,381,BOX,KJFK-EDDP
BOX383,BOX,383,BOX,KLAX-EDDP
BOX385,BOX,385,BOX,KCVG-EDDP
BOX387,BOX,387,BOX,KCVG-EDDP
BOX389,BOX,389,BOX,KCVG-EGNX
BOX390,BOX,390,BOX,EDDP-KCVG
BOX391,BOX,391,BOX,KCVG-EDDP
BOX392,BOX,392,BOX,EDDP-KCVG
BOX393,BOX,393,BOX,KCVG-EDDP
BOX394,BOX,394,BOX,EDDP-KCVG
BOX395,BOX,395,BOX,KCVG-EDDP
BOX396,BOX,396,BOX,EDDP-EBBR-KCVG
BOX397,BOX,397,BOX,KCVG-EGNX
BOX398,BOX,398,BOX,EDDP-KCVG
BOX399,BOX,399,BOX,KCVG-EDDP
BOX408,BOX,408,BOX,EDDF-KSEA-KLAX
BOX409,BOX,409,BOX,KLAX-EDDF
BOX410,BOX,410,BOX,EDDF-KORD-KLAX
BOX411,BOX,411,BOX,KLAX-EDDF
BOX412,BOX,412,BOX,EDDF-KORD
BOX412A,BOX,412A,BOX,EDDF-KORD
BOX413,BOX,413,BOX,KORD-EDDF
BOX414,BOX,414,BOX,EDDF-KORD
BOX415,BOX,415,BOX,KORD-EDDF
BOX416,BOX,416,BOX,EDDF-KORD-KDFW
BOX417,BOX,417,BOX,KORD-EDDF
BOX418,BOX,418,BOX,EDDF-KORD-KDFW
BOX419,BOX,419,BOX,KDFW-EDDF
BOX420,BOX,420,BOX,EDDF-KATL
BOX421,BOX,421,BOX,KATL-EDDF
BOX422,BOX,422,BOX,EDDF-KATL
BOX423,BOX,423,BOX,KATL-EDDF
BOX424,BOX,424,BOX,EDDF-KATL
BOX425,BOX,425,BOX,KATL-EDDF
BOX426,BOX,426,BOX,EDDF-CYYZ-KATL
BOX427,BOX,427,BOX,KATL-EDDF
BOX440,BOX,440,BOX,EDDF-KORD-KDFW
BOX441,BOX,441,BOX,KDFW-EDDF
BOX442,BOX,442,BOX,EDDF-CYYZ-KORD
BOX443,BOX,443,BOX,KORD-EDDF
BOX444,BOX,444,BOX,EDDF-KORD
BOX445,BOX,445,BOX,KORD-EDDF
BOX446,BOX,446,BOX,EDDF-KORD
BOX447,BOX,447,BOX,KORD-EDDF
BOX448,BOX,448,BOX,EDDF-EBBR-KORD
BOX449,BOX,449,BOX,KORD-EDDF
BOX450,BOX,450,BOX,EDDF-KJFK
BOX451,BOX,451,BOX,KJFK-EDDF
BOX452,BOX,452,BOX,EDDF-KJFK
BOX453,BOX,453,BOX,KJFK-EDDF
BOX454,BOX,454,BOX,EDDF-KJFK
BOX455,BOX,455,BOX,KJFK-EDDF
BOX456,BOX,456,BOX,EDDF-KATL
BOX457,BOX,457,BOX,KATL-EDDF
BOX458,BOX,458,BOX,EDDF-KATL
BOX459,BOX,459,BOX,KATL-EDDF
BOX460,BOX,460,BOX,EDDF-CYYZ-KIAH
BOX461,BOX,461,BOX,KIAH-EDDF
BOX462,BOX,462,BOX,EDDF-CYYZ-KIAH
BOX463,BOX,463,BOX,KIAH-ENZV-EDDF
BOX464,BOX,464,BOX,EDDF-CYYZ-KDFW
BOX465,BOX,465,BOX,KDFW-EDDF
BOX466,BOX,466,BOX,EDDF-CYYZ-KIAH
BOX467,BOX,467,BOX,KIAH-ENZV-EDDF
BOX468,BOX,468,BOX,EDDF-KIAH-KDFW
BOX469,BOX,469,BOX,KDFW-EDDF
BOX472,BOX,472,BOX,EDDF-KSEA-KLAX
BOX473,BOX,473,BOX,KLAX-EDDF
BOX474,BOX,474,BOX,EDDF-KLAX
BOX475,BOX,475,BOX,KLAX-KSEA-EDDF
BOX478,BOX,478,BOX,EDDF-KLAX
BOX479,BOX,479,BOX,KLAX-EDDF
BOX480,BOX,480,BOX,EDDF-CYYZ-KIAH
BOX481,BOX,481,BOX,KIAH-EDDF
BOX482,BOX,482,BOX,EDDF-CYYZ-KLAX
BOX483,BOX,483,BOX,KLAX-EDDF
BOX484,BOX,484,BOX,EDDF-KORD-KDFW
BOX485,BOX,485,BOX,KDFW-EDDF
BOX486,BOX,486,BOX,EDDF-KSEA-KLAX
BOX487,BOX,487,BOX,KLAX-EDDF
BOX488,BOX,488,BOX,EDDF-KLAX
BOX489,BOX,489,BOX,KLAX-EDDF
BOX490,BOX,490,BOX,EDDF-MMMX
BOX491,BOX,491,BOX,MMMX-KDFW-EDDF
BOX492,BOX,492,BOX,EDDF-MMMX
BOX493,BOX,493,BOX,MMMX-MMGL-EDDF
BOX494,BOX,494,BOX,EDDF-CYYZ-KIAH
BOX495,BOX,495,BOX,KIAH-EDDF
BOX496,BOX,496,BOX,EDDF-KATL
BOX497,BOX,497,BOX,KATL-EDDF
BOX498,BOX,498,BOX,EDDF-KLAX
BOX499,BOX,499,BOX,KORD-EDDF
BOX500,BOX,500,BOX,EDDP-VHHH-KCVG
BOX502,BOX,502,BOX,EDDP-VTBS-VHHH
BOX503,BOX,503,BOX,VHHH-EBBR-EDDP
BOX504,BOX,504,BOX,EDDF-UTTT-ZGGG
BOX505,BOX,505,BOX,VHHH-EBBR-EDDP
BOX506,BOX,506,BOX,EDDP-VHHH-RJAA-KCVG
BOX507,BOX,507,BOX,UTTT-EDDP
BOX508,BOX,508,BOX,EDDP-VHHH
BOX509,BOX,509,BOX,VHHH-EDDP
BOX510,BOX,510,BOX,EDDP-VHHH
BOX511,BOX,511,BOX,VHHH-EDDP
BOX512,BOX,512,BOX,EDDP-OMDB-VHHH
BOX513,BOX,513,BOX,VHHH-OMDB-EDDP
BOX514,BOX,514,BOX,EDDP-OMDB-VHHH
BOX515,BOX,515,BOX,VHHH-OMDB-EDDP
BOX516,BOX,516,BOX,EDDP-VHHH-KCVG
BOX517,BOX,517,BOX,VHHH-EDDP
BOX518,BOX,518,BOX,EDDP-OBBI-VOBL-VHHH
BOX519,BOX,519,BOX,VHHH-EDDP
BOX519A,BOX,519A,BOX,VHHH-EDDP
BOX52,BOX,52,BOX,EDDP-ETNL
BOX520,BOX,520,BOX,EDDP-OBBI-VHHH
BOX521,BOX,521,BOX,VHHH-EDDP
BOX522,BOX,522,BOX,EDDP-OBBI-VHHH-RJAA-KCVG
BOX523,BOX,523,BOX,VHHH-EDDF
BOX524,BOX,524,BOX,EDDP-LIMC-VHHH
BOX525,BOX,525,BOX,OBBI-EDDP
BOX526,BOX,526,BOX,EDDP-OBBI-ZGGG
BOX527,BOX,527,BOX,ZGGG-PANC-KCVG
BOX528,BOX,528,BOX,EDDP-OBBI-ZGGG
BOX529,BOX,529,BOX,ZGGG-EDDP
BOX530,BOX,530,BOX,EDDP-WSSS
BOX531,BOX,531,BOX,WSSS-VTBS-OBBI-EDDP
BOX532,BOX,532,BOX,EDDP-VTBS-VHHH
BOX533,BOX,533,BOX,VHHH-VOBL-EDDP
BOX534,BOX,534,BOX,EDDP-WSSS-VHHH
BOX535,BOX,535,BOX,VOBL-EDDP
BOX537,BOX,537,BOX,VHHH-WSSS-OBBI-EDDF
BOX538,BOX,538,BOX,EDDP-WSSS
BOX539,BOX,539,BOX,VHHH-WSSS-OBBI-EDDP
BOX542,BOX,542,BOX,EDDP-WSSS-VHHH
BOX543,BOX,543,BOX,VHHH-WSSS-OBBI-EDDP
BOX545,BOX,545,BOX,VHHH-WSSS-EDDP
BOX546,BOX,546,BOX,EDDP-WSSS-VHHH
BOX550,BOX,550,BOX,EDDP-RKSI-VHHH
BOX551,BOX,551,BOX,ZSPD-EDDP
BOX552,BOX,552,BOX,EDDP-RJAA
BOX553,BOX,553,BOX,RKSI-EDDF
BOX560,BOX,560,BOX,RJAA-RKSI-ZSPD
BOX561,BOX,561,BOX,ZSPD-EDDP
BOX562,BOX,562,BOX,EDDP-RKSI
BOX563,BOX,563,BOX,ZSPD-RKSI
BOX564,BOX,564,BOX,EDDP-ZSPD
BOX565,BOX,565,BOX,ZSPD-EDDP
BOX566,BOX,566,BOX,EDDP-RKSI-ZSPD
BOX567,BOX,567,BOX,RKSI-EDDP
BOX570,BOX,570,BOX,EDDP-ZSPD
BOX571,BOX,571,BOX,ZSPD-EDDP
BOX573,BOX,573,BOX,ZSPD-EDDF
BOX574,BOX,574,BOX,EDDP-RKSI-ZSPD
BOX575,BOX,575,BOX,RKSI-EDDP
BOX576,BOX,576,BOX,EDDP-RKSI
BOX577,BOX,577,BOX,ZSPD-EDDP
BOX578,BOX,578,BOX,EDDP-RKSI
BOX579,BOX,579,BOX,RKSI-EDDF
BOX580,BOX,580,BOX,EDDP-RKSI-VHHH
BOX581,BOX,581,BOX,VHHH-EDDK
BOX582,BOX,582,BOX,EDDP-RKSI-VHHH-RJAA-KCVG
BOX583,BOX,583,BOX,VHHH-EDDP
BOX584,BOX,584,BOX,EDDP-OBBI-ZGSZ
BOX585,BOX,585,BOX,ZGSZ-KLAX-KCVG
BOX586,BOX,586,BOX,EDDP-VTBS-ZGSZ
BOX587,BOX,587,BOX,ZGSZ-KLAX-KATL
BOX588,BOX,588,BOX,EDDP-VTBS-VHHH
BOX589,BOX,589,BOX,ZGSZ-PANC-KORD
BOX590,BOX,590,BOX,EDDP-RJAA-VHHH
BOX591,BOX,591,BOX,VHHH-VIDP-EDDP
BOX592,BOX,592,BOX,EDDP-VIDP-VHHH
BOX593,BOX,593,BOX,VHHH-VIDP-EGNX-EDDP
BOX594,BOX,594,BOX,EDDP-RJAA-VHHH
BOX595,BOX,595,BOX,ZGSZ-VIDP-EDDP
BOX596,BOX,596,BOX,EDDP-VIDP-VHHH
BOX597,BOX,597,BOX,ZGSZ-VIDP-EDDP
BOX598,BOX,598,BOX,EDDP-RKSI
BOX599,BOX,599,BOX,VHHH-OMDB-EDDP
BOX610,BOX,610,BOX,EDDF-VHHH
BOX611,BOX,611,BOX,VHHH-EDDF
BOX612,BOX,612,BOX,EDDF-VHHH
BOX614,BOX,614,BOX,EDDF-RCTP
BOX615,BOX,615,BOX,RCTP-OMDW-EDDF
BOX616,BOX,616,BOX,EDDP-OMSJ-VHHH
BOX617,BOX,617,BOX,KLAX-EDDF
BOX618,BOX,618,BOX,EDDF-VVTS-ZSPD
BOX619,BOX,619,BOX,ZSPD-KLAX
BOX620,BOX,620,BOX,EDDF-VVTS
BOX621,BOX,621,BOX,VVTS-VVNB-EDDF
BOX622,BOX,622,BOX,EDDF-VABB
BOX623,BOX,623,BOX,VABB-EDDF
BOX624,BOX,624,BOX,EDDF-VABB
BOX625,BOX,625,BOX,VABB-VOHS-EDDF
BOX626,BOX,626,BOX,EDDF-VTBS-VVTS
BOX627,BOX,627,BOX,VABB-VOHS-EDDF
BOX628,BOX,628,BOX,EDDF-VHHH
BOX629,BOX,629,BOX,VHHH-OMDW-EDDF
BOX630,BOX,630,BOX,EDDF-UTTT-VHHH
BOX631,BOX,631,BOX,VHHH-OMDW-EDDF
BOX632,BOX,632,BOX,EDDF-VHHH
BOX633,BOX,633,BOX,VHHH-OMDW-EDDF
BOX634,BOX,634,BOX,EDDF-RKSI-RJBB
BOX635,BOX,635,BOX,RJBB-EDDF
BOX641,BOX,641,BOX,VVTS-VVNB-EDDF
BOX671,BOX,671,BOX,VVTS-VVNB-EDDF
BOX690,BOX,690,BOX,EDDF-VOMM-VTBS-VVTS
BOX691,BOX,691,BOX,VVTS-VTBS-EDDF
BOX692,BOX,692,BOX,EDDF-VABB
BOX693,BOX,693,BOX,VABB-EDDF
BOX696,BOX,696,BOX,EDDF-VTBS-VVTS
BOX830,BOX,830,BOX,EDDP-EBBR
BOX909,BOX,909,BOX,EDDP-EDDF
BOX910,BOX,910,BOX,EDDP-EDDF
