Callsign,Code,Number,AirlineCode,AirportCodes
BVL111,BVL,111,BVL,LBWN-LLBG
BVL112,BVL,112,BVL,LLBG-LBWN
BVL113,BVL,113,BVL,LBWN-OIIE
BVL114,BVL,114,BVL,OIIE-LBWN
BVL117,BVL,117,BVL,LBWN-LLBG
BVL118,BVL,118,BVL,LLBG-LBWN
BVL124,BVL,124,BVL,OIIE-LBWN
BVL125,BVL,125,BVL,LBWN-UUWW
BVL125A,BVL,125A,BVL,LBWN-UUWW
BVL127,BVL,127,BVL,LBWN-UUWW
BVL128,BVL,128,BVL,UUWW-LBBG
BVL138,BVL,138,BVL,UUEE-LBWN
BVL142,BVL,142,BVL,UUEE-LBWN
BVL166,BVL,166,BVL,EPWA-LBBG
BVL167,BVL,167,BVL,LBBG-EPGD
BVL169,BVL,169,BVL,LBBG-EPWR
BVL170,BVL,170,BVL,EPWR-LBBG
BVL220,BVL,220,BVL,UUWW-LBWN
BVL225,BVL,225,BVL,LBBG-UUWW
BVL226,BVL,226,BVL,UUWW-LBBG
BVL227,BVL,227,BVL,LBBG-UUWW
BVL228,BVL,228,BVL,UUWW-LBBG
BVL5364,BVL,5364,BVL,LGIR-LBSF
BVL5422,BVL,5422,BVL,LZIB-LBBG
BVL5430,BVL,5430,BVL,LICA-LZKZ-LBBG
BVL5433,BVL,5433,BVL,LBBG-LZIB
BVL5436,BVL,5436,BVL,LKPR-LBBG
BVL5441,BVL,5441,BVL,LBWN-LICC
BVL5734,BVL,5734,BVL,LHBP-LBBG
BVL5783,BVL,5783,BVL,LBBG-LHDC
BVL5784,BVL,5784,BVL,LHDC-LBBG
BVL6081,BVL,6081,BVL,LBBG-LLBG
BVL6082,BVL,6082,BVL,LLBG-LBBG
BVL6207,BVL,6207,BVL,LBBG-EPKT
BVL6209,BVL,6209,BVL,LBBG-EPKT
BVL6210,BVL,6210,BVL,EPKT-LBBG
BVL6232,BVL,6232,BVL,EPKT-LBBG
BVL6234,BVL,6234,BVL,EPWA-LBBG
BVL6235,BVL,6235,BVL,LBBG-EPWA
BVL6239,BVL,6239,BVL,LBBG-EPKT
BVL6240,BVL,6240,BVL,EPKT-LBBG
BVL6242,BVL,6242,BVL,EPKT-LBBG
BVL6931,BVL,6931,BVL,LBBG-LKTB
BVL6932,BVL,6932,BVL,LKTB-LBBG
BVL6943,BVL,6943,BVL,LBBG-LKTB
BVL7053,BVL,7053,BVL,LBSF-LICC
BVL717,BVL,717,BVL,LBSF-LLBG
BVL718,BVL,718,BVL,LLBG-LBSF
BVL8055,BVL,8055,BVL,LBSF-LIPE
BVL8411,BVL,8411,BVL,LBBG-EKBI-EKCH-LBBG
BVL8862,BVL,8862,BVL,LMML-LBSF
BVL902,BVL,902,BVL,LBWN-BKPR
BVL9405,BVL,9405,BVL,LBBG-EKBI
BVL991,BVL,991,BVL,LBBG-LBWN
