Callsign,Code,Number,AirlineCode,AirportCodes
CAO1001,CAO,1001,CAO,ZSPD-ZUUU-EHAM
CAO1002,CAO,1002,CAO,KORD-EDDF
CAO1003,CAO,1003,CAO,ZSPD-ZUUU-PANC-KORD
CAO1004,CAO,1004,CAO,KORD-ZBAA
CAO1005,CAO,1005,CAO,ZSPD-EDDF
CAO1006,CAO,1006,CAO,EDDF-ZSPD
CAO1007,CAO,1007,CAO,ZSPD-PANC-KJFK
CAO1008,CAO,1008,CAO,KJFK-EGLL
CAO1009,CAO,1009,CAO,ZSPD-EHAM
CAO101,CAO,101,CAO,UNNT-LIMC
CAO1010,CAO,1010,CAO,EHAM-ZSPD
CAO1011,CAO,1011,CAO,ZSPD-EDDF
CAO1012,CAO,1012,CAO,KORD-ZSPD
CAO1013,CAO,1013,CAO,ZSPD-ZHCC-EDDF
CAO1014,CAO,1014,CAO,EDDF-ZBTJ
CAO1015,CAO,1015,CAO,ZSPD-UNNT-EHAM
CAO1016,CAO,1016,CAO,EHAM-ZSPD
CAO1017,CAO,1017,CAO,ZSPD-PANC-KORD
CAO1018,CAO,1018,CAO,KORD-ZSPD
CAO1019,CAO,1019,CAO,ZSPD-PANC-KDFW
CAO102,CAO,102,CAO,LIMC-ZSPD
CAO1020,CAO,1020,CAO,KJFK-ZBAA
CAO1021,CAO,1021,CAO,ZSPD-EDDF
CAO1022,CAO,1022,CAO,EDDF-ZSPD
CAO1023,CAO,1023,CAO,ZSPD-ZUUU-EHAM
CAO1024,CAO,1024,CAO,EHAM-ZSPD
CAO1025,CAO,1025,CAO,ZSPD-EHAM
CAO1026,CAO,1026,CAO,EHAM-LEZG-ZBTJ-ZSPD
CAO1027,CAO,1027,CAO,ZSHC-EBLG-LEMD
CAO1028,CAO,1028,CAO,EBLG-LEMD-ZSHC
CAO1029,CAO,1029,CAO,ZSPD-PANC-KJFK
CAO103,CAO,103,CAO,UNNT-EDDF
CAO1030,CAO,1030,CAO,KJFK-ZBAA-ZSPD
CAO1031,CAO,1031,CAO,ZSPD-ZUCK-EDDF
CAO1032,CAO,1032,CAO,EDDF-ZBAA-ZSPD
CAO1033,CAO,1033,CAO,ZSPD-EHAM
CAO1034,CAO,1034,CAO,EHAM-ZSPD
CAO1035,CAO,1035,CAO,ZSPD-EHAM
CAO1036,CAO,1036,CAO,EHAM-ZBTJ-ZSPD
CAO1037,CAO,1037,CAO,ZSPD-ZUCK-EHAM
CAO1038,CAO,1038,CAO,EHAM-ZSPD
CAO1039,CAO,1039,CAO,ZSPD-EHAM
CAO104,CAO,104,CAO,VHHH-ZBTJ
CAO1040,CAO,1040,CAO,EHAM-ZSPD
CAO1041,CAO,1041,CAO,ZSPD-EDDF
CAO1042,CAO,1042,CAO,EDDF-ZBAA-ZSPD
CAO1043,CAO,1043,CAO,ZSPD-EHAM
CAO1044,CAO,1044,CAO,EHAM-ZBAA
CAO1045,CAO,1045,CAO,ZSPD-ZUUU-PANC-KORD
CAO1046,CAO,1046,CAO,KORD-ZSPD
CAO1047,CAO,1047,CAO,ZSPD-EDDF
CAO1048,CAO,1048,CAO,EDDF-ZSPD
CAO1049,CAO,1049,CAO,ZSPD-PANC-KJFK
CAO105,CAO,105,CAO,ZSPD-KLAX
CAO1050,CAO,1050,CAO,KDFW-KJFK-ZSPD
CAO1051,CAO,1051,CAO,ZSPD-KLAX
CAO1052,CAO,1052,CAO,KJFK-KORD
CAO1053,CAO,1053,CAO,ZSPD-PANC-KORD
CAO1054,CAO,1054,CAO,KORD-ZBAA
CAO1055,CAO,1055,CAO,ZSPD-PANC-KORD
CAO1056,CAO,1056,CAO,KORD-ZSPD
CAO1057,CAO,1057,CAO,ZSPD-KLAX
CAO1058,CAO,1058,CAO,KLAX-ZBAA-ZSPD
CAO1059,CAO,1059,CAO,ZSPD-KLAX
CAO106,CAO,106,CAO,ZSPD-RJBB
CAO1060,CAO,1060,CAO,KLAX-ZSPD
CAO1061,CAO,1061,CAO,ZSPD-RJBB
CAO1062,CAO,1062,CAO,RJBB-ZSPD
CAO1063,CAO,1063,CAO,ZSPD-RJBB
CAO1065,CAO,1065,CAO,ZSPD-PANC-KJFK
CAO1066,CAO,1066,CAO,KDFW-KJFK-PANC
CAO1067,CAO,1067,CAO,ZSPD-PANC-KJFK
CAO1068,CAO,1068,CAO,KJFK-EDFH
CAO1069,CAO,1069,CAO,ZSCN-EBLG
CAO107,CAO,107,CAO,LIMC-ZSPD
CAO1070,CAO,1070,CAO,EBLG-ZSCN
CAO1073,CAO,1073,CAO,ZSPD-RJAA
CAO1074,CAO,1074,CAO,RJAA-ZSPD
CAO1075,CAO,1075,CAO,ZSPD-CYEG-KDFW
CAO1076,CAO,1076,CAO,KORD-EDFH
CAO1077,CAO,1077,CAO,ZSPD-PANC-KJFK
CAO1078,CAO,1078,CAO,KJFK-PANC-ZSPD
CAO1079,CAO,1079,CAO,ZSPD-PANC-KORD
CAO108,CAO,108,CAO,ZBAA-ZSPD
CAO1080,CAO,1080,CAO,EDDF-ZSPD-KORD
CAO1082,CAO,1082,CAO,ZSPD-ZBAA
CAO1083,CAO,1083,CAO,ZBAA-ZSNJ
CAO1084,CAO,1084,CAO,ZSNJ-ZBAA
CAO1085,CAO,1085,CAO,ZUUU-ZSNJ
CAO1086,CAO,1086,CAO,ZSNJ-ZUUU
CAO1087,CAO,1087,CAO,ZYCC-ZYTX-ZSNJ
CAO1088,CAO,1088,CAO,ZSNJ-ZYCC
CAO1089,CAO,1089,CAO,ZGGG-ZSNJ
CAO1090,CAO,1090,CAO,ZSNJ-ZGGG
CAO1091,CAO,1091,CAO,ZSPD-RCTP
CAO1092,CAO,1092,CAO,RCTP-ZSPD
CAO1099,CAO,1099,CAO,ZBDS-ZSPD
CAO110,CAO,110,CAO,LIMC-ZSPD
CAO170,CAO,170,CAO,RJAA-ZSPD
CAO3101,CAO,3101,CAO,ZSHC-EBLG-LEMD
CAO3103,CAO,3103,CAO,ZSHC-EBLG
CAO3104,CAO,3104,CAO,EBLG-ZSPD
CAO3107,CAO,3107,CAO,ZSPD-EDDF
CAO3117,CAO,3117,CAO,ZSPD-EHAM
CAO8401,CAO,8401,CAO,ZSPD-EDDF
CAO8402,CAO,8402,CAO,EDDF-ZSPD
CAO8403,CAO,8403,CAO,ZSPD-PANC-KORD
CAO8404,CAO,8404,CAO,EDDF-ZBTJ-ZSPD
CAO8405,CAO,8405,CAO,ZSPD-EHAM
CAO8406,CAO,8406,CAO,LEMD-ZSPD
CAO8412,CAO,8412,CAO,KORD-PANC-ZSPD
CAO8415,CAO,8415,CAO,ZSPD-KLAX
CAO8421,CAO,8421,CAO,ZUUU-VTBS
CAO8422,CAO,8422,CAO,VTBS-ZUUU
CAO8443,CAO,8443,CAO,ZSPD-ZUUU-PANC-KORD
CAO8444,CAO,8444,CAO,KORD-ZSPD
