Callsign,Code,Number,AirlineCode,AirportCodes
CAY102,CAY,102,CAY,MWCR-KMIA
CAY103,CAY,103,CAY,KMIA-MWCR
CAY105,CAY,105,CAY,KMIA-MWCR-MWCB
CAY107,CAY,107,CAY,KMIA-MWCR
CAY112,CAY,112,CAY,MWCR-KMIA
CAY113,CAY,113,CAY,KMIA-MWCR
CAY1234,CAY,1234,CAY,MWCR-KJFK-MWCR
CAY200,CAY,200,CAY,MWCR-KTPA
CAY201,CAY,201,CAY,KTPA-MWCR
CAY203,CAY,203,CAY,KTPA-MWCR
CAY2105,CAY,2105,CAY,MWCR-MWCB
CAY2602,CAY,2602,CAY,MWCR-MKJP
CAY3102,CAY,3102,CAY,MWCR-KMIA
CAY3103,CAY,3103,CAY,KMIA-MWCR
CAY3123,CAY,3123,CAY,KMIA-MWCB-MWCR
CAY3176,CAY,3176,CAY,MWCB-KJFK
CAY3600,CAY,3600,CAY,MWCR-MKJP
CAY3880,CAY,3880,CAY,MWCR-MHLC
CAY505,CAY,505,CAY,KORD-MWCR
CAY600,CAY,600,CAY,MWCR-MKJP
CAY601,CAY,601,CAY,MKJP-MWCR
CAY604,CAY,604,CAY,MWCR-MKJP
CAY607,CAY,607,CAY,MKJP-MWCR
CAY621,CAY,621,CAY,MKJP-MKJS-MWCR
CAY792,CAY,792,CAY,MWCR-KJFK
CAY793,CAY,793,CAY,KJFK-MWCR
CAY8009,CAY,8009,CAY,MWCR-TBPB
CAY883,CAY,883,CAY,MHLC-MWCR
