Callsign,Code,Number,AirlineCode,AirportCodes
CCA1,CCA,1,CCA,OMDB-OTHH
CCA1001,CCA,1001,CCA,LEMD-LFPG
CCA101,CCA,101,CCA,ZBAA-VHHH
CCA1011,CCA,1011,CCA,ZSPD-EDDF
CCA1013,CCA,1013,CCA,ZSPD-UNNT-LEZG
CCA1014,CCA,1014,CCA,LEZG-UNNT-ZSPD
CCA1015,CCA,1015,CCA,ZSPD-UNNT-EDDF
CCA1016,CCA,1016,CCA,RJBB-ZSPD
CCA102,CCA,102,CCA,VHHH-ZBAA
CCA1025,CCA,1025,CCA,ZBTJ-EDDF
CCA1026,CCA,1026,CCA,EHAM-ZBAA
CCA103,CCA,103,CCA,ZBTJ-VHHH
CCA1033,CCA,1033,CCA,ZSPD-ZUUU-UNNT-EHAM
CCA1034,CCA,1034,CCA,EDDF-ZSPD
CCA1036,CCA,1036,CCA,OMDB-ZSPD
CCA1037,CCA,1037,CCA,ZSPD-ZUCK-EHAM
CCA1038,CCA,1038,CCA,UAAA-ZSPD
CCA104,CCA,104,CCA,VHHH-ZBTJ
CCA105,CCA,105,CCA,ZYTL-VHHH
CCA1050,CCA,1050,CCA,EKCH-ZSPD
CCA1051,CCA,1051,CCA,ZSPD-PANC-KJFK
CCA1052,CCA,1052,CCA,KJFK-KORD
CCA1054,CCA,1054,CCA,KDFW-PANC
CCA1055,CCA,1055,CCA,ZSPD-PANC-KJFK
CCA1056,CCA,1056,CCA,KJFK-KORD-PANC-ZBAA
CCA1057,CCA,1057,CCA,ZSPD-KLAX
CCA1058,CCA,1058,CCA,KLAX-ZBAA
CCA1059,CCA,1059,CCA,ZSPD-KLAX
CCA106,CCA,106,CCA,VHHH-ZYTL
CCA1060,CCA,1060,CCA,KLAX-ZSPD
CCA1061,CCA,1061,CCA,ZSPD-RJBB
CCA1062,CCA,1062,CCA,RJBB-ZSPD
CCA1063,CCA,1063,CCA,ZSPD-RJBB
CCA1064,CCA,1064,CCA,RJBB-ZSPD
CCA1065,CCA,1065,CCA,ZSPD-PANC
CCA1066,CCA,1066,CCA,PANC-ZSPD
CCA1069,CCA,1069,CCA,ZBAA-LOWW
CCA107,CCA,107,CCA,ZBAA-VHHH
CCA1070,CCA,1070,CCA,LIMC-ZSPD
CCA1073,CCA,1073,CCA,ZSPD-RJAA
CCA1074,CCA,1074,CCA,RJAA-ZSPD
CCA108,CCA,108,CCA,VHHH-ZBAA
CCA1081,CCA,1081,CCA,ZBAA-ZSPD
CCA1083,CCA,1083,CCA,ZBAA-ZSPD
CCA109,CCA,109,CCA,ZBAA-VHHH
CCA1090,CCA,1090,CCA,PANC-ZSPD
CCA110,CCA,110,CCA,VHHH-ZBAA
CCA1101,CCA,1101,CCA,ZBAA-ZBHH
CCA1102,CCA,1102,CCA,ZBHH-ZBAA
CCA1103,CCA,1103,CCA,ZBAA-ZBHH
CCA1104,CCA,1104,CCA,ZJSY-ZBAA
CCA1105,CCA,1105,CCA,ZBAA-ZBHH
CCA1106,CCA,1106,CCA,ZBHH-ZBAA
CCA1107,CCA,1107,CCA,ZBAA-ZBOW
CCA1108,CCA,1108,CCA,ZBOW-ZBAA
CCA1109,CCA,1109,CCA,ZBAA-ZBXH
CCA111,CCA,111,CCA,ZBAA-VHHH
CCA1110,CCA,1110,CCA,ZBXH-ZBAA
CCA1111,CCA,1111,CCA,ZBAA-ZBHH
CCA1112,CCA,1112,CCA,ZBHH-ZBAA
CCA1113,CCA,1113,CCA,ZBAD-ZBUH
CCA1115,CCA,1115,CCA,ZBAA-ZBHH
CCA1116,CCA,1116,CCA,ZBHH-ZBAA
CCA1117,CCA,1117,CCA,ZBAA-ZBHH
CCA1119,CCA,1119,CCA,ZBAA-ZBDT
CCA112,CCA,112,CCA,VHHH-ZBAA
CCA1120,CCA,1120,CCA,ZSFZ-ZBAA
CCA1121,CCA,1121,CCA,ZBAA-ZBOW
CCA1122,CCA,1122,CCA,ZBOW-ZBAA
CCA1123,CCA,1123,CCA,ZBAA-ZBTL
CCA1124,CCA,1124,CCA,ZBTL-ZBAA
CCA1125,CCA,1125,CCA,ZBAA-ZBHH
CCA1126,CCA,1126,CCA,ZBHH-ZBAA
CCA1127,CCA,1127,CCA,ZBAA-ZBMZ
CCA1128,CCA,1128,CCA,ZBMZ-ZBAA
CCA1129,CCA,1129,CCA,ZBAA-ZBLA
CCA113,CCA,113,CCA,ZHHH-RJAA
CCA1130,CCA,1130,CCA,ZBLA-ZBAA
CCA1131,CCA,1131,CCA,ZBAA-ZBLA
CCA1132,CCA,1132,CCA,ZBLA-ZBAA
CCA1133,CCA,1133,CCA,ZBAA-ZBYC
CCA1134,CCA,1134,CCA,ZBYC-ZBAA
CCA1135,CCA,1135,CCA,ZBAA-ZBOW
CCA1136,CCA,1136,CCA,ZBOW-ZBAA
CCA1137,CCA,1137,CCA,ZBAA-ZBHH
CCA1138,CCA,1138,CCA,ZBHH-ZBAA
