Callsign,Code,Number,AirlineCode,AirportCodes
CCD1256,CCD,1256,CCD,ZSOF-ZBAA
CCD1454,CCD,1454,CCD,ZUMY-ZBAA
CCD1480,CCD,1480,CCD,ZGSD-ZBAA
CCD1535,CCD,1535,CCD,ZBAA-ZSNB
CCD1536,CCD,1536,CCD,ZSNB-ZBAA
CCD1541,CCD,1541,CCD,ZBAA-ZSNB
CCD1542,CCD,1542,CCD,ZSNB-ZBAA
CCD1546,CCD,1546,CCD,ZSYT-ZBAA
CCD1551,CCD,1551,CCD,ZBAA-ZSTX
CCD1607,CCD,1607,CCD,ZBAA-ZYTL
CCD1608,CCD,1608,CCD,ZYTL-ZBAA
CCD1611,CCD,1611,CCD,ZBAA-ZYHB
CCD1612,CCD,1612,CCD,ZYHB-ZBAA
CCD1693,CCD,1693,CCD,ZBAA-ZYJM
CCD1694,CCD,1694,CCD,ZYJM-ZBAA
CCD1696,CCD,1696,CCD,ZYDQ-ZBAA
CCD1839,CCD,1839,CCD,ZBAA-ZSNB
CCD1840,CCD,1840,CCD,ZSNB-ZBAA
CCD1860,CCD,1860,CCD,ZGZH-ZBAA
CCD8301,CCD,8301,CCD,ZBAA-ZSNB
CCD8902,CCD,8902,CCD,ZBAA-ZYTL
CCD8903,CCD,8903,CCD,ZYTL-ZBAA
CCD8904,CCD,8904,CCD,ZBAA-ZYTL
CCD8905,CCD,8905,CCD,ZYTL-ZBAA
CCD8906,CCD,8906,CCD,ZBAA-ZYTL
CCD8907,CCD,8907,CCD,ZYTL-ZBAA
CCD8908,CCD,8908,CCD,ZBAA-ZYTL
CCD8909,CCD,8909,CCD,ZYTL-ZBAD
CCD8910,CCD,8910,CCD,ZBAA-ZYTL
CCD8911,CCD,8911,CCD,ZYTL-ZSPD
CCD8912,CCD,8912,CCD,ZSPD-ZYTL
CCD8915,CCD,8915,CCD,ZYTL-ZBYC
CCD8916,CCD,8916,CCD,ZBYC-ZYTL
CCD8917,CCD,8917,CCD,ZYTL-ZSQD
CCD8922,CCD,8922,CCD,ZLXY-ZYTL
CCD8924,CCD,8924,CCD,ZLIC-ZBSJ-ZYTL
CCD8933,CCD,8933,CCD,ZYTL-ZSOF-ZGSZ
CCD8934,CCD,8934,CCD,ZGSZ-ZSOF-ZYTL
CCD8935,CCD,8935,CCD,ZYTL-ZHCC-ZGKL
CCD8936,CCD,8936,CCD,ZGKL-ZHCC-ZYTL
CCD8937,CCD,8937,CCD,ZYTL-ZHSY-ZPPP
CCD8938,CCD,8938,CCD,ZPPP-ZHSY-ZYTL
CCD8941,CCD,8941,CCD,ZYTL-ZBYC-ZJHK
CCD8942,CCD,8942,CCD,ZJHK-ZBYC-ZYTL
CCD8951,CCD,8951,CCD,ZYTL-ZSHC
CCD8952,CCD,8952,CCD,ZSHC-ZYTL
CCD8971,CCD,8971,CCD,ZYTL-ZUUU
CCD8972,CCD,8972,CCD,ZUUU-ZYTL
CCD8973,CCD,8973,CCD,ZYTL-ZSLG-ZUGY
CCD8974,CCD,8974,CCD,ZUGY-ZSLG-ZYTL
CCD8981,CCD,8981,CCD,ZYTL-ZUUU
CCD8982,CCD,8982,CCD,ZUUU-ZYTL
CCD8983,CCD,8983,CCD,ZYTL-ZBLF-ZUGY
CCD8984,CCD,8984,CCD,ZUGY-ZBLF-ZYTL
CCD8992,CCD,8992,CCD,ZBAA-ZYTL
