Callsign,Code,Number,AirlineCode,AirportCodes
CDG1151,CDG,1151,CDG,ZSJN-VHHH
CDG1152,CDG,1152,CDG,VHHH-ZSJN
CDG1153,CDG,1153,CDG,ZSAM-ZBAA
CDG1154,CDG,1154,CDG,ZBAA-ZSAM
CDG1155,CDG,1155,CDG,ZBAA-ZGSD
CDG1156,CDG,1156,CDG,ZGSD-ZBAA
CDG1157,CDG,1157,CDG,ZBAA-ZGSD
CDG1158,CDG,1158,CDG,ZGSD-ZBAA
CDG1159,CDG,1159,CDG,ZBAA-ZGSD
CDG1160,CDG,1160,CDG,ZGSD-ZBAA
CDG1161,CDG,1161,CDG,ZBAA-ZGSD
CDG1162,CDG,1162,CDG,ZGSD-ZBAA
CDG1163,CDG,1163,CDG,ZSJN-ZSPD
CDG1164,CDG,1164,CDG,ZSPD-ZSJN
CDG1165,CDG,1165,CDG,ZSJN-ZSSS
CDG1166,CDG,1166,CDG,ZSSS-ZSJN
CDG1167,CDG,1167,CDG,ZSJN-ZSSS
CDG1168,CDG,1168,CDG,ZSSS-ZSJN
CDG1169,CDG,1169,CDG,ZSJN-ZGGG
CDG1170,CDG,1170,CDG,ZGGG-ZSJN
CDG1171,CDG,1171,CDG,ZSJN-ZGGG
CDG1172,CDG,1172,CDG,ZGGG-ZSJN
CDG1173,CDG,1173,CDG,ZSJN-ZGGG
CDG1174,CDG,1174,CDG,ZGGG-ZSJN
CDG1175,CDG,1175,CDG,ZSJN-ZGGG
CDG1176,CDG,1176,CDG,ZGGG-ZSJN
CDG1177,CDG,1177,CDG,ZSJN-ZSFZ-ZJSY
CDG1178,CDG,1178,CDG,ZJSY-ZSFZ-ZSJN
CDG1181,CDG,1181,CDG,ZSJN-ZGSZ
CDG1182,CDG,1182,CDG,ZGSZ-ZSJN-ZSWH
CDG1183,CDG,1183,CDG,ZSJN-ZSWY-ZGSZ
CDG1184,CDG,1184,CDG,ZGSZ-ZSWY-ZSJN
CDG1185,CDG,1185,CDG,ZSJN-ZGSZ
CDG1186,CDG,1186,CDG,ZGSZ-ZSJN
CDG1187,CDG,1187,CDG,ZSJN-ZGSZ
CDG1188,CDG,1188,CDG,ZGSZ-ZSJN
CDG1189,CDG,1189,CDG,ZSWH-ZSJN-ZGSZ
CDG1190,CDG,1190,CDG,ZGSZ-ZSJN
CDG1191,CDG,1191,CDG,ZYCC-ZSJN-ZGSD
CDG1192,CDG,1192,CDG,ZGSD-ZSJN-ZYCC
CDG1193,CDG,1193,CDG,ZSJN-ZGSD
CDG1194,CDG,1194,CDG,ZGSD-ZSJN
CDG1195,CDG,1195,CDG,ZYTL-ZSJN-ZGSD
CDG1196,CDG,1196,CDG,ZGSD-ZSJN-ZYTL
CDG1197,CDG,1197,CDG,ZSJN-ZSWZ-ZGSD
CDG1198,CDG,1198,CDG,ZGSD-ZSWZ-ZSJN
CDG1199,CDG,1199,CDG,ZSJN-ZSCN-ZGSD
CDG1200,CDG,1200,CDG,ZGSD-ZSCN-ZSJN
CDG2103,CDG,2103,CDG,ZSAM-ZUGY
CDG2104,CDG,2104,CDG,ZUGY-ZSAM
CDG2105,CDG,2105,CDG,ZSAM-ZUGY
CDG2106,CDG,2106,CDG,ZUGY-ZSAM
CDG2107,CDG,2107,CDG,ZSAM-ZUGY
CDG2108,CDG,2108,CDG,ZUGY-ZSAM
CDG2109,CDG,2109,CDG,ZSAM-ZSHC
CDG2110,CDG,2110,CDG,ZSHC-ZSAM
CDG2111,CDG,2111,CDG,ZSAM-ZSHC-ZYTL
CDG2112,CDG,2112,CDG,ZYTL-ZSHC-ZSAM
CDG2113,CDG,2113,CDG,ZSAM-ZSHC
CDG2114,CDG,2114,CDG,ZSHC-ZSAM
CDG2115,CDG,2115,CDG,ZSAM-ZSHC
CDG2116,CDG,2116,CDG,ZSHC-ZSAM
CDG2117,CDG,2117,CDG,ZSAM-ZSHC-ZWWW
CDG2118,CDG,2118,CDG,ZWWW-ZSHC-ZSAM
CDG2121,CDG,2121,CDG,ZSAM-ZBAA
CDG2122,CDG,2122,CDG,ZBAA-ZSAM
CDG2123,CDG,2123,CDG,ZSAM-ZBAA
CDG2124,CDG,2124,CDG,ZBAA-ZSAM
CDG2125,CDG,2125,CDG,ZSAM-ZBAA
CDG2126,CDG,2126,CDG,ZBAA-ZSAM
CDG2127,CDG,2127,CDG,ZSAM-ZBAA
CDG2128,CDG,2128,CDG,ZBAA-ZSAM
CDG2129,CDG,2129,CDG,ZSAM-ZBAA
CDG2130,CDG,2130,CDG,ZBAA-ZSAM
CDG2131,CDG,2131,CDG,ZSJN-ZLYA-ZGKL
