Callsign,Code,Number,AirlineCode,AirportCodes
CES106,CES,106,CES,ZSPD-ZYCC
CES116,CES,116,CES,ZBAA-ZYTX
CES123,CES,123,CES,ZSPD-ZYTX
CES147,CES,147,CES,ZSPD-ZYTX
CES153,CES,153,CES,ZSQD-ZYTX
CES176,CES,176,CES,RJSN-ZSPD
CES180,CES,180,CES,RJSN-ZSPD
CES2003,CES,2003,CES,ZPPP-RKSI
CES2004,CES,2004,CES,RKSI-ZPPP
CES2007,CES,2007,CES,ZSPD-VMMC
CES2008,CES,2008,CES,VMMC-ZSPD
CES2009,CES,2009,CES,ZSNB-RCTP
CES201,CES,201,CES,ZSPD-EGKK
CES2010,CES,2010,CES,RCTP-ZSNB
CES2011,CES,2011,CES,ZGNN-VYYY
CES2012,CES,2012,CES,VYYY-ZGNN-ZPPP
CES2013,CES,2013,CES,ZBAA-ZYTL-RJOB
CES2014,CES,2014,CES,RJOB-ZYTL-ZBAA
CES2015,CES,2015,CES,ZBAD-VMMC
CES2016,CES,2016,CES,VMMC-ZBAD
CES2017,CES,2017,CES,ZSWH-RKSI
CES2018,CES,2018,CES,RKSI-ZSWH
CES2019,CES,2019,CES,ZSPD-RJNS
CES202,CES,202,CES,EGKK-ZSPD
CES2020,CES,2020,CES,RJNS-ZSPD
CES2022,CES,2022,CES,VTSP-ZSHC
CES2023,CES,2023,CES,ZGHA-RKSI
CES2024,CES,2024,CES,RKSI-ZGHA
CES2025,CES,2025,CES,ZLXY-RJGG
CES2026,CES,2026,CES,RJGG-ZLXY
CES2027,CES,2027,CES,ZPPP-RCTP
CES2028,CES,2028,CES,RCTP-ZPPP
CES2029,CES,2029,CES,ZPPP-VYMD
CES203,CES,203,CES,ZBDS-ZLXY-VHHH
CES2030,CES,2030,CES,VYMD-ZPPP
CES2031,CES,2031,CES,ZPPP-VYYY
CES2032,CES,2032,CES,VYYY-ZPPP
CES2033,CES,2033,CES,ZSQD-RKSI
CES2034,CES,2034,CES,RKSI-ZSQD
CES2035,CES,2035,CES,ZPPP-VGHS
CES2036,CES,2036,CES,VGHS-ZPPP
CES2037,CES,2037,CES,ZSQD-RJBB
