Callsign,Code,Number,AirlineCode,AirportCodes
CGZ7101,CGZ,7101,CGZ,ZUGY-ZBAD
CGZ7102,CGZ,7102,CGZ,ZBAD-ZUGY
CGZ7105,CGZ,7105,CGZ,ZUGY-ZJSY
CGZ7106,CGZ,7106,CGZ,ZJSY-ZUGY
CGZ7107,CGZ,7107,CGZ,ZUGY-ZSYC-ZSFZ
CGZ7108,CGZ,7108,CGZ,ZSFZ-ZSYC-ZUGY
CGZ7109,CGZ,7109,CGZ,ZUGY-ZSQZ
CGZ7110,CGZ,7110,CGZ,ZSQZ-ZUGY
CGZ7111,CGZ,7111,CGZ,ZUGY-ZSHC
CGZ7112,CGZ,7112,CGZ,ZSHC-ZUGY
CGZ7113,CGZ,7113,CGZ,ZUGY-ZSLQ
CGZ7114,CGZ,7114,CGZ,ZSLQ-ZUGY
CGZ7115,CGZ,7115,CGZ,ZUGY-ZULZ-ZBSJ
CGZ7117,CGZ,7117,CGZ,ZUTF-ZSLQ
CGZ7118,CGZ,7118,CGZ,ZSLQ-ZUTF
CGZ7119,CGZ,7119,CGZ,ZUGY-ZSNT
CGZ7120,CGZ,7120,CGZ,ZSNT-ZUGY
CGZ7122,CGZ,7122,CGZ,ZBTJ-ZUWX-ZUGY
CGZ7123,CGZ,7123,CGZ,ZUGY-ZLHZ-ZSNT
CGZ7124,CGZ,7124,CGZ,ZSNT-ZLHZ-ZUGY
CGZ7125,CGZ,7125,CGZ,ZUMT-ZSOF
CGZ7126,CGZ,7126,CGZ,ZSOF-ZUMT
CGZ7128,CGZ,7128,CGZ,ZSCN-ZUMT
CGZ7133,CGZ,7133,CGZ,ZUMT-ZBYN
CGZ7134,CGZ,7134,CGZ,ZBYN-ZUMT
CGZ7136,CGZ,7136,CGZ,ZSOF-ZULZ-ZUGY
CGZ7139,CGZ,7139,CGZ,ZUYB-ZJHK
CGZ7140,CGZ,7140,CGZ,ZJHK-ZUYB
CGZ7142,CGZ,7142,CGZ,ZJQH-ZGBH-ZUGY
CGZ7143,CGZ,7143,CGZ,ZUMT-ZSJN
CGZ7144,CGZ,7144,CGZ,ZSJN-ZUMT
CGZ7145,CGZ,7145,CGZ,ZUGY-ZSCG
CGZ7146,CGZ,7146,CGZ,ZSCG-ZUGY
CGZ7147,CGZ,7147,CGZ,ZUYB-ZBTJ
CGZ7148,CGZ,7148,CGZ,ZBTJ-ZUYB
CGZ7149,CGZ,7149,CGZ,ZUYI-ZLXY
CGZ7150,CGZ,7150,CGZ,ZLXY-ZUYI
CGZ7154,CGZ,7154,CGZ,ZHCC-ZUDX-ZUGY
CGZ7156,CGZ,7156,CGZ,ZJHK-ZUDX-ZUGY
CGZ7158,CGZ,7158,CGZ,ZGHA-ZUYB
CGZ7161,CGZ,7161,CGZ,ZUGY-ZSLQ
CGZ7162,CGZ,7162,CGZ,ZSLQ-ZUGY
CGZ7163,CGZ,7163,CGZ,ZUGY-ZUMT-ZSNB
CGZ7164,CGZ,7164,CGZ,ZSNB-ZUMT-ZUGY
CGZ7165,CGZ,7165,CGZ,ZUYI-ZUGY-ZSNJ
CGZ7166,CGZ,7166,CGZ,ZSNJ-ZUGY-ZUYI
CGZ7167,CGZ,7167,CGZ,ZUGY-ZBXZ-ZBTJ
CGZ7168,CGZ,7168,CGZ,ZBTJ-ZBXZ-ZUGY
CGZ7170,CGZ,7170,CGZ,ZBTJ-ZUGY
CGZ7173,CGZ,7173,CGZ,ZSSH-ZUUU
CGZ7174,CGZ,7174,CGZ,ZUUU-ZSSH
CGZ7177,CGZ,7177,CGZ,ZSSH-ZUCK
CGZ7178,CGZ,7178,CGZ,ZUCK-ZSSH
CGZ7179,CGZ,7179,CGZ,ZUGY-ZSGS-ZSQZ
CGZ7180,CGZ,7180,CGZ,ZSQZ-ZSGS-ZUGY
CGZ7182,CGZ,7182,CGZ,ZGOW-ZUGY
CGZ7185,CGZ,7185,CGZ,ZUYB-ZSFZ
CGZ7186,CGZ,7186,CGZ,ZSFZ-ZUYB
CGZ7187,CGZ,7187,CGZ,ZUYB-ZBSJ
CGZ7188,CGZ,7188,CGZ,ZBSJ-ZUYB
CGZ7189,CGZ,7189,CGZ,ZUTF-ZGSZ
CGZ7190,CGZ,7190,CGZ,ZGSZ-ZUTF
CGZ7201,CGZ,7201,CGZ,ZUGY-ZSPD
CGZ7202,CGZ,7202,CGZ,ZSPD-ZUGY
CGZ7207,CGZ,7207,CGZ,ZUGY-ZJSY
CGZ7208,CGZ,7208,CGZ,ZJSY-ZUGY
CGZ7209,CGZ,7209,CGZ,ZUTF-ZSQZ
CGZ7210,CGZ,7210,CGZ,ZSQZ-ZUTF
CGZ7213,CGZ,7213,CGZ,ZUGY-ZSLQ
CGZ7214,CGZ,7214,CGZ,ZSLQ-ZUGY
CGZ7217,CGZ,7217,CGZ,ZSLQ-ZUTF
CGZ7218,CGZ,7218,CGZ,ZUTF-ZSLQ
CGZ7221,CGZ,7221,CGZ,ZUGY-ZUWX-ZBTJ
CGZ7222,CGZ,7222,CGZ,ZBTJ-ZUWX-ZUGY
CGZ7226,CGZ,7226,CGZ,ZGSD-ZUYB
CGZ7227,CGZ,7227,CGZ,ZUYB-ZBYN
CGZ7229,CGZ,7229,CGZ,ZUYB-ZSNB
CGZ7230,CGZ,7230,CGZ,ZSNB-ZUYB
CGZ7235,CGZ,7235,CGZ,ZUTF-ZJQH
CGZ7236,CGZ,7236,CGZ,ZJQH-ZUTF
CGZ7237,CGZ,7237,CGZ,ZUTF-ZGBS-ZGSZ
CGZ7238,CGZ,7238,CGZ,ZGSZ-ZGBS-ZUTF
CGZ7239,CGZ,7239,CGZ,ZUYB-ZSLQ
CGZ7240,CGZ,7240,CGZ,ZSLQ-ZUYB
CGZ7241,CGZ,7241,CGZ,ZUGY-ZSYW
CGZ7242,CGZ,7242,CGZ,ZSYW-ZUGY
CGZ7243,CGZ,7243,CGZ,ZUGY-ZSYW
CGZ7244,CGZ,7244,CGZ,ZSYW-ZUGY
CGZ7247,CGZ,7247,CGZ,ZUGY-ZSYW
CGZ7248,CGZ,7248,CGZ,ZSYW-ZUGY
CGZ7249,CGZ,7249,CGZ,ZUTF-ZSYW
CGZ7250,CGZ,7250,CGZ,ZSYW-ZUTF
CGZ7251,CGZ,7251,CGZ,ZSNB-ZSLG-ZYTX
CGZ7252,CGZ,7252,CGZ,ZYTX-ZSLG-ZSNB
CGZ7253,CGZ,7253,CGZ,ZUTR-ZSNB
CGZ7254,CGZ,7254,CGZ,ZSNB-ZUTR
CGZ7259,CGZ,7259,CGZ,ZSNB-ZUCK
CGZ7260,CGZ,7260,CGZ,ZUCK-ZSNB
CGZ7261,CGZ,7261,CGZ,ZSNB-ZGSD
CGZ7262,CGZ,7262,CGZ,ZGSD-ZSNB
CGZ7265,CGZ,7265,CGZ,ZUGY-ZUYI-ZGSD
CGZ7266,CGZ,7266,CGZ,ZGSD-ZUYI-ZUGY
CGZ7269,CGZ,7269,CGZ,ZUYI-ZUTR-ZSNB
CGZ7270,CGZ,7270,CGZ,ZSNB-ZUTR-ZUYI
CGZ7271,CGZ,7271,CGZ,ZUYI-ZSNB
CGZ7272,CGZ,7272,CGZ,ZSNB-ZUYI
CGZ7273,CGZ,7273,CGZ,ZSNB-ZUYI
CGZ7274,CGZ,7274,CGZ,ZUYI-ZSNB
CGZ7277,CGZ,7277,CGZ,ZSYW-ZUCK
CGZ7278,CGZ,7278,CGZ,ZUCK-ZSYW
CGZ7279,CGZ,7279,CGZ,ZUTF-ZUQJ-ZSWZ
CGZ7280,CGZ,7280,CGZ,ZSWZ-ZUQJ-ZUTF
CGZ7283,CGZ,7283,CGZ,ZUGY-ZSNB
CGZ7284,CGZ,7284,CGZ,ZSNB-ZUGY
CGZ7285,CGZ,7285,CGZ,ZSNB-ZUTR-ZULB
CGZ7286,CGZ,7286,CGZ,ZULB-ZUTR-ZSNB
CGZ7289,CGZ,7289,CGZ,ZUYI-ZGSZ
CGZ7290,CGZ,7290,CGZ,ZGSZ-ZUYI
CGZ7301,CGZ,7301,CGZ,ZUGY-ZSPD
CGZ7302,CGZ,7302,CGZ,ZSPD-ZUGY
