Callsign,Code,Number,AirlineCode,AirportCodes
CHH401,CHH,401,CHH,ZBAA-UAAA
CHH402,CHH,402,CHH,UAAA-ZBAA
CHH403,CHH,403,CHH,ZBAA-LLBG
CHH404,CHH,404,CHH,LLBG-ZBAA
CHH406,CHH,406,CHH,EGLL-ZBAA
CHH408,CHH,408,CHH,YMML-ZGSZ
CHH409,CHH,409,CHH,ZGGG-VTBS
CHH410,CHH,410,CHH,VTBS-ZGGG
CHH411,CHH,411,CHH,ZBAA-LKPR
CHH412,CHH,412,CHH,YBBN-ZGSZ
CHH413,CHH,413,CHH,ZBAA-EBBR
CHH414,CHH,414,CHH,EBBR-ZBAA
CHH415,CHH,415,CHH,ZUCK-KJFK
CHH416,CHH,416,CHH,KJFK-ZUCK
CHH418,CHH,418,CHH,VTCC-ZGSZ
CHH419,CHH,419,CHH,ZYTL-RKSI
CHH420,CHH,420,CHH,RKSI-ZYTL
CHH421,CHH,421,CHH,ZGHA-EGLL
CHH422,CHH,422,CHH,EGLL-ZGHA
CHH425,CHH,425,CHH,ZUUU-EBLG
CHH426,CHH,426,CHH,EBLG-ZUUU
CHH427,CHH,427,CHH,ZGSZ-LLBG
CHH428,CHH,428,CHH,LLBG-ZGSZ
CHH429,CHH,429,CHH,ZSHC-RJCC
CHH430,CHH,430,CHH,RJCC-ZSHC
CHH433,CHH,433,CHH,ZBAA-CYVR
CHH434,CHH,434,CHH,CYVR-ZBAA
CHH437,CHH,437,CHH,ZGSZ-LIRF
CHH438,CHH,438,CHH,LIRF-ZGSZ
CHH439,CHH,439,CHH,ZSPD-EGLL
CHH440,CHH,440,CHH,RJAA-ZBAA
CHH441,CHH,441,CHH,ZGGG-EGLL
CHH442,CHH,442,CHH,EGLL-ZGGG
CHH445,CHH,445,CHH,ZGSZ-KLAX
CHH446,CHH,446,CHH,KLAX-ZGSZ
CHH447,CHH,447,CHH,ZJHK-YSSY
CHH448,CHH,448,CHH,YSSY-ZJHK
CHH449,CHH,449,CHH,ZHHH-KLAX
CHH451,CHH,451,CHH,ZSFZ-LFPG
