Callsign,Code,Number,AirlineCode,AirportCodes
CLX1,CLX,1,CLX,ELLX-KSEA
CLX103,CLX,103,CLX,KORD-ELLX
CLX105,CLX,105,CLX,KORD-ELLX
CLX107,CLX,107,CLX,ZHCC-PANC
CLX108,CLX,108,CLX,ELLX-MMMX
CLX109,CLX,109,CLX,MMMX-ELLX
CLX11Z,CLX,11Z,CLX,KIND-ELLX
CLX122,CLX,122,CLX,LIMC-KLAX
CLX127,CLX,127,CLX,KORD-ZHCC-UNNT-ELLX
CLX12K,CLX,12K,CLX,KIAH-ELLX
CLX12V,CLX,12V,CLX,PANC-KORD-ELLX
CLX131,CLX,131,CLX,ZHCC-RJNK-PANC-KORD-ELLX
CLX13D,CLX,13D,CLX,ELLX-KORD
CLX13K,CLX,13K,CLX,ELLX-KSEA-CYYC
CLX142,CLX,142,CLX,ELLX-KORD
CLX14K,CLX,14K,CLX,KLAX-KSEA-EGPK-ELLX
CLX14P,CLX,14P,CLX,KIAH-ELLX
CLX14W,CLX,14W,CLX,KLAX-ELLX
CLX160,CLX,160,CLX,ELLX-MMMX
CLX161,CLX,161,CLX,KIAH-ELLX
CLX163,CLX,163,CLX,MMMX-KLAX-ELLX
CLX168,CLX,168,CLX,ELLX-KORD
CLX169,CLX,169,CLX,KORD-ELLX
CLX16LB,CLX,16LB,CLX,ZSPD-ELLX
CLX16X,CLX,16X,CLX,KDFW-ELLX
CLX170,CLX,170,CLX,ELLX-KATL
CLX171,CLX,171,CLX,KORD-ELLX
CLX17A,CLX,17A,CLX,ELLX-KJFK-KIND
CLX17JD,CLX,17JD,CLX,OMDW-ELLX
CLX17K,CLX,17K,CLX,ELLX-KLAX-KSEA
CLX19J,CLX,19J,CLX,KIAH-ELLX
CLX19K,CLX,19K,CLX,PANC-KLAX-ELLX
CLX19S,CLX,19S,CLX,ELLX-KATL-KORD
CLX19T,CLX,19T,CLX,PANC-KORD-ELLX
CLX1EL,CLX,1EL,CLX,WMKK-OMDW-ELLX
CLX1HX,CLX,1HX,CLX,OBBI-ELLX
CLX1P,CLX,1P,CLX,ELLX-OMDW
CLX2,CLX,2,CLX,KLAX-ELLX
CLX203,CLX,203,CLX,KORD-ELLX
CLX204,CLX,204,CLX,ELLX-KATL
CLX205,CLX,205,CLX,KORD-ELLX
CLX207,CLX,207,CLX,TJBQ-EHBK
CLX209,CLX,209,CLX,VHHH-PANC-KORD-ELLX
CLX21J,CLX,21J,CLX,ELLX-KORD-KDFW
CLX22,CLX,22,CLX,UTAA-EGSS-ELLX
CLX221,CLX,221,CLX,SELT-TJBQ-EHAM-ELLX
CLX22Y,CLX,22Y,CLX,KJFK-ELLX
CLX2351,CLX,2351,CLX,ELLX-OMDW
CLX23K,CLX,23K,CLX,KIAH-ELLX
CLX2433,CLX,2433,CLX,ELLX-WSSS
CLX2436,CLX,2436,CLX,ELLX-WSSS-WMKK-VHHH
CLX244,CLX,244,CLX,VHHH-PANC-KLAX-ELLX
CLX247,CLX,247,CLX,KORD-ELLX
CLX24Q,CLX,24Q,CLX,KLAX-ELLX
CLX24W,CLX,24W,CLX,ELLX-KATL
CLX251,CLX,251,CLX,VHHH-PANC-KDFW-KORD-ELLX
CLX2584,CLX,2584,CLX,ELLX-OEDF
CLX25N,CLX,25N,CLX,ELLX-KSEA-KLAX
CLX260,CLX,260,CLX,ELLX-EGSS-LEMD
CLX2612,CLX,2612,CLX,FAOR-HKJK-EHAM-ELLX
CLX2613,CLX,2613,CLX,FAOR-HKJK-EHAM-ELLX
CLX26A,CLX,26A,CLX,PANC-KLCK-KJFK-ELLX
CLX26B,CLX,26B,CLX,PANC-KORD-ELLX
CLX26M,CLX,26M,CLX,KLAX-KSEA-EINN-ELLX
CLX271,CLX,271,CLX,KLAX-ELLX
CLX272,CLX,272,CLX,VHHH-PANC-KORD-ELLX
