Callsign,Code,Number,AirlineCode,AirportCodes
CMP100,CMP,100,CMP,SACO-MPTO
CMP101,CMP,101,CMP,MPTO-SACO
CMP102,CMP,102,CMP,MPTO-MTPP
CMP103,CMP,103,CMP,MTPP-MPTO
CMP104,CMP,104,CMP,MMUN-MPTO
CMP105,CMP,105,CMP,MNMG-MPTO
CMP106,CMP,106,CMP,MPTO-MNMG
CMP107,CMP,107,CMP,MPTO-MDSD
CMP108,CMP,108,CMP,MDSD-MPTO
CMP109,CMP,109,CMP,MDPC-MPTO
CMP110,CMP,110,CMP,MPTO-MDPC
CMP111,CMP,111,CMP,MPTO-SCEL
CMP112,CMP,112,CMP,SCEL-MPTO
CMP113,CMP,113,CMP,MPTO-MMUN
CMP114,CMP,114,CMP,MMUN-MPTO
CMP115,CMP,115,CMP,MROC-MPTO
CMP116,CMP,116,CMP,MPTO-MROC
CMP117,CMP,117,CMP,MPTO-SCEL
CMP118,CMP,118,CMP,SCEL-MPTO
CMP119,CMP,119,CMP,MPTO-MMSM
CMP120,CMP,120,CMP,MPTO-MMMX
CMP121,CMP,121,CMP,MMMX-MPTO
CMP122,CMP,122,CMP,MPTO-MMUN
CMP123,CMP,123,CMP,MMUN-MPTO
CMP124,CMP,124,CMP,SUMU-MPTO
CMP125,CMP,125,CMP,MPTO-SUMU
CMP126,CMP,126,CMP,SLVR-MPTO
CMP127,CMP,127,CMP,MPTO-SLVR
CMP128,CMP,128,CMP,MPTO-MDSD
CMP129,CMP,129,CMP,MDSD-MPTO
CMP130,CMP,130,CMP,SPJC-MPTO
CMP131,CMP,131,CMP,MPTO-SPJC
CMP132,CMP,132,CMP,SPJC-MPTO
CMP133,CMP,133,CMP,TNCM-MPTO
CMP134,CMP,134,CMP,MPTO-TNCM
CMP135,CMP,135,CMP,MMMX-MPTO
CMP136,CMP,136,CMP,MPTO-MMMX
CMP137,CMP,137,CMP,MMMX-MPTO
CMP1376,CMP,1376,CMP,KIAH-KPHL
CMP138,CMP,138,CMP,MPTO-MMMX
CMP140,CMP,140,CMP,SBEG-MPTO
CMP141,CMP,141,CMP,MPTO-SBEG
CMP142,CMP,142,CMP,MPTO-TJSJ
CMP143,CMP,143,CMP,TJSJ-MPTO
CMP144,CMP,144,CMP,MROC-MGGT
CMP145,CMP,145,CMP,MHTG-MROC-MPTO
CMP146,CMP,146,CMP,MPTO-MKJS
CMP147,CMP,147,CMP,MKJS-MPTO
CMP148,CMP,148,CMP,MPTO-MMMX
CMP149,CMP,149,CMP,MMMX-MPTO
CMP15,CMP,15,CMP,MPTO-MPDA
CMP150,CMP,150,CMP,MPTO-MDPC
CMP151,CMP,151,CMP,SKRG-MPTO
CMP152,CMP,152,CMP,MPTO-SEQM
CMP1525,CMP,1525,CMP,KEWR-KCLE
CMP153,CMP,153,CMP,SEQM-MPTO
CMP154,CMP,154,CMP,SKCG-MPTO
CMP155,CMP,155,CMP,MPTO-SKCG
CMP156,CMP,156,CMP,MPTO-SKRG
CMP157,CMP,157,CMP,SKRG-MPTO
CMP158,CMP,158,CMP,SEQM-MPTO
