Callsign,Code,Number,AirlineCode,AirportCodes
CNM1101,CNM,1101,CNM,ZBAA-ZBHH
CNM1102,CNM,1102,CNM,ZBAA-ZBHH
CNM1123,CNM,1123,CNM,ZBAA-ZBTL
CNM1124,CNM,1124,CNM,ZBTL-ZBAA
CNM1149,CNM,1149,CNM,ZBAA-ZBDS
CNM1150,CNM,1150,CNM,ZBDS-ZBAA
CNM1210,CNM,1210,CNM,ZLXY-ZBAA
CNM1230,CNM,1230,CNM,ZLXY-ZBAA
CNM1281,CNM,1281,CNM,ZBAA-ZBCF
CNM1282,CNM,1282,CNM,ZLIC-ZBAA
CNM1323,CNM,1323,CNM,ZBAA-ZGSD
CNM1324,CNM,1324,CNM,ZGSD-ZBAA
CNM1480,CNM,1480,CNM,ZGSD-ZBAA
CNM1493,CNM,1493,CNM,ZBAA-ZUGY
CNM1513,CNM,1513,CNM,ZBAA-ZSNT
CNM1541,CNM,1541,CNM,ZBAA-ZSNB
CNM1542,CNM,1542,CNM,ZSNB-ZBAA
CNM1546,CNM,1546,CNM,ZSYT-ZBAA
CNM1559,CNM,1559,CNM,ZBAA-ZSYT
CNM1561,CNM,1561,CNM,ZBAA-ZSNJ
CNM1562,CNM,1562,CNM,ZSNJ-ZBAA
CNM1580,CNM,1580,CNM,ZSQD-ZBAA
CNM1597,CNM,1597,CNM,ZBAA-ZSWH
CNM1598,CNM,1598,CNM,ZSWH-ZBAA
CNM1645,CNM,1645,CNM,ZBHH-ZJHK
CNM1646,CNM,1646,CNM,ZJHK-ZBHH
CNM1654,CNM,1654,CNM,ZUUU-ZBHH
CNM1666,CNM,1666,CNM,ZSPD-ZBHH
CNM1681,CNM,1681,CNM,ZBAA-ZYMD
CNM1682,CNM,1682,CNM,ZYMD-ZBAA
CNM1683,CNM,1683,CNM,ZBAA-ZYDQ
CNM1684,CNM,1684,CNM,ZYDQ-ZBAA
CNM1688,CNM,1688,CNM,ZBTL-ZBHH
CNM1691,CNM,1691,CNM,ZBAA-ZYJM
CNM1692,CNM,1692,CNM,ZYJM-ZBAA
CNM1814,CNM,1814,CNM,ZSOF-ZBAA
CNM1815,CNM,1815,CNM,ZBAA-ZSAM
CNM1825,CNM,1825,CNM,ZBAA-ZSCG
CNM1833,CNM,1833,CNM,ZBAA-ZSAM
CNM1834,CNM,1834,CNM,ZSAM-ZBAA
CNM1839,CNM,1839,CNM,ZBAA-ZSNB
CNM1843,CNM,1843,CNM,ZBAA-ZSOF
CNM1844,CNM,1844,CNM,ZSOF-ZBAA
CNM1847,CNM,1847,CNM,ZBAA-ZSNJ
CNM1849,CNM,1849,CNM,ZBAA-ZSNB
CNM1850,CNM,1850,CNM,ZSNB-ZBAA
CNM1877,CNM,1877,CNM,ZBAA-ZGZJ
CNM1878,CNM,1878,CNM,ZGZJ-ZBAA
CNM1891,CNM,1891,CNM,ZBAA-ZGBH
CNM1892,CNM,1892,CNM,ZGBH-ZBAA
CNM8103,CNM,8103,CNM,ZBHH-ZUGY
CNM8104,CNM,8104,CNM,ZUGY-ZBHH
CNM8105,CNM,8105,CNM,ZBHH-ZBCF
CNM8107,CNM,8107,CNM,ZBHH-ZBTL
CNM8108,CNM,8108,CNM,ZBTL-ZBHH
CNM8112,CNM,8112,CNM,ZUCK-ZBHH
CNM8114,CNM,8114,CNM,ZUCK-ZBHH
CNM8117,CNM,8117,CNM,ZBHH-ZBTL
CNM8118,CNM,8118,CNM,ZBTL-ZBHH
CNM8120,CNM,8120,CNM,ZBTL-ZBHH
CNM8121,CNM,8121,CNM,ZBHH-ZSPD
CNM8122,CNM,8122,CNM,ZSPD-ZBHH
CNM8123,CNM,8123,CNM,ZBHH-ZBTL
CNM8124,CNM,8124,CNM,ZBTL-ZBHH
CNM8127,CNM,8127,CNM,ZBHH-ZBTL
CNM8128,CNM,8128,CNM,ZBTL-ZBHH
CNM8131,CNM,8131,CNM,ZBHH-ZUTF
CNM8132,CNM,8132,CNM,ZUTF-ZBHH
CNM8133,CNM,8133,CNM,ZBHH-ZBTL
CNM8135,CNM,8135,CNM,ZBHH-ZUTF
CNM8136,CNM,8136,CNM,ZUTF-ZBHH
CNM8141,CNM,8141,CNM,ZBHH-ZUTF
CNM8142,CNM,8142,CNM,ZUTF-ZBHH
CNM8144,CNM,8144,CNM,ZUUU-ZBHH
CNM8147,CNM,8147,CNM,ZBHH-ZUUU
CNM8148,CNM,8148,CNM,ZUUU-ZBHH
CNM8295,CNM,8295,CNM,ZBHH-ZHCC-ZSAM
CNM8391,CNM,8391,CNM,ZBHH-ZBTL
CNM8392,CNM,8392,CNM,ZBTL-ZBHH
CNM8393,CNM,8393,CNM,ZBHH-ZBTL
CNM8394,CNM,8394,CNM,ZBTL-ZBHH
CNM8641,CNM,8641,CNM,ZBHH-ZBCF
CNM8654,CNM,8654,CNM,ZSYT-ZBAA
CNM8681,CNM,8681,CNM,ZBAA-ZUMY
