Callsign,Code,Number,AirlineCode,AirportCodes
CNW9614,CNW,9614,CNW,VTBS-ZHCC
CNW9617,CNW,9617,CNW,ZLXY-ZGGG
CNW9618,CNW,9618,CNW,ZGGG-ZLXY
CNW9621,CNW,9621,CNW,ZUUU-VTBS
CNW9622,CNW,9622,CNW,VTBS-ZUUU
CNW9629,CNW,9629,CNW,ZUUU-VGHS
CNW9630,CNW,9630,CNW,VGHS-ZUUU
CNW9635,CNW,9635,CNW,ZGGG-ZSHC
CNW9636,CNW,9636,CNW,ZSHC-ZGGG
CNW9639,CNW,9639,CNW,ZGGG-ZSWX
CNW9640,CNW,9640,CNW,ZSWX-ZGGG
CNW9643,CNW,9643,CNW,ZUUU-ZSHC
CNW9644,CNW,9644,CNW,ZSHC-ZUUU
CNW9649,CNW,9649,CNW,ZLXY-ZSHC
CNW9650,CNW,9650,CNW,ZSHC-ZLXY-ZLYL
