Callsign,Code,Number,AirlineCode,AirportCodes
COA1,COA,1,COA,KIAH-PHNL-PGUM
COA10,COA,10,COA,KIAH-LFPG
COA100,COA,100,COA,KEWR-EGCC
COA1000,COA,1000,COA,KFLL-KORD
COA1001,COA,1001,COA,PHTO-KLAX
COA1002,COA,1002,COA,KLAS-KIAH-KFLL
COA1003,COA,1003,COA,KCLE-KMCO
COA1004,COA,1004,COA,KIAH-KLGA
COA1005,COA,1005,COA,KEWR-KJAX
COA1006,COA,1006,COA,SKBO-KIAH-KORD
COA1007,COA,1007,COA,KLAX-KIAH-SKBO
COA1008,COA,1008,COA,SKBO-KIAH-KLAX
COA1009,COA,1009,COA,KORD-KIAH-SKBO
COA101,COA,101,COA,EGCC-KEWR
COA1010,COA,1010,COA,KIAH-KEWR
COA1011,COA,1011,COA,KEWR-KIAH
COA1012,COA,1012,COA,KIAH-KPDX-PANC
COA1014,COA,1014,COA,KDFW-KIAH
COA1015,COA,1015,COA,KEWR-MPTO
COA1016,COA,1016,COA,KRSW-KCLE
COA1017,COA,1017,COA,KPHX-KEWR
COA1018,COA,1018,COA,KRSW-KCLE
COA1019,COA,1019,COA,KTPA-KEWR
COA102,COA,102,COA,KEWR-EHAM
COA1020,COA,1020,COA,CYVR-KIAH-MMUN
COA1021,COA,1021,COA,KORD-KEWR-MPTO
COA1022,COA,1022,COA,MPTO-KEWR
COA1023,COA,1023,COA,MMPR-KIAH
COA1024,COA,1024,COA,KEWR-KPBI
COA1025,COA,1025,COA,MMMX-KIAH-KDCA
COA1026,COA,1026,COA,KEWR-MGGT
COA1027,COA,1027,COA,KDCA-KIAH-KCLE
COA1028,COA,1028,COA,KLGA-KIAH-KLAX
COA1029,COA,1029,COA,KDEN-KEWR
COA103,COA,103,COA,EHAM-KEWR
COA1030,COA,1030,COA,KCLE-KBOS
COA1031,COA,1031,COA,MPTO-KIAH-KDFW
COA1032,COA,1032,COA,KDFW-KIAH-MPTO
COA1033,COA,1033,COA,KLGA-KIAH
COA1034,COA,1034,COA,KSFO-KIAH-MPTO
COA1035,COA,1035,COA,KSEA-KIAH-SEQM
COA1036,COA,1036,COA,SEQM-KIAH-KDEN
COA1037,COA,1037,COA,KEWR-SPJC
COA1038,COA,1038,COA,SPJC-KEWR
COA1039,COA,1039,COA,MMLO-KLAX
COA104,COA,104,COA,KEWR-LGAV
COA1040,COA,1040,COA,KEWR-TNCA
COA1041,COA,1041,COA,KSAN-KIAH
COA1042,COA,1042,COA,KEWR-TNCA
COA1043,COA,1043,COA,MDPC-KEWR
COA1044,COA,1044,COA,KIAH-TNCA
COA1045,COA,1045,COA,KCLE-KIAH
COA1046,COA,1046,COA,KIAH-KORD
COA1047,COA,1047,COA,MMUN-KEWR
COA1048,COA,1048,COA,KEWR-MMUN
COA1049,COA,1049,COA,MMUN-KEWR
COA105,COA,105,COA,LGAV-KEWR
COA1050,COA,1050,COA,KEWR-MMUN
COA1051,COA,1051,COA,MMUN-KEWR
COA1052,COA,1052,COA,KEWR-MMUN
COA1053,COA,1053,COA,MMUN-KEWR
COA1054,COA,1054,COA,KEWR-KPBI
COA1055,COA,1055,COA,KEWR-KLAX
COA1056,COA,1056,COA,MMUN-KIAH-KBWI
COA1057,COA,1057,COA,KLGA-KCLE
COA1058,COA,1058,COA,KIAH-KDCA
COA1059,COA,1059,COA,KDCA-KIAH-KDFW
COA106,COA,106,COA,KIAH-KEWR-EDDM
COA1060,COA,1060,COA,KEWR-KCLE-KIAH
COA1061,COA,1061,COA,CYVR-KIAH-KTPA
COA1062,COA,1062,COA,KIAH-KBWI-KIAH
COA1063,COA,1063,COA,KBOS-KEWR-MMMX
COA1064,COA,1064,COA,MMMX-KEWR-CYYT
COA1065,COA,1065,COA,KBOS-KEWR-MMMX
COA1066,COA,1066,COA,MMMX-KEWR-KBOS
COA1067,COA,1067,COA,KSFO-KEWR
COA1068,COA,1068,COA,KIAH-KBWI-KIAH
COA1069,COA,1069,COA,SKBO-KEWR-KORD
COA107,COA,107,COA,EDDM-KEWR-KIAH
COA1070,COA,1070,COA,KORD-KEWR-SKBO
COA1071,COA,1071,COA,KFLL-KEWR
COA1072,COA,1072,COA,KORD-KEWR-KRSW
COA1073,COA,1073,COA,KMIA-KEWR
COA1074,COA,1074,COA,KIAH-KPDX
COA1075,COA,1075,COA,KFLL-KEWR
COA1076,COA,1076,COA,KEWR-KRSW
COA1077,COA,1077,COA,KPHL-KIAH-KMFE
COA1078,COA,1078,COA,KLGA-KIAH-KMSY
COA1079,COA,1079,COA,MROC-KEWR
COA108,COA,108,COA,KEWR-EGPH
COA1080,COA,1080,COA,KEWR-MWCR
COA1081,COA,1081,COA,MWCR-KEWR
COA1082,COA,1082,COA,KEWR-MROC
COA1083,COA,1083,COA,KBOS-KIAH
COA1084,COA,1084,COA,KSFO-KEWR
COA1085,COA,1085,COA,KIAH-KLGA
COA1086,COA,1086,COA,PHNL-KLAX
COA1087,COA,1087,COA,MMMX-KIAH-KBOS
COA1088,COA,1088,COA,KIAH-KDTW
COA1089,COA,1089,COA,KIAH-KSAN
COA109,COA,109,COA,EGPH-KEWR
COA1090,COA,1090,COA,KBOS-KIAH-MMMX
COA1092,COA,1092,COA,KMFE-KIAH-KCMH
COA1093,COA,1093,COA,KCMH-KIAH
COA1094,COA,1094,COA,KLAX-KIAH
COA1095,COA,1095,COA,KORD-KEWR-SPJC
COA1096,COA,1096,COA,KDFW-KIAH-MROC
COA1097,COA,1097,COA,MROC-KIAH-KLAX
COA1098,COA,1098,COA,KIAH-MROC
COA1099,COA,1099,COA,SPJC-KEWR-KORD
COA110,COA,110,COA,KCLE-KEWR-EGLL
COA1100,COA,1100,COA,KMIA-KEWR
COA1101,COA,1101,COA,KBOS-KEWR
COA1102,COA,1102,COA,KEWR-KORD
COA1103,COA,1103,COA,KORD-KSNA
COA1104,COA,1104,COA,KPBI-KEWR
COA1105,COA,1105,COA,KBOS-KEWR
COA1106,COA,1106,COA,KEWR-KSFO-KORD
COA1107,COA,1107,COA,KORD-KEWR
COA1108,COA,1108,COA,KPIT-KIAH
COA1109,COA,1109,COA,KEWR-KSEA-KORD
COA111,COA,111,COA,EGLL-KEWR-KCLE
