Callsign,Code,Number,AirlineCode,AirportCodes
CRL1,CRL,1,CRL,LFPO-LFPG
CRL10,CRL,10,CRL,FMMI-LFPO
CRL1159,CRL,1159,CRL,EKCH-HEGN
CRL174,CRL,174,CRL,FMEE-FMMI-LFPG
CRL175,CRL,175,CRL,FMMI-FMEE
CRL1911,CRL,1911,CRL,FMEE-LFPO
CRL1924,CRL,1924,CRL,LFPO-TFFF-TFFR-LFPO
CRL1925,CRL,1925,CRL,TFFF-LFPO
CRL1926,CRL,1926,CRL,LFBD-TFFR
CRL25,CRL,25,CRL,LFRS-LFPO
CRL27,CRL,27,CRL,TFFR-LFPO
CRL28,CRL,28,CRL,LFPO-TFFR
CRL3014,CRL,3014,CRL,LFPO-GMMX
CRL32,CRL,32,CRL,LFPO-LIMJ
CRL3208,CRL,3208,CRL,LFPO-DTTJ
CRL38,CRL,38,CRL,LFBD-MDPC
CRL40,CRL,40,CRL,LFPO-LEMD
CRL41,CRL,41,CRL,LFBD-LFPO
CRL42,CRL,42,CRL,LFPO-TFFR
CRL43,CRL,43,CRL,LFLL-LFPO
CRL44,CRL,44,CRL,LFPO-LFRS
CRL530,CRL,530,CRL,ESSA-VTSP
CRL530F,CRL,530F,CRL,EKCH-VTSP
CRL531,CRL,531,CRL,VTSP-ESSA
CRL532,CRL,532,CRL,ESSA-VTBS
CRL533,CRL,533,CRL,VTBS-ESSA
CRL533F,CRL,533F,CRL,ESSA-EKCH
CRL534,CRL,534,CRL,EKCH-VTSP
CRL535,CRL,535,CRL,VTSP-EKCH
CRL535F,CRL,535F,CRL,EKCH-ESSA
CRL536,CRL,536,CRL,ESSA-VTSP
CRL542,CRL,542,CRL,ESSA-EKCH-VTBS
CRL543,CRL,543,CRL,VTBS-ESSA-EKCH
CRL543F,CRL,543F,CRL,VTBS-EKCH
CRL62,CRL,62,CRL,MDPC-LFPO
CRL631,CRL,631,CRL,FMEE-LFML-LFLL
CRL632,CRL,632,CRL,LFLL-LFML-FMEE-FIMP
CRL633,CRL,633,CRL,FIMP-FMEE-LFML-LFLL
CRL636,CRL,636,CRL,LFLL-LFML-FMEE-FMCZ
CRL637,CRL,637,CRL,FMCZ-FMEE-LFML-LFLL
CRL7012,CRL,7012,CRL,LTBJ-LFLL
CRL702,CRL,702,CRL,LFPO-LLBG
CRL703,CRL,703,CRL,LLBG-LFPO
CRL7056,CRL,7056,CRL,LFSB-LTAI
CRL7057,CRL,7057,CRL,LTAI-LFSB
CRL710,CRL,710,CRL,LFPO-FMEE-FIMP
CRL711,CRL,711,CRL,FIMP-FMEE-LFPO
CRL7154,CRL,7154,CRL,LTBJ-LFPG
CRL7155,CRL,7155,CRL,LFQQ-DNAS
CRL7156,CRL,7156,CRL,LTBJ-LFQQ
CRL725,CRL,725,CRL,TFFF-LFRS
CRL7369,CRL,7369,CRL,LFLL-GVAC
CRL7370,CRL,7370,CRL,GVAC-LFLL
CRL74,CRL,74,CRL,LFPG-LFPO
CRL740,CRL,740,CRL,LFBD-TFFF
CRL741,CRL,741,CRL,TFFF-LFBD
CRL743,CRL,743,CRL,TFFR-LFLL-LFPO
CRL7435,CRL,7435,CRL,LFQQ-LTAI
CRL7436,CRL,7436,CRL,LTAI-LFQQ
CRL7437,CRL,7437,CRL,LFPO-LTBJ
CRL744,CRL,744,CRL,LFRS-TFFF
CRL745,CRL,745,CRL,TFFF-LFRS
CRL7476,CRL,7476,CRL,LTAI-LFPG
CRL752,CRL,752,CRL,LFPO-FIMP-FMEE
CRL7545,CRL,7545,CRL,LFQQ-DTTJ
CRL772,CRL,772,CRL,LFPO-FMEE-FMCZ
CRL773,CRL,773,CRL,FMCZ-FMEE-LFPO
CRL774,CRL,774,CRL,LFPO-FMEE-FMMI
CRL775,CRL,775,CRL,FMMI-FMEE-LFPO
CRL78,CRL,78,CRL,ELLX-LFRS
CRL784,CRL,784,CRL,FMMI-LFPO
CRL7842,CRL,7842,CRL,LTBJ-LFQQ
CRL79,CRL,79,CRL,LFRS-LFPO
CRL7901,CRL,7901,CRL,LFPG-DTTJ
CRL7902,CRL,7902,CRL,DTTJ-LFPG
CRL7916,CRL,7916,CRL,DTTJ-DTNH-LFQQ
CRL80,CRL,80,CRL,LFPO-EGFF
CRL800,CRL,800,CRL,KJFK-KBNA
CRL814,CRL,814,CRL,LCRA-EGCC
CRL82,CRL,82,CRL,LEZL-LFPO
CRL820,CRL,820,CRL,LFPO-LTFJ
CRL821,CRL,821,CRL,LFPO-EGFF
CRL822,CRL,822,CRL,LEMD-LTFJ
CRL823,CRL,823,CRL,LTFJ-LEMD
CRL824,CRL,824,CRL,LFPO-BIKF
CRL825,CRL,825,CRL,BIKF-LFPO
CRL826,CRL,826,CRL,LFPO-LEZL
CRL827,CRL,827,CRL,TFFR-LFPO
CRL828,CRL,828,CRL,LFPO-HELX
CRL829,CRL,829,CRL,HELX-LFPO
CRL830,CRL,830,CRL,LFPO-HELX
CRL831,CRL,831,CRL,HELX-LFPO
CRL833,CRL,833,CRL,LIMJ-MMUN
CRL834,CRL,834,CRL,MRLB-LFPO
CRL836,CRL,836,CRL,LFPO-LGRP
CRL837,CRL,837,CRL,LGRP-LFPO
CRL840,CRL,840,CRL,LEMD-EDDH
CRL841,CRL,841,CRL,EDDH-LEMD
CRL848,CRL,848,CRL,LROP-LEBB
CRL849,CRL,849,CRL,LROP-LEBB
CRL853,CRL,853,CRL,LROP-LEBB
CRL854,CRL,854,CRL,LROP-LEBB
CRL860,CRL,860,CRL,LFPO-TNCM-TFFR-LFPO
CRL862,CRL,862,CRL,LFPO-TNCM-MDPC-LFPO
CRL863,CRL,863,CRL,LFPO-MUHA-MMUN-LFPO
CRL864,CRL,864,CRL,LFPO-TFFR-TFFF-LFPO
CRL866,CRL,866,CRL,LFPO-TFFR-TFFF-LFPO
CRL868,CRL,868,CRL,LFPO-TNCM-TFFF-LFPO
CRL869,CRL,869,CRL,LFLL-TFFF-TFFR-LFLL
CRL870,CRL,870,CRL,LFPO-DBBB-GABS-LFPO
CRL872,CRL,872,CRL,LFPO-GABS-DBBB-LFPO
CRL874,CRL,874,CRL,LFPO-FMCZ-FMMI-LFPO
CRL878,CRL,878,CRL,LFRS-FIMP-FMEE-LFRS
CRL880,CRL,880,CRL,FMEE-LFLL-LFBO-FMEE
CRL881,CRL,881,CRL,LFPO-CYQB-CYHZ-LFPO
CRL882,CRL,882,CRL,FMEE-LFML-LFLL-FMEE
CRL884,CRL,884,CRL,LFPO-GABS-DIAP-LFPO
CRL885,CRL,885,CRL,LFPO-CYUL-CYQB-LFPO
CRL888,CRL,888,CRL,FMEE-LFML-LFBO-FMEE
CRL898,CRL,898,CRL,LFRS-TFFF-MDPC-LFRS
CRL899,CRL,899,CRL,HKJK-LFPO
CRL90,CRL,90,CRL,LFPO-LFBT
CRL900,CRL,900,CRL,LFPO-CYUL
CRL901,CRL,901,CRL,CYUL-LFPO
CRL901A,CRL,901A,CRL,CYUL-LFPO
CRL902,CRL,902,CRL,LFPO-FMEE-FIMP
CRL903,CRL,903,CRL,FIMP-FMEE-LFPO
CRL904,CRL,904,CRL,LFPO-FMEE
CRL905,CRL,905,CRL,FMEE-LFPO
CRL906,CRL,906,CRL,LFPO-FMEE
CRL907,CRL,907,CRL,FMEE-LFPO
CRL91,CRL,91,CRL,LFPG-LFPO
CRL910,CRL,910,CRL,LFPO-FMEE
CRL910A,CRL,910A,CRL,LFPO-FMEE
CRL911,CRL,911,CRL,FMEE-LFPO
CRL911A,CRL,911A,CRL,FMEE-LFPO
CRL918,CRL,918,CRL,LFPO-KMIA
CRL919,CRL,919,CRL,KMIA-LFPO
CRL924,CRL,924,CRL,LFPO-TFFF
CRL925,CRL,925,CRL,TFFF-LFPO
CRL925A,CRL,925A,CRL,TFFF-LFPO
CRL926,CRL,926,CRL,LFPO-TFFR
CRL927,CRL,927,CRL,TFFR-LFPO
CRL927A,CRL,927A,CRL,TFFR-LFPO
CRL928,CRL,928,CRL,LFPO-TFFR
CRL929,CRL,929,CRL,TFFR-LFPO
CRL938,CRL,938,CRL,LFPO-MDPC
CRL939,CRL,939,CRL,MDPC-LFPO
CRL940,CRL,940,CRL,LFPO-TFFF
CRL941,CRL,941,CRL,TFFF-LFPO
CRL942,CRL,942,CRL,LFPO-TFFR
CRL943,CRL,943,CRL,TFFR-LFPO
CRL945,CRL,945,CRL,KMIA-LFPO
CRL948,CRL,948,CRL,LFPO-TFFF
CRL949,CRL,949,CRL,TFFF-LFPO
CRL952,CRL,952,CRL,LFPO-FIMP
CRL953,CRL,953,CRL,FIMP-LFPO
CRL954,CRL,954,CRL,LFPO-FIMP-FMEE
CRL956,CRL,956,CRL,VTBS-EKCH-ESSA
CRL957,CRL,957,CRL,FIMP-LFML-LFPO
CRL958,CRL,958,CRL,LFPO-FIMP
CRL959,CRL,959,CRL,FIMP-LFPO
CRL960,CRL,960,CRL,LFPO-MUHA
CRL961,CRL,961,CRL,MUHA-LFPO
CRL962,CRL,962,CRL,LFPO-LFRS-TFFF
CRL963,CRL,963,CRL,TFFF-LFRS-LFPO
CRL966,CRL,966,CRL,LFPO-LFRS-TFFR
CRL967,CRL,967,CRL,TFFR-LFRS-LFPO
CRL970,CRL,970,CRL,LFPO-DBBB
CRL972,CRL,972,CRL,LFPO-MMUN
CRL973,CRL,973,CRL,MMUN-LFPO
CRL974,CRL,974,CRL,LFPO-FMMI
CRL975,CRL,975,CRL,FMMI-LFPO
CRL976,CRL,976,CRL,LFPO-LFLL-FMEE
CRL977,CRL,977,CRL,FMEE-LFLL-LFPO
