Callsign,Code,Number,AirlineCode,AirportCodes
CSC3051,CSC,3051,CSC,ZGGG-ZULZ
CSC3052,CSC,3052,CSC,ZULZ-ZGGG
CSC3053,CSC,3053,CSC,ZGGG-ZUYB
CSC3054,CSC,3054,CSC,ZUYB-ZGGG
CSC3057,CSC,3057,CSC,ZGGG-ZUXC
CSC3058,CSC,3058,CSC,ZUXC-ZGGG
CSC3062,CSC,3062,CSC,ZULZ-ZGGG
CSC3102,CSC,3102,CSC,ZUXC-ZBAA
CSC3109,CSC,3109,CSC,ZBAA-ZSWY
CSC3113,CSC,3113,CSC,ZBAA-ZJSY
CSC3155,CSC,3155,CSC,ZSHC-ZGGG
CSC3164,CSC,3164,CSC,ZUDC-ZUCK-ZSHC
CSC3167,CSC,3167,CSC,ZSHC-ZPZT
CSC3168,CSC,3168,CSC,ZPZT-ZSHC
CSC3171,CSC,3171,CSC,ZSHC-ZUMY-ZWWW
CSC3172,CSC,3172,CSC,ZWWW-ZUMY-ZSHC
CSC3173,CSC,3173,CSC,ZSHC-ZULZ-ZPLJ
CSC3174,CSC,3174,CSC,ZPLJ-ZULZ-ZSHC
CSC3175,CSC,3175,CSC,ZSHC-ZUYB
CSC3176,CSC,3176,CSC,ZUYB-ZSHC
CSC3177,CSC,3177,CSC,ZSHC-ZUJZ
CSC3178,CSC,3178,CSC,ZUJZ-ZSHC
CSC3179,CSC,3179,CSC,ZSHC-ZUCK-ZULS
CSC3180,CSC,3180,CSC,ZULS-ZUCK-ZSHC
CSC3183,CSC,3183,CSC,ZSHC-ZGNN
CSC3184,CSC,3184,CSC,ZGNN-ZSHC
CSC3185,CSC,3185,CSC,ZSHC-ZLLL-ZLJQ
CSC3186,CSC,3186,CSC,ZLJQ-ZLLL-ZSHC
CSC3187,CSC,3187,CSC,ZSHC-ZLLL-ZLDH
CSC3188,CSC,3188,CSC,ZLDH-ZLLL-ZSHC
CSC3191,CSC,3191,CSC,ZSHC-ZUGY-ZPJH
CSC3192,CSC,3192,CSC,ZPJH-ZUGY-ZSHC
CSC3195,CSC,3195,CSC,ZSHC-ZUCK-ZLXN
CSC3196,CSC,3196,CSC,ZLXN-ZUCK-ZSHC
CSC3201,CSC,3201,CSC,ZJSY-ZSNB
CSC3202,CSC,3202,CSC,ZSNB-ZJSY
CSC3205,CSC,3205,CSC,ZJSY-ZSYT-ZYCC
CSC3206,CSC,3206,CSC,ZYCC-ZSYT-ZJSY
CSC3208,CSC,3208,CSC,ZLXN-ZUMY-ZJSY
CSC3216,CSC,3216,CSC,ZLIC-ZULZ-ZJSY
CSC3218,CSC,3218,CSC,ZLXN-ZULZ-ZJSY
CSC3224,CSC,3224,CSC,ZSWY-ZJSY
CSC3230,CSC,3230,CSC,ZLIC-ZGKL-ZJSY
CSC3235,CSC,3235,CSC,ZSWZ-ZYHB
CSC3236,CSC,3236,CSC,ZYHB-ZSWZ-ZJSY
CSC3258,CSC,3258,CSC,ZSCN-ZLXY
CSC3275,CSC,3275,CSC,ZLXY-ZSNB
CSC3276,CSC,3276,CSC,ZSNB-ZLXY
CSC3307,CSC,3307,CSC,ZYHB-ZSWZ-ZJHK
CSC3308,CSC,3308,CSC,ZJHK-ZSWZ-ZYHB
CSC3312,CSC,3312,CSC,ZSPD-ZYHB
CSC3316,CSC,3316,CSC,ZJHK-ZBTJ-ZYHB
CSC3321,CSC,3321,CSC,ZYHB-ZSCG-ZJHK
CSC3322,CSC,3322,CSC,ZJHK-ZSCG-ZYHB
CSC3351,CSC,3351,CSC,ZBTJ-ZLLL
CSC3352,CSC,3352,CSC,ZLLL-ZBTJ
CSC3357,CSC,3357,CSC,ZBTJ-ZSNB
CSC3358,CSC,3358,CSC,ZSNB-ZBTJ
CSC3401,CSC,3401,CSC,ZUXC-ZHCC
CSC3408,CSC,3408,CSC,ZLIC-ZUXC
CSC3409,CSC,3409,CSC,ZUXC-ZSNJ
CSC3410,CSC,3410,CSC,ZSNJ-ZUXC
CSC3412,CSC,3412,CSC,ZGHA-ZUXC
CSC3413,CSC,3413,CSC,ZUXC-ZULZ-ZSNB
CSC3414,CSC,3414,CSC,ZSNB-ZULZ-ZUXC
CSC3417,CSC,3417,CSC,ZUXC-ZUMY
CSC3418,CSC,3418,CSC,ZUMY-ZUXC
CSC3423,CSC,3423,CSC,ZUXC-ZHHH
CSC3424,CSC,3424,CSC,ZHHH-ZUXC
CSC3429,CSC,3429,CSC,ZUXC-ZGHA-ZSWZ
CSC3430,CSC,3430,CSC,ZSWZ-ZGHA-ZUXC
CSC3439,CSC,3439,CSC,ZUXC-ZUMY-ZSNJ
CSC3440,CSC,3440,CSC,ZSNJ-ZUMY-ZUXC
CSC3452,CSC,3452,CSC,ZGOW-ZUNC-ZWWW
CSC3458,CSC,3458,CSC,ZGNN-ZULZ-ZWWW
CSC3464,CSC,3464,CSC,ZSQZ-ZULZ-ZWWW
CSC3504,CSC,3504,CSC,ZSYA-ZUCK-ZPJH
CSC3511,CSC,3511,CSC,ZPJH-ZSNB
CSC3512,CSC,3512,CSC,ZSNB-ZPJH
CSC3535,CSC,3535,CSC,ZUYB-ZSPD
CSC3536,CSC,3536,CSC,ZSPD-ZUYB
CSC3537,CSC,3537,CSC,ZUYB-ZSWZ
CSC3538,CSC,3538,CSC,ZSWZ-ZUYB
