Callsign,Code,Number,AirlineCode,AirportCodes
CSJ1004,CSJ,1004,CSJ,KCAK-KSUS-KCAK
CSJ1297,CSJ,1297,CSJ,KMYR-KCAE
CSJ1400,CSJ,1400,CSJ,KDEN-KDRO-KDEN
CSJ27,CSJ,27,CSJ,CYMX-KPBG-KCAK
CSJ318,CSJ,318,CSJ,KCAK-KDPA-CYHM-KCAK
CSJ319,CSJ,319,CSJ,KCAK-KDPA-CYHM-KCAK
CSJ320,CSJ,320,CSJ,KCAK-KDPA-CYHM-KCAK
CSJ672,CSJ,672,CSJ,KCAK-CYHM-KCAK
CSJ673,CSJ,673,CSJ,KCAK-CYHM-KCAK
CSJ724,CSJ,724,CSJ,CYHM-CYMX-KPBG-KCAK
CSJ725,CSJ,725,CSJ,KCAK-KIND-CYHM-KCAK
CSJ726,CSJ,726,CSJ,KCAK-KIND-CYHM-KCAK
CSJ727,CSJ,727,CSJ,KCAK-KIND-CYHM
CSJ728,CSJ,728,CSJ,KCAK-KIND-CYHM-KCAK
CSJ915,CSJ,915,CSJ,KCAK-KCVG-KCAK-CYHM-KCAK
