Callsign,Code,Number,AirlineCode,AirportCodes
CSW100,CSW,100,CSW,LSZH-LEPA
CSW101,CSW,101,CSW,LEPA-LSZH
CSW106,CSW,106,CSW,LSZH-LEIB
CSW107,CSW,107,CSW,LEIB-LSZH
CSW110,CSW,110,CSW,LSZH-GCLP
CSW111,CSW,111,CSW,GCLP-LSZH
CSW112,CSW,112,CSW,LSZH-GCTS
CSW113,CSW,113,CSW,GCTS-LSZH
CSW114,CSW,114,CSW,LSZH-GCFV
CSW115,CSW,115,CSW,GCFV-LSZH
CSW1426,CSW,1426,CSW,LSZH-GMAD
CSW1495,CSW,1495,CSW,LEJR-LSZH
CSW1631,CSW,1631,CSW,LWSK-LSZH
CSW1EP,CSW,1EP,CSW,LSZH-LEPA
CSW1PM,CSW,1PM,CSW,LEPA-LSZH
CSW1PR,CSW,1PR,CSW,BKPR-LSZH
CSW2548,CSW,2548,CSW,LSZH-LEPA
CSW2620,CSW,2620,CSW,BKPR-EDDS
CSW2621,CSW,2621,CSW,EDDS-BKPR
CSW2KP,CSW,2KP,CSW,LSZH-BKPR
CSW3018,CSW,3018,CSW,LSZH-LWSK
CSW3019,CSW,3019,CSW,LWSK-LSZH
CSW3022,CSW,3022,CSW,LSZH-HEGN
CSW3023,CSW,3023,CSW,HEGN-LSZH
CSW3146,CSW,3146,CSW,LSZH-LTAI
CSW3147,CSW,3147,CSW,LTAI-LSZH
CSW3225,CSW,3225,CSW,BKPR-LSZH
CSW323,CSW,323,CSW,LFLL-LSZH
CSW3232,CSW,3232,CSW,LSZB-ESMX
CSW3368,CSW,3368,CSW,LSZH-LEPA
CSW3402,CSW,3402,CSW,LSZH-OLBA
CSW3403,CSW,3403,CSW,OLBA-LSZH
CSW3404,CSW,3404,CSW,LSZH-LEPA
CSW3405,CSW,3405,CSW,LEPA-LSZH
CSW3412,CSW,3412,CSW,LSZH-HESH
CSW3413,CSW,3413,CSW,HESH-LSZH
CSW3444,CSW,3444,CSW,LSZH-LCLK
CSW3502,CSW,3502,CSW,LSZH-LGIR
CSW3503,CSW,3503,CSW,LGIR-LSZH
CSW3504,CSW,3504,CSW,LSZH-LGKO
CSW3505,CSW,3505,CSW,LGKO-LSZH
CSW3506,CSW,3506,CSW,LSZH-HEGN
CSW3507,CSW,3507,CSW,HEGN-LSZH
CSW3512,CSW,3512,CSW,LSZH-LCLK
CSW3513,CSW,3513,CSW,LCLK-LSZH
CSW3658,CSW,3658,CSW,LSZH-GCLA
CSW3822,CSW,3822,CSW,LSZH-HEGN
CSW3PR,CSW,3PR,CSW,BKPR-LSZH
CSW444,CSW,444,CSW,LSZH-HEGN
CSW445,CSW,445,CSW,HEGN-LSZH
CSW446,CSW,446,CSW,LSZH-HEMA
CSW447,CSW,447,CSW,HEMA-LSZH
CSW4935,CSW,4935,CSW,LPMA-LSZH
CSW4937,CSW,4937,CSW,GCLP-LSZH
CSW4943,CSW,4943,CSW,LGRP-LSZH
CSW4951,CSW,4951,CSW,LEIB-LSZH
CSW600,CSW,600,CSW,LSZH-BKPR
CSW601,CSW,601,CSW,BKPR-LSZH
CSW602,CSW,602,CSW,LSZH-BKPR
CSW6028,CSW,6028,CSW,LSZH-LWSK
CSW6029,CSW,6029,CSW,LWSK-LSZH
CSW603,CSW,603,CSW,BKPR-LSZH
CSW6032,CSW,6032,CSW,LSZH-BKPR
CSW6033,CSW,6033,CSW,BKPR-LSZH
CSW6035,CSW,6035,CSW,BKPR-LSZH
CSW6036,CSW,6036,CSW,LSZH-BKPR
CSW6037,CSW,6037,CSW,BKPR-LSZH
CSW604,CSW,604,CSW,LSZH-BKPR
CSW6040,CSW,6040,CSW,LSZH-LWOH
CSW6041,CSW,6041,CSW,LWOH-LSZH
