Callsign,Code,Number,AirlineCode,AirportCodes
CUH2503,CUH,2503,CUH,ZWWW-ZHCC
CUH2513,CUH,2513,CUH,ZWWW-ZUMY-ZJHK
CUH2514,CUH,2514,CUH,ZJHK-ZUMY-ZWWW
CUH2515,CUH,2515,CUH,ZWWW-ZUUU
CUH2516,CUH,2516,CUH,ZUUU-ZWWW
CUH2519,CUH,2519,CUH,ZWWW-ZLLL-ZGHA
CUH251Q,CUH,251Q,CUH,ZWWW-ZGHA
CUH2520,CUH,2520,CUH,ZGHA-ZLLL-ZWWW
CUH2521,CUH,2521,CUH,ZWWW-ZLLL-ZSOF
CUH2526,CUH,2526,CUH,ZUUU-ZWWW
CUH2527,CUH,2527,CUH,ZWWW-ZHXF-ZSFZ
CUH2528,CUH,2528,CUH,ZSFZ-ZHXF-ZWWW
CUH2529,CUH,2529,CUH,ZWWW-ZUCK
CUH2530,CUH,2530,CUH,ZUCK-ZWWW
CUH2533,CUH,2533,CUH,ZWWW-ZLLL-ZSNJ
CUH2535,CUH,2535,CUH,ZWWW-ZLLL-ZSLG
CUH2539,CUH,2539,CUH,ZWWW-ZUWX-ZSWZ
CUH2540,CUH,2540,CUH,ZSWZ-ZUWX-ZWWW
CUH2541,CUH,2541,CUH,ZWWW-ZUNC-ZSNJ
CUH2542,CUH,2542,CUH,ZSNJ-ZUNC-ZWWW
CUH2545,CUH,2545,CUH,ZWSH-ZLLL-ZHCC
CUH2546,CUH,2546,CUH,ZHCC-ZLLL-ZWSH
CUH2552,CUH,2552,CUH,ZGOW-ZHCC-ZWWW
CUH2553,CUH,2553,CUH,ZWWW-ZUNC-ZSWZ
CUH2554,CUH,2554,CUH,ZSWZ-ZUNC-ZWWW
CUH2555,CUH,2555,CUH,ZWWW-ZLYA-ZUUU
CUH2556,CUH,2556,CUH,ZUUU-ZLYA-ZWWW
CUH2557,CUH,2557,CUH,ZWWW-ZSJN-ZSWZ
CUH2558,CUH,2558,CUH,ZSWZ-ZSJN-ZWWW
CUH2560,CUH,2560,CUH,ZGSD-ZHCC-ZWWW
CUH2564,CUH,2564,CUH,ZJQH-ZLLL
CUH2565,CUH,2565,CUH,ZWWW-ZHHH-ZGOW
CUH2566,CUH,2566,CUH,ZGOW-ZHHH-ZWWW
CUH2567,CUH,2567,CUH,ZWWW-ZHCC-ZJQH
CUH2568,CUH,2568,CUH,ZJQH-ZHCC-ZWWW
CUH2576,CUH,2576,CUH,ZPPP-ZLHZ-ZWWW
CUH2580,CUH,2580,CUH,ZYQQ-ZSJN-ZWWW
CUH2589,CUH,2589,CUH,ZWWW-ZLQY-ZSNJ
CUH2590,CUH,2590,CUH,ZSNJ-ZLQY-ZWWW
CUH2593,CUH,2593,CUH,ZWWW-ZLLN-ZSHC
CUH2594,CUH,2594,CUH,ZSHC-ZLLN-ZWWW
CUH2595,CUH,2595,CUH,ZWWW-ZLLN-ZSNJ
CUH2596,CUH,2596,CUH,ZSNJ-ZLLN-ZWWW
CUH2598,CUH,2598,CUH,ZGKL-ZSJN-ZWWW
CUH2599,CUH,2599,CUH,ZWYT-ZWWW-ZSPD
CUH2600,CUH,2600,CUH,ZSPD-ZWWW-ZWYT
CUH2610,CUH,2610,CUH,ZUMY-ZJQH
CUH2615,CUH,2615,CUH,ZWYT-ZWWW-ZGSZ
CUH2616,CUH,2616,CUH,ZGSZ-ZWWW
CUH2617,CUH,2617,CUH,ZWTN-ZWWW-ZGSZ
CUH3503,CUH,3503,CUH,ZSWZ-ZHHH-ZGSD
CUH3504,CUH,3504,CUH,ZGSD-ZHHH-ZSWZ
CUH3516,CUH,3516,CUH,ZUCK-ZHCC
CUH3530,CUH,3530,CUH,ZGSD-ZHCC
CUH3533,CUH,3533,CUH,ZHCC-ZSWZ
CUH3534,CUH,3534,CUH,ZSWZ-ZHCC
CUH3537,CUH,3537,CUH,ZHHH-ZSWZ
CUH3538,CUH,3538,CUH,ZSWZ-ZHHH
CUH3565,CUH,3565,CUH,ZLLL-ZSHC
CUH3596,CUH,3596,CUH,ZYTL-ZHCC-ZJQH
CUH3611,CUH,3611,CUH,ZWWW-ZLHZ-ZSHC
CUH3612,CUH,3612,CUH,ZSHC-ZLHZ-ZWWW
