Callsign,Code,Number,AirlineCode,AirportCodes
CXA381,CXA,381,CXA,ZSAM-VHHH
CXA382,CXA,382,CXA,VHHH-ZSAM
CXA8001,CXA,8001,CXA,ZSAM-EHAM-SAEZ
CXA8002,CXA,8002,CXA,WBKK-ZSFZ-ZBAA
CXA8003,CXA,8003,CXA,ZSAM-RPVM
CXA8004,CXA,8004,CXA,RPVM-ZSAM
CXA8005,CXA,8005,CXA,ZSAM-VVTS
CXA8007,CXA,8007,CXA,ZSWY-VHHH
CXA8008,CXA,8008,CXA,VHHH-ZSWY
CXA801,CXA,801,CXA,ZSAM-YSSY
CXA8011,CXA,8011,CXA,ZSHC-VHHH
CXA8012,CXA,8012,CXA,VHHH-ZSHC
CXA8013,CXA,8013,CXA,ZSAM-ZYCC
CXA8014,CXA,8014,CXA,RPVM-ZSFZ
CXA8017,CXA,8017,CXA,ZSQZ-VHHH
CXA8018,CXA,8018,CXA,VHHH-ZSQZ
CXA802,CXA,802,CXA,YSSY-ZSAM
CXA8021,CXA,8021,CXA,ZYHB-ZSHC-ZUMT
CXA8022,CXA,8022,CXA,ZUMT-ZSHC-ZYHB
CXA8023,CXA,8023,CXA,ZGHA-ZBTJ-ZYHB
CXA8024,CXA,8024,CXA,ZYHB-ZSQD-ZGHA
CXA8025,CXA,8025,CXA,ZGHA-ZSHC-ZYTX
CXA8026,CXA,8026,CXA,ZYTX-ZSHC-ZGHA
CXA8027,CXA,8027,CXA,ZUCK-ZBTJ-ZYHB
CXA8028,CXA,8028,CXA,ZYHB-ZBTJ-ZUCK
CXA8029,CXA,8029,CXA,ZGSZ-ZSLG-ZYTX
CXA803,CXA,803,CXA,ZSAM-YMML
CXA8030,CXA,8030,CXA,ZYTX-ZSLG-ZGSZ
CXA8031,CXA,8031,CXA,ZSAM-ZYTX
CXA8032,CXA,8032,CXA,ZYTX-ZSAM
CXA8033,CXA,8033,CXA,ZSFZ-ZBTJ-ZYCC
CXA8034,CXA,8034,CXA,ZYCC-ZBTJ-ZSFZ
CXA8035,CXA,8035,CXA,ZSAM-ZSNB-ZYTL
CXA8036,CXA,8036,CXA,ZYTL-ZSNB-ZSAM
CXA8037,CXA,8037,CXA,ZSHC-ZYHB
CXA8038,CXA,8038,CXA,ZYHB-ZSHC
CXA8039,CXA,8039,CXA,ZGHA-ZSNJ-ZYHB
CXA804,CXA,804,CXA,YMML-ZSAM
CXA8040,CXA,8040,CXA,ZYHB-ZSNJ-ZGHA
CXA8041,CXA,8041,CXA,ZSFZ-ZSJN-ZYCC
CXA8042,CXA,8042,CXA,ZYTL-ZSJN-ZSFZ
CXA8043,CXA,8043,CXA,ZGSZ-ZSHC-ZYCC
CXA8044,CXA,8044,CXA,ZYCC-ZSHC-ZGSZ
CXA8045,CXA,8045,CXA,ZSQZ-ZHCC-ZYTL
CXA8046,CXA,8046,CXA,ZYTL-ZHCC-ZSQZ
CXA8047,CXA,8047,CXA,ZSHC-ZSQD-ZYHB
CXA8048,CXA,8048,CXA,ZYHB-ZSQD-ZSHC
CXA8049,CXA,8049,CXA,ZSAM-ZSQD-ZYCC
CXA805,CXA,805,CXA,ZSAM-CYVR
CXA8050,CXA,8050,CXA,ZYCC-ZSQD-ZSAM
CXA8051,CXA,8051,CXA,ZSAM-ZSLG-ZYHB
CXA8052,CXA,8052,CXA,ZYHB-ZSLG-ZSAM
CXA8053,CXA,8053,CXA,ZSFZ-ZSHC-ZYCC
CXA8054,CXA,8054,CXA,ZYCC-ZSLG-ZGHA
CXA8055,CXA,8055,CXA,ZSFZ-ZHCC-ZYHB
CXA8056,CXA,8056,CXA,ZYHB-ZHCC-ZSFZ
CXA8057,CXA,8057,CXA,ZSFZ-ZSNJ-ZYTX
CXA8058,CXA,8058,CXA,ZYTX-ZSNJ-ZSFZ
CXA8059,CXA,8059,CXA,ZSQZ-ZSHC-ZYTX
CXA806,CXA,806,CXA,CYVR-ZSAM
CXA8060,CXA,8060,CXA,ZYTX-ZSHC-ZSQZ
CXA8061,CXA,8061,CXA,ZSAM-ZSHC-ZYTX
CXA8062,CXA,8062,CXA,ZYTL-ZSHC-ZGSZ
CXA8063,CXA,8063,CXA,ZSAM-ZSHC-ZYCC
CXA8064,CXA,8064,CXA,ZYCC-ZSHC-ZSAM
CXA8065,CXA,8065,CXA,ZSQZ-ZSQD-ZYCC
CXA8066,CXA,8066,CXA,ZYCC-ZSQD-ZSQZ
CXA8067,CXA,8067,CXA,ZGSZ-ZSFZ-ZYHB
CXA8068,CXA,8068,CXA,ZYHB-ZSFZ-ZGSZ
CXA8069,CXA,8069,CXA,ZSAM-ZSNJ-ZYTX
CXA807,CXA,807,CXA,ZSFZ-YSSY
CXA8070,CXA,8070,CXA,ZYTX-ZSAM
CXA8071,CXA,8071,CXA,ZSFZ-ZSQD-ZYHB
CXA8072,CXA,8072,CXA,ZYHB-ZSQD-ZSFZ
CXA8073,CXA,8073,CXA,ZSHC-ZYCC
CXA8074,CXA,8074,CXA,ZYTL-ZSNJ-ZGHA
CXA8075,CXA,8075,CXA,ZSAM-ZSNB-ZYCC
CXA8076,CXA,8076,CXA,ZYCC-ZSNB-ZSAM
CXA8077,CXA,8077,CXA,ZGSZ-ZSFZ-ZYTX
CXA8078,CXA,8078,CXA,ZYTX-ZSFZ-ZGSZ
CXA8079,CXA,8079,CXA,ZSAM-ZSHC-ZYTL
CXA808,CXA,808,CXA,YSSY-ZSFZ
CXA8080,CXA,8080,CXA,ZYTL-ZSHC-ZSAM
CXA8081,CXA,8081,CXA,ZSAM-ZSQD-ZYMD
CXA8082,CXA,8082,CXA,ZYMD-ZSQD-ZSAM
CXA8083,CXA,8083,CXA,ZSFZ-ZSLG-ZYHB
CXA8084,CXA,8084,CXA,ZYHB-ZSLG-ZSFZ
CXA8085,CXA,8085,CXA,ZSAM-ZSSH-ZYTL
CXA8086,CXA,8086,CXA,ZYTL-ZSSH-ZSAM
CXA8087,CXA,8087,CXA,ZSHC-ZYTX
CXA8088,CXA,8088,CXA,ZYTX-ZSHC
CXA8089,CXA,8089,CXA,ZSHC-ZYCC
CXA809,CXA,809,CXA,ZSFZ-RJAA
CXA8091,CXA,8091,CXA,ZGHA-ZYTL
CXA8092,CXA,8092,CXA,ZYTL-ZGHA
CXA8093,CXA,8093,CXA,ZSAM-ZSYN-ZYHB
CXA8094,CXA,8094,CXA,ZYHB-ZSYN-ZSAM
CXA8095,CXA,8095,CXA,ZSPD-ZYTX
CXA8096,CXA,8096,CXA,ZYTX-ZSPD
CXA8097,CXA,8097,CXA,ZSQZ-ZSQD-ZYHB
CXA8098,CXA,8098,CXA,ZYHB-ZSNJ-ZSQZ
CXA8099,CXA,8099,CXA,ZSAM-ZGSZ
CXA810,CXA,810,CXA,RJAA-ZSFZ
CXA8101,CXA,8101,CXA,ZSAM-ZBAD
CXA8102,CXA,8102,CXA,ZBAD-ZSAM
CXA8103,CXA,8103,CXA,ZSAM-ZBAA
CXA8104,CXA,8104,CXA,ZBAA-ZSQZ
CXA8105,CXA,8105,CXA,ZSAM-ZBAD
CXA8106,CXA,8106,CXA,ZBAD-ZSAM
CXA8107,CXA,8107,CXA,ZSFZ-ZBAD
CXA8108,CXA,8108,CXA,ZBAD-ZSFZ
CXA8109,CXA,8109,CXA,ZSFZ-ZBAA
