Callsign,Code,Number,AirlineCode,AirportCodes
CYP101,CYP,101,CYP,LIML-LIRN
CYP1011,CYP,1011,CYP,LCLK-ULLI
CYP1012,CYP,1012,CYP,ULLI-LCLK
CYP106,CYP,106,CYP,LCLK-OMDB
CYP107,CYP,107,CYP,OMDB-LCLK
CYP110,CYP,110,CYP,LCLK-LLBG
CYP111,CYP,111,CYP,LLBG-LCLK
CYP1111,CYP,1111,CYP,LLBG-LCLK
CYP1113,CYP,1113,CYP,LLBG-LCLK
CYP112,CYP,112,CYP,LCLK-LLBG
CYP113,CYP,113,CYP,LLBG-LCLK
CYP11B,CYP,11B,CYP,LCLK-LLBG
CYP120,CYP,120,CYP,LCLK-OLBA
CYP121,CYP,121,CYP,OLBA-LCLK
CYP122,CYP,122,CYP,LCLK-OLBA
CYP123,CYP,123,CYP,OLBA-LCLK
CYP1251,CYP,1251,CYP,LZIB-LCLK
CYP1253,CYP,1253,CYP,LZKZ-LCLK
CYP1276,CYP,1276,CYP,LCLK-LRCV
CYP12L,CYP,12L,CYP,LCLK-OLBA
CYP131,CYP,131,CYP,HECA-LCLK
CYP1327,CYP,1327,CYP,EGLL-LCLK
CYP1332,CYP,1332,CYP,LCLK-EGLL
CYP1333,CYP,1333,CYP,EGLL-LCLK
CYP1344,CYP,1344,CYP,LCLK-LIME
CYP1345,CYP,1345,CYP,LIME-LCLK
CYP1346,CYP,1346,CYP,LCLK-EGSS
CYP1347,CYP,1347,CYP,EGLL-LCLK
CYP1352,CYP,1352,CYP,LCLK-LSZH
CYP1353,CYP,1353,CYP,LSZH-LCLK
CYP1358,CYP,1358,CYP,LCLK-EGCC
CYP1359,CYP,1359,CYP,EGCC-LCLK
CYP1362,CYP,1362,CYP,LGRP-LFQQ
CYP1363,CYP,1363,CYP,LFQQ-LGRP
CYP1386,CYP,1386,CYP,LCLK-LFPG
CYP1387,CYP,1387,CYP,LFPG-LCLK
CYP13C,CYP,13C,CYP,LCLK-HECA
CYP1418,CYP,1418,CYP,LCLK-LFPG
CYP1419,CYP,1419,CYP,LFPG-LCLK
CYP1438,CYP,1438,CYP,LGIR-LFQQ
CYP1439,CYP,1439,CYP,LFQQ-LGIR
CYP1452,CYP,1452,CYP,LCLK-LGTS
CYP1453,CYP,1453,CYP,LGTS-LCLK
CYP1488,CYP,1488,CYP,LCLK-LFPG
CYP1489,CYP,1489,CYP,LFPG-LCLK
CYP251,CYP,251,CYP,LZIB-LCLK
CYP253,CYP,253,CYP,LEAL-EGKK
CYP260,CYP,260,CYP,LCLK-LKPR
CYP261,CYP,261,CYP,LKPR-LCLK
CYP264L,CYP,264L,CYP,EGKK-LEAL
CYP26P,CYP,26P,CYP,LCLK-LKPR
CYP280,CYP,280,CYP,LCLK-UKBB
CYP302,CYP,302,CYP,LCLK-LOWW
CYP303,CYP,303,CYP,LOWW-LCLK
CYP310,CYP,310,CYP,LCLK-LGAV
CYP311,CYP,311,CYP,LGAV-LCLK
CYP312,CYP,312,CYP,LCLK-LGAV
CYP313,CYP,313,CYP,LGAV-LCLK
CYP316,CYP,316,CYP,LCLK-LIRF
CYP317,CYP,317,CYP,LIRF-LCLK
CYP31A,CYP,31A,CYP,LCLK-LGAV
CYP322,CYP,322,CYP,LCLK-LEBL
CYP323,CYP,323,CYP,LEBL-LCLK
CYP326,CYP,326,CYP,LCLK-EGLL
CYP327,CYP,327,CYP,EGLL-LCLK
CYP332,CYP,332,CYP,LCLK-EGLL
CYP333,CYP,333,CYP,EGLL-LCLK
CYP334,CYP,334,CYP,LCLK-EBBR
CYP335,CYP,335,CYP,EBBR-LCLK
CYP341,CYP,341,CYP,LIRF-LCLK
CYP342,CYP,342,CYP,LCLK-LIMC
CYP343,CYP,343,CYP,LIMC-LCLK
CYP344,CYP,344,CYP,LCLK-LIPZ
CYP345,CYP,345,CYP,LIPZ-LCLK
CYP346,CYP,346,CYP,LCLK-EGLL
CYP347,CYP,347,CYP,EGLL-LCLK
CYP349,CYP,349,CYP,LGAV-LCLK
CYP34F,CYP,34F,CYP,LCLK-LIRF
CYP351,CYP,351,CYP,LSZH-LCLK
CYP352,CYP,352,CYP,LCLK-LOWW-LSZH
CYP353,CYP,353,CYP,LOWW-LSZH-LCLK
CYP358,CYP,358,CYP,LCLK-EGCC
CYP359,CYP,359,CYP,EGCC-LCLK
CYP35Z,CYP,35Z,CYP,LCLK-LSZH
CYP362,CYP,362,CYP,LCLK-EGSS
CYP363,CYP,363,CYP,EGSS-LCLK
CYP376,CYP,376,CYP,LCLK-EDDF
CYP377,CYP,377,CYP,EDDM-EDDF-LCLK
