Callsign,Code,Number,AirlineCode,AirportCodes
DHX101,DHX,101,DHX,OEJN-OBBI
DHX102,DHX,102,DHX,OBBI-OEJN
DHX110,DHX,110,DHX,OBBI-OERK
DHX111,DHX,111,DHX,OERK-OBBI
DHX112,DHX,112,DHX,OBBI-OERK
DHX113,DHX,113,DHX,OERK-OBBI
DHX1131,DHX,1131,DHX,OBBI-OMDB
DHX1170,DHX,1170,DHX,OBBI-OKBK
DHX1171,DHX,1171,DHX,OKBK-OBBI
DHX127,DHX,127,DHX,OEDF-OPKC
DHX130,DHX,130,DHX,OMDB-OBBI
DHX131,DHX,131,DHX,OBBI-OMDB
DHX132,DHX,132,DHX,OMDB-OBBI
DHX135,DHX,135,DHX,OBBI-OMDB
DHX151,DHX,151,DHX,OBBI-OMAA
DHX160,DHX,160,DHX,OBBI-OLBA
DHX161,DHX,161,DHX,OBBI-OLBA
DHX163,DHX,163,DHX,OLBA-OJAI
DHX164,DHX,164,DHX,OLBA-OJAI
DHX170,DHX,170,DHX,OBBI-OKBK
DHX171,DHX,171,DHX,OKBK-OBBI
DHX172,DHX,172,DHX,OBBI-OKBK
DHX173,DHX,173,DHX,OKBK-OBBI
DHX179,DHX,179,DHX,OKBK-OPLA
DHX182,DHX,182,DHX,OBBI-OJAI
DHX191,DHX,191,DHX,OBBI-HECA
DHX194,DHX,194,DHX,OJAI-OBBI
DHX195,DHX,195,DHX,OBBI-OJAI
DHX203,DHX,203,DHX,OBBI-OOMS
DHX260,DHX,260,DHX,OMDB-OBBI
DHX261,DHX,261,DHX,OBBI-OMDB
DHX262,DHX,262,DHX,OMDB-OBBI
DHX263,DHX,263,DHX,OBBI-OMDB
DHX264,DHX,264,DHX,OMDB-OBBI
DHX265,DHX,265,DHX,OBBI-OMDB
DHX268,DHX,268,DHX,OMDB-OBBI
DHX269,DHX,269,DHX,OBBI-OMSJ
DHX276,DHX,276,DHX,OMDW-OBBI
DHX277,DHX,277,DHX,OBBI-OMDW
DHX302,DHX,302,DHX,ORBI-OBBI
DHX305,DHX,305,DHX,OBBI-ORER
DHX316,DHX,316,DHX,OBBI-ORER
DHX400,DHX,400,DHX,OBBI-HKJK
DHX401,DHX,401,DHX,HKJK-OBBI
DHX402,DHX,402,DHX,OBBI-HDAM
DHX403,DHX,403,DHX,OBBI-HKJK
DHX406,DHX,406,DHX,OBBI-OOMS
DHX412,DHX,412,DHX,OBBI-HDAM
DHX413,DHX,413,DHX,HDAM-HKJK
DHX511,DHX,511,DHX,OBBI-OPLA
DHX515,DHX,515,DHX,OOMS-OPKC
DHX518,DHX,518,DHX,OPKC-OBBI
DHX519,DHX,519,DHX,OBBI-OPLA
DHX522,DHX,522,DHX,OPLA-OBBI
DHX523,DHX,523,DHX,OBBI-OPLA
DHX525,DHX,525,DHX,OBBI-OAKB
DHX529,DHX,529,DHX,OBBI-OPLA
DHX541,DHX,541,DHX,LIME-OBBI
DHX542,DHX,542,DHX,OBBI-LIME
DHX556,DHX,556,DHX,OPKC-OBBI
DHX712,DHX,712,DHX,OBBI-LTFM
DHX713,DHX,713,DHX,LTFM-OBBI
DHX720,DHX,720,DHX,VHHH-VOBL-OBBI
DHX721,DHX,721,DHX,OBBI-VOBL-VHHH
DHX722,DHX,722,DHX,VHHH-OBBI
DHX723,DHX,723,DHX,OBBI-VHHH
DHX727,DHX,727,DHX,OBBI-VHHH
DHX727A,DHX,727A,DHX,OBBI-VHHH
DHX728,DHX,728,DHX,VHHH-VOBL-OBBI
DHX728A,DHX,728A,DHX,VHHH-VOBL
DHX730,DHX,730,DHX,VOBL-OBBI
DHX745,DHX,745,DHX,OBBI-VTBS-VHHH
DHX752,DHX,752,DHX,OBBI-LIMC-EDDP
DHX753,DHX,753,DHX,EDDP-OBBI
DHX754,DHX,754,DHX,OBBI-LIMC-EDDP
DHX755,DHX,755,DHX,EDDP-LIMC-OBBI
DHX756,DHX,756,DHX,OBBI-EDDP
DHX757,DHX,757,DHX,EDDP-OBBI
DHX759,DHX,759,DHX,EDDP-OBBI
DHX764,DHX,764,DHX,VHHH-OBBI
DHX777,DHX,777,DHX,EDDP-OBBI
DHX778,DHX,778,DHX,OBBI-EDDP
DHX790,DHX,790,DHX,OBBI-EGLL
DHX791,DHX,791,DHX,EGLL-EDDP
DHX901,DHX,901,DHX,EINN-OBBI
DHX902,DHX,902,DHX,EDDP-EGGW
