Callsign,Code,Number,AirlineCode,AirportCodes
DRU1701,DRU,1701,DRU,UUDD-URSS
DRU252,DRU,252,DRU,UNNT-URKK
DRU256,DRU,256,DRU,UNNT-UERR
DRU290,DRU,290,DRU,UNNT-UERR
DRU501,DRU,501,DRU,UNTT-URKA
DRU502,DRU,502,DRU,URKA-UNTT
DRU503,DRU,503,DRU,UUDD-URKG
DRU505,DRU,505,DRU,UERR-UNNT-ULLI
DRU506,DRU,506,DRU,ULLI-UNNT-UERR
DRU509,DRU,509,DRU,URKA-UNWW
DRU510,DRU,510,DRU,UNWW-URKA
DRU511,DRU,511,DRU,UUDD-URKA
DRU512,DRU,512,DRU,URKA-UUDD
DRU513,DRU,513,DRU,UNNT-URKA
DRU514,DRU,514,DRU,URKA-UNNT
DRU515,DRU,515,DRU,UUWW-UERP
DRU516,DRU,516,DRU,UERP-UUDD
DRU517,DRU,517,DRU,ULLI-URKA
DRU518,DRU,518,DRU,URKA-ULLI
DRU523,DRU,523,DRU,UNNT-URKK
DRU525,DRU,525,DRU,UERR-UNNT-URKK
DRU526,DRU,526,DRU,URKK-UNNT-UERR
DRU527,DRU,527,DRU,UERR-UNNT-URRR
DRU528,DRU,528,DRU,URRR-UNNT-UERR
DRU529,DRU,529,DRU,UNNT-UUDD
DRU530,DRU,530,DRU,UUDD-UNNT-UERR
DRU531,DRU,531,DRU,UERR-UUDD
DRU533,DRU,533,DRU,UUDD-URSS
DRU534,DRU,534,DRU,URSS-UUDD
DRU535,DRU,535,DRU,UUDD-URSS
DRU536,DRU,536,DRU,URSS-UUDD
DRU539,DRU,539,DRU,UUDD-UKFF
DRU540,DRU,540,DRU,UKFF-UUDD
DRU541,DRU,541,DRU,UERR-UIII
DRU542,DRU,542,DRU,UIII-UERR
DRU543,DRU,543,DRU,UNNT-UUDD
DRU544,DRU,544,DRU,UUDD-UNNT
DRU549,DRU,549,DRU,UERR-USSS-UUDD
DRU550,DRU,550,DRU,UUDD-USSS-UERR
DRU551,DRU,551,DRU,UNNT-UERP
DRU552,DRU,552,DRU,UERP-UNNT
DRU555,DRU,555,DRU,UKFF-USTR
DRU556,DRU,556,DRU,USTR-UKFF
DRU557,DRU,557,DRU,UNNT-UEEE
DRU558,DRU,558,DRU,UEEE-UNNT
DRU5583,DRU,5583,DRU,UUDD-URKK
DRU559,DRU,559,DRU,UUDD-UEEE
DRU561,DRU,561,DRU,URKA-UNEE
DRU562,DRU,562,DRU,UNEE-URKA
DRU567,DRU,567,DRU,UUDD-UIII
DRU568,DRU,568,DRU,UEEE-UNNT
DRU575,DRU,575,DRU,UNNT-UKFF
DRU576,DRU,576,DRU,UKFF-UNNT
DRU577,DRU,577,DRU,UNTT-UKFF
DRU578,DRU,578,DRU,UKFF-UNTT
DRU579,DRU,579,DRU,URKK-UNKL
DRU580,DRU,580,DRU,UNKL-URKK
DRU581,DRU,581,DRU,UERR-UNNT-URKG
DRU582,DRU,582,DRU,URKG-UNNT-UERR
DRU583,DRU,583,DRU,UUWW-URKK
DRU584,DRU,584,DRU,URKK-UUDD
DRU589,DRU,589,DRU,UERR-UNNT
DRU590,DRU,590,DRU,UNNT-UERR
DRU591,DRU,591,DRU,UERR-UNNT
DRU592,DRU,592,DRU,UNNT-UERR
DRU593,DRU,593,DRU,URKK-UNKL
DRU594,DRU,594,DRU,UNKL-URKK
DRU595,DRU,595,DRU,UNEE-URSS
DRU596,DRU,596,DRU,UNEE-URSS
DRU597,DRU,597,DRU,UERR-UUDD
DRU598,DRU,598,DRU,UUDD-UERR
DRU599,DRU,599,DRU,UERR-UNNT-URKG
DRU601,DRU,601,DRU,UNTT-URSS
DRU602,DRU,602,DRU,URSS-UNTT
DRU603,DRU,603,DRU,URSS-UNNT
DRU605,DRU,605,DRU,UERR-UUWW-ULLI
DRU606,DRU,606,DRU,ULLI-UUDD-UNNT-UERR
DRU607,DRU,607,DRU,ULLI-UNWW
DRU608,DRU,608,DRU,UNWW-ULLI
DRU609,DRU,609,DRU,UKFF-UNNT-UHMM
DRU610,DRU,610,DRU,UHMM-UNNT-UKFF
DRU611,DRU,611,DRU,UNNT-UHBB
DRU612,DRU,612,DRU,UHBB-UNNT
DRU613,DRU,613,DRU,URSS-UNWW
DRU614,DRU,614,DRU,UNWW-URSS
DRU617,DRU,617,DRU,UIII-URSS
DRU618,DRU,618,DRU,UNBB-UUDD
DRU642,DRU,642,DRU,ULLI-URKK
DRU645,DRU,645,DRU,UKFF-UWUU
DRU646,DRU,646,DRU,UWUU-UKFF
DRU9127,DRU,9127,DRU,UUDD-UDYZ
DRU9128,DRU,9128,DRU,UDYZ-UUDD
DRU9705,DRU,9705,DRU,UWUU-UECT
DRU9706,DRU,9706,DRU,UECT-UNOO-UWUU
DRU978,DRU,978,DRU,UHMP-UNNT
DRU9831,DRU,9831,DRU,UUDD-UWWW-UERR
DRU9832,DRU,9832,DRU,UERR-UWWW-UUDD
DRU9848,DRU,9848,DRU,UERR-UNNT-UWWW-UUDD
DRU9849,DRU,9849,DRU,UUDD-UWWW-UERR
DRU9939,DRU,9939,DRU,UUDD-UWWW-UERR
DRU9944,DRU,9944,DRU,LFRS-UUDD
DRU9949,DRU,9949,DRU,UWWW-UERR
DRU9951,DRU,9951,DRU,URKK-UNKL-UERR
DRU9952,DRU,9952,DRU,UERR-UNKL-URKK
DRU9953,DRU,9953,DRU,URKK-USMU
DRU9958,DRU,9958,DRU,UERR-UNNT
DRU9959,DRU,9959,DRU,UNNT-UERR
DRU9960,DRU,9960,DRU,UERR-UWWW-UUDD
DRU9969,DRU,9969,DRU,UUDD-UERP
DRU9973,DRU,9973,DRU,UNNT-UERR
DRU9977,DRU,9977,DRU,UUDD-UNNT-UHMP
DRU9978,DRU,9978,DRU,UHMP-UNNT-UUDD
DRU9987,DRU,9987,DRU,ZJSY-UNTT
DRU9990,DRU,9990,DRU,UIAA-ZJSY
DRU9993,DRU,9993,DRU,ZJSY-UNWW
DRU9994,DRU,9994,DRU,UNWW-ZJSY
