Callsign,Code,Number,AirlineCode,AirportCodes
DTH1100,DTH,1100,DTH,DAAG-DAUH
DTH1101,DTH,1101,DTH,DAUH-DAAG
DTH1120,DTH,1120,DTH,DAAG-DAUH
DTH1121,DTH,1121,DTH,DAUH-DAAG
DTH1122,DTH,1122,DTH,DAAG-DAUH
DTH1123,DTH,1123,DTH,DAUH-DAAG
DTH1131,DTH,1131,DTH,DABC-DAUH
DTH1140,DTH,1140,DTH,DAOO-DAUH
DTH1141,DTH,1141,DTH,DAUH-DAOO
DTH1155,DTH,1155,DTH,DAUH-DAAG
DTH1158,DTH,1158,DTH,DAOO-DAUH
DTH1159,DTH,1159,DTH,DAOO-DAAG
DTH1300,DTH,1300,DTH,DAAG-DAUZ
DTH1320,DTH,1320,DTH,DAAG-DAUZ
DTH1321,DTH,1321,DTH,DAUZ-DAAG
DTH1323,DTH,1323,DTH,DAUZ-DABC
DTH1325,DTH,1325,DTH,DAUZ-DAOO
DTH1326,DTH,1326,DTH,DAAG-DABB-DAUZ
DTH1327,DTH,1327,DTH,DABB-DAAG
DTH1329,DTH,1329,DTH,DAUB-DAUZ
DTH1802,DTH,1802,DTH,DAAG-DAUH
DTH1803,DTH,1803,DTH,DAUH-DAAG
DTH1810,DTH,1810,DTH,DAAG-DAOO-DAUZ
DTH1811,DTH,1811,DTH,DAOO-DAAG
DTH1840,DTH,1840,DTH,DAAG-DABC-DAAT
DTH1841,DTH,1841,DTH,DAAT-DABC-DAAG
DTH1850,DTH,1850,DTH,DAAG-DAOR
DTH1851,DTH,1851,DTH,DAOR-DAAG
DTH1860,DTH,1860,DTH,DAAG-DAOO-DAAT
DTH1861,DTH,1861,DTH,DAAT-DAOO-DAAG
DTH1862,DTH,1862,DTH,DABC-DAUU
DTH1864,DTH,1864,DTH,DAAG-DABC
DTH1870,DTH,1870,DTH,DAAG-DAOO
DTH1871,DTH,1871,DTH,DAAJ-DAUZ-DAOO-DAAG
DTH1876,DTH,1876,DTH,DAAG-DABC-DATM
DTH1877,DTH,1877,DTH,DATM-DABC-DAAG
DTH1878,DTH,1878,DTH,DAAG-DAOO-DATM
DTH1879,DTH,1879,DTH,DATM-DAOO-DAAG
DTH1882,DTH,1882,DTH,DAOO-DAUA-DAOF
DTH1902,DTH,1902,DTH,DAAG-DAUH
DTH1903,DTH,1903,DTH,DAUH-DAAG
DTH1908,DTH,1908,DTH,DAUH-DAAE
DTH1909,DTH,1909,DTH,DAUH-DAAG
DTH1911,DTH,1911,DTH,DABC-DAUH
DTH1960,DTH,1960,DTH,DAAG-DAOO-DAUH
DTH1961,DTH,1961,DTH,DAUH-DAOO-DAAG
DTH1963,DTH,1963,DTH,DAOO-DAAG
DTH1966,DTH,1966,DTH,DAAG-DABC-DAUH-DAUZ
DTH1967,DTH,1967,DTH,DAUH-DABC-DAAG
DTH1968,DTH,1968,DTH,DAAG-DABC-DAUH
DTH1974,DTH,1974,DTH,DAAG-DAAE
DTH1975,DTH,1975,DTH,DAAE-DAAG
DTH1988,DTH,1988,DTH,DAAG-DABC
DTH1989,DTH,1989,DTH,DABC-DAAG
DTH1990,DTH,1990,DTH,DAAG-DAOO-DAAG
DTH2110,DTH,2110,DTH,DAAG-DABC
DTH2111,DTH,2111,DTH,DABC-DAAG
DTH2114,DTH,2114,DTH,DAAG-DABC
DTH2116,DTH,2116,DTH,DAAG-DABC
DTH2117,DTH,2117,DTH,DABC-DAAG
DTH2202,DTH,2202,DTH,DAAG-DAOO
DTH2203,DTH,2203,DTH,DAOO-DAAG
DTH2220,DTH,2220,DTH,DAAG-DAOO
DTH2221,DTH,2221,DTH,DAOO-DAAG
DTH2320,DTH,2320,DTH,DAAG-DAUA
DTH2321,DTH,2321,DTH,DAUA-DAAG
DTH2332,DTH,2332,DTH,DAAG-DAUI
DTH2333,DTH,2333,DTH,DAUI-DAAG
DTH2352,DTH,2352,DTH,DAUA-DAOO
DTH2353,DTH,2353,DTH,DAOO-DAUA
DTH2374,DTH,2374,DTH,DAAG-DAUO
DTH2375,DTH,2375,DTH,DAUO-DAAG
DTH2382,DTH,2382,DTH,DAAG-DAOR
DTH2383,DTH,2383,DTH,DAOR-DAAG
DTH2384,DTH,2384,DTH,DAOR-DAOO
DTH3000,DTH,3000,DTH,DAAG-LFPG
DTH3001,DTH,3001,DTH,LFPG-DAAG
DTH3002,DTH,3002,DTH,DAAG-LFPG
DTH3003,DTH,3003,DTH,LFPG-DAAG
DTH3004,DTH,3004,DTH,DAAG-LFPO
DTH3005,DTH,3005,DTH,LFPO-DAAG
DTH3007,DTH,3007,DTH,LFPG-DAOO
DTH3008,DTH,3008,DTH,DAAE-LFPG
DTH3011,DTH,3011,DTH,LFLL-DAAG
DTH3012,DTH,3012,DTH,DAAG-LFRS
DTH3013,DTH,3013,DTH,LFRS-DAAG
DTH3018,DTH,3018,DTH,DAAG-LFST
DTH3019,DTH,3019,DTH,LFST-DAAG
DTH3021,DTH,3021,DTH,LFML-DAAG
DTH3024,DTH,3024,DTH,DABC-LFST
DTH3025,DTH,3025,DTH,LFST-DABC
DTH3030,DTH,3030,DTH,LFST-DAOO
DTH3031,DTH,3031,DTH,DAOO-LFST
DTH3513,DTH,3513,DTH,LFPG-DAAG
DTH3514,DTH,3514,DTH,DAOO-LFPG
DTH3520,DTH,3520,DTH,DAAG-LFQQ
DTH4519,DTH,4519,DTH,LTFM-DAAG
DTH4524,DTH,4524,DTH,DAAG-LTFM
DTH4525,DTH,4525,DTH,LTFM-DAAG
