Callsign,Code,Number,AirlineCode,AirportCodes
DVR210,DVR,210,DVR,TNCC-TNCB
DVR211,DVR,211,DVR,TNCB-TNCC
DVR213,DVR,213,DVR,TNCB-TNCC
DVR216,DVR,216,DVR,TNCC-TNCB
DVR217,DVR,217,DVR,TNCB-TNCC
DVR218,DVR,218,DVR,TNCC-TNCB
DVR226,DVR,226,DVR,TNCC-TNCB
DVR228,DVR,228,DVR,TNCC-TNCB
DVR229,DVR,229,DVR,TNCB-TNCC
DVR231,DVR,231,DVR,TNCB-TNCC
DVR261,DVR,261,DVR,TNCA-TNCC
DVR262,DVR,262,DVR,TNCC-TNCA
DVR268,DVR,268,DVR,TNCC-TNCA
DVR269,DVR,269,DVR,TNCA-TNCC
DVR274,DVR,274,DVR,TNCC-TNCA
DVR275,DVR,275,DVR,TNCA-TNCC
DVR279,DVR,279,DVR,TNCA-TNCC
DVR280,DVR,280,DVR,TNCC-TNCA
DVR281,DVR,281,DVR,TNCA-TNCC
DVR282,DVR,282,DVR,TNCC-TNCA
DVR283,DVR,283,DVR,TNCA-TNCC
