Callsign,Code,Number,AirlineCode,AirportCodes
EEZ1657,EEZ,1657,EEZ,LIEE-LIPE
EEZ1850,EEZ,1850,EEZ,LIME-HESH
EEZ1869,EEZ,1869,EEZ,HEMA-LIMC
EEZ1940,EEZ,1940,EEZ,LIMC-GCXO-GCRR-LIMC
EEZ1975,EEZ,1975,EEZ,OMDB-LIMC
EEZ2112,EEZ,2112,EEZ,LIMC-VRMM
EEZ2120,EEZ,2120,EEZ,LIRF-VRMM
EEZ2121,EEZ,2121,EEZ,VRMM-LIRF-LIMC
EEZ2124,EEZ,2124,EEZ,LIPE-LIRF-VRMM
EEZ2125,EEZ,2125,EEZ,VRMM-LIPE-LIMC
EEZ2130,EEZ,2130,EEZ,LIMC-VCBI-VRMM-LIMC
EEZ2281,EEZ,2281,EEZ,HKMO-LIMC
EEZ2825,EEZ,2825,EEZ,FIMP-LIMC-LIRF
EEZ3250,EEZ,3250,EEZ,LIMC-HTZA-HKMO
EEZ3251,EEZ,3251,EEZ,HKMO-LIMC
EEZ411,EEZ,411,EEZ,LICJ-LIML
EEZ529,EEZ,529,EEZ,GCFV-LIMC
EEZ531,EEZ,531,EEZ,GCFV-LIMC
EEZ536,EEZ,536,EEZ,LIMC-GCTS
EEZ542,EEZ,542,EEZ,LIPE-GCTS-GCFV
EEZ543,EEZ,543,EEZ,GCFV-LIPE
EEZ546,EEZ,546,EEZ,LIPX-GCTS
EEZ549,EEZ,549,EEZ,GCFV-LIPX
EEZ5500,EEZ,5500,EEZ,LIMC-LIRF-LLBG
EEZ5501,EEZ,5501,EEZ,LLBG-LIRF-LIMC
EEZ5540,EEZ,5540,EEZ,LIPX-LLBG
EEZ5541,EEZ,5541,EEZ,LLBG-LIPX
EEZ566,EEZ,566,EEZ,LIPE-UUDD
EEZ567,EEZ,567,EEZ,UUDD-LIPE
EEZ5700,EEZ,5700,EEZ,LIMC-LLBG
EEZ571,EEZ,571,EEZ,GOOY-LIMC
EEZ582,EEZ,582,EEZ,LIMC-HECA
EEZ583,EEZ,583,EEZ,HECA-LIMC
EEZ586,EEZ,586,EEZ,LIPX-LICC
EEZ684,EEZ,684,EEZ,LIPE-LICJ
EEZ697,EEZ,697,EEZ,LICC-LIPE
EEZ7812,EEZ,7812,EEZ,LIMC-HESH
EEZ7813,EEZ,7813,EEZ,HESH-LIMC
EEZ7826,EEZ,7826,EEZ,LIME-HESH
EEZ7827,EEZ,7827,EEZ,HESH-LIME
EEZ7828,EEZ,7828,EEZ,HESH-LIPZ
EEZ7829,EEZ,7829,EEZ,LIPZ-HESH
EEZ7831,EEZ,7831,EEZ,HEMA-LIPE-LIMC
EEZ7832,EEZ,7832,EEZ,HESH-LIPY-LIRP-HESH
EEZ7838,EEZ,7838,EEZ,LIMC-HEGN
EEZ7839,EEZ,7839,EEZ,HEGN-LIMC
EEZ7845,EEZ,7845,EEZ,HEMA-LIPE-LIRF
EEZ7848,EEZ,7848,EEZ,LIME-HEMA
EEZ7849,EEZ,7849,EEZ,HEMA-LIME
EEZ7854,EEZ,7854,EEZ,HESH-LIPZ-LIMF-HESH
EEZ7856,EEZ,7856,EEZ,LIPE-HESH
EEZ7857,EEZ,7857,EEZ,HESH-LIPE
EEZ7862,EEZ,7862,EEZ,LIPX-HEGN-HESH
EEZ7863,EEZ,7863,EEZ,HESH-LIPX
EEZ7864,EEZ,7864,EEZ,LIMC-HESH
EEZ7865,EEZ,7865,EEZ,HESH-LIMC
EEZ7866,EEZ,7866,EEZ,LIPX-HESH
EEZ7867,EEZ,7867,EEZ,HESH-LIPX
EEZ7876,EEZ,7876,EEZ,LIPX-HEGN
EEZ7877,EEZ,7877,EEZ,HEGN-LIPX
EEZ7888,EEZ,7888,EEZ,LIPX-HESH
EEZ7889,EEZ,7889,EEZ,HESH-LIPX
EEZ7891,EEZ,7891,EEZ,HEMA-LIMC
EEZ7893,EEZ,7893,EEZ,HEMA-LIPX
EEZ8404,EEZ,8404,EEZ,LIMC-LIRF
EEZ8483,EEZ,8483,EEZ,LIPE-LSZH
