Callsign,Code,Number,AirlineCode,AirportCodes
EFY6901,EFY,6901,EFY,SKVV-SKBO
EFY6912,EFY,6912,EFY,SKCL-SKMD
EFY6913,EFY,6913,EFY,SKMD-SKCL
EFY6915,EFY,6915,EFY,SKMD-SKCL
EFY6925,EFY,6925,EFY,SKMD-SKCL
EFY6926,EFY,6926,EFY,SKCL-SKMD
EFY6932,EFY,6932,EFY,SKBO-SKSJ
EFY6940,EFY,6940,EFY,SKBO-SKAR
EFY6944,EFY,6944,EFY,SKBO-SKAR
EFY6945,EFY,6945,EFY,SKAR-SKBO
EFY6952,EFY,6952,EFY,SKCL-SKUI
EFY6953,EFY,6953,EFY,SKUI-SKCL
EFY6961,EFY,6961,EFY,SKBS-SKMD
EFY6966,EFY,6966,EFY,SKCL-SKAS
EFY6969,EFY,6969,EFY,SKVP-SKMD
EFY6971,EFY,6971,EFY,SKNQ-SKMD
EFY6972,EFY,6972,EFY,SKMD-SKNQ
EFY6974,EFY,6974,EFY,SKMD-SKNQ
EFY6978,EFY,6978,EFY,SKBO-SKEJ
EFY6979,EFY,6979,EFY,SKEJ-SKBO
EFY6980,EFY,6980,EFY,SKBO-SKEJ
EFY6981,EFY,6981,EFY,SKEJ-SKBO
EFY6983,EFY,6983,EFY,SKEJ-SKBO
EFY6984,EFY,6984,EFY,SKBO-SKEJ
EFY6988,EFY,6988,EFY,SKCL-SKPS
EFY6989,EFY,6989,EFY,SKPS-SKCL
EFY6992,EFY,6992,EFY,SKCL-SKMD
EFY6993,EFY,6993,EFY,SKMD-SKCL
EFY6994,EFY,6994,EFY,SKCL-SKMD
EFY6996,EFY,6996,EFY,SKCL-SKMD
EFY7764,EFY,7764,EFY,SKMD-SKCZ
EFY7765,EFY,7765,EFY,SKCZ-SKMD
EFY7766,EFY,7766,EFY,SKMD-SKCZ
EFY7767,EFY,7767,EFY,SKCZ-SKMD
EFY7769,EFY,7769,EFY,SKCZ-SKMD
EFY7776,EFY,7776,EFY,SKMD-SKTL
EFY7777,EFY,7777,EFY,SKTL-SKMD
EFY7779,EFY,7779,EFY,SKTL-SKMD
EFY7781,EFY,7781,EFY,SKTL-SKMD
EFY7790,EFY,7790,EFY,SKBO-SKVV
EFY7793,EFY,7793,EFY,SKCG-SKMZ
EFY7796,EFY,7796,EFY,SKCL-SKCO
EFY7800,EFY,7800,EFY,SKMD-SKAR
EFY7802,EFY,7802,EFY,SKMD-SKAR
EFY7812,EFY,7812,EFY,SKBO-SKMZ
EFY7813,EFY,7813,EFY,SKMZ-SKBO
EFY7819,EFY,7819,EFY,SKNA-SKBO
EFY7820,EFY,7820,EFY,SKMD-SKVV
EFY7821,EFY,7821,EFY,SKVV-SKMD
EFY7827,EFY,7827,EFY,SKSM-SKMD
EFY7830,EFY,7830,EFY,SKBQ-SKMD
EFY7831,EFY,7831,EFY,SKMD-SKBQ
EFY7832,EFY,7832,EFY,SKBQ-SKMD
EFY7833,EFY,7833,EFY,SKMD-SKBQ
EFY7834,EFY,7834,EFY,SKBO-SKMZ
EFY7835,EFY,7835,EFY,SKMZ-SKBO
EFY7836,EFY,7836,EFY,SKBO-SKMZ
EFY7837,EFY,7837,EFY,SKMZ-SKBO
EFY7838,EFY,7838,EFY,SKBO-SKMZ
EFY7839,EFY,7839,EFY,SKMZ-SKBO
EFY7850,EFY,7850,EFY,SKMD-SKTL
EFY7851,EFY,7851,EFY,SKTL-SKMD
EFY7852,EFY,7852,EFY,SKMD-SKTL
EFY7853,EFY,7853,EFY,SKTL-SKMD
EFY7854,EFY,7854,EFY,SKMD-SKTL
EFY7855,EFY,7855,EFY,SKTL-SKMD
EFY7856,EFY,7856,EFY,SKMD-SKTL
EFY7857,EFY,7857,EFY,SKTL-SKMD
EFY7858,EFY,7858,EFY,SKMD-SKTL
EFY7859,EFY,7859,EFY,SKTL-SKMD
EFY7860,EFY,7860,EFY,SKMD-SKTL
EFY7861,EFY,7861,EFY,SKTL-SKMD
EFY7862,EFY,7862,EFY,SKMD-SKBS
EFY7864,EFY,7864,EFY,SKMD-SKBS
EFY7866,EFY,7866,EFY,SKMD-SKBS
EFY7880,EFY,7880,EFY,SKBO-SKVV
EFY7883,EFY,7883,EFY,SKVV-SKBO
EFY7884,EFY,7884,EFY,SKBO-SKVV
EFY7890,EFY,7890,EFY,SKCL-SKBO
EFY7891,EFY,7891,EFY,SKBO-SKCL
EFY7892,EFY,7892,EFY,SKCL-SKBO
EFY7893,EFY,7893,EFY,SKBO-SKCL
EFY7894,EFY,7894,EFY,SKCL-SKBO
EFY7895,EFY,7895,EFY,SKBO-SKCL
EFY7896,EFY,7896,EFY,SKCL-SKBO
EFY7897,EFY,7897,EFY,SKBO-SKCL
EFY7898,EFY,7898,EFY,SKCL-SKBO
