Callsign,Code,Number,AirlineCode,AirportCodes
EGF2720,EGF,2720,EGF,KDSM-KDFW
EGF2841,EGF,2841,EGF,KDFW-KDSM
EGF2866,EGF,2866,EGF,KABI-KDFW
EGF3002,EGF,3002,EGF,KSAN-KLAX
EGF3005,EGF,3005,EGF,KLAX-KSAN
EGF3006,EGF,3006,EGF,KSAN-KLAX
EGF3015,EGF,3015,EGF,KLAX-KSAN
EGF3016,EGF,3016,EGF,KFAT-KLAX
EGF3018,EGF,3018,EGF,KLAX-KSAN
EGF3021,EGF,3021,EGF,KLAX-KSAN
EGF3023,EGF,3023,EGF,KLAX-KFAT
EGF3025,EGF,3025,EGF,KLAX-KSAN
EGF3031,EGF,3031,EGF,KLAX-KMRY
EGF3036,EGF,3036,EGF,KSAN-KLAX
EGF3041,EGF,3041,EGF,KSBA-KLAX
EGF3043,EGF,3043,EGF,KLAX-KSBA
EGF3044,EGF,3044,EGF,KSAN-KLAX
EGF3047,EGF,3047,EGF,KLAX-KSAN
EGF3048,EGF,3048,EGF,KLAX-KSAN
EGF3049,EGF,3049,EGF,KSAN-KLAX
EGF3055,EGF,3055,EGF,KLAX-KSAN
EGF3061,EGF,3061,EGF,KLAX-KSAN
EGF3064,EGF,3064,EGF,KSAN-KLAX
EGF3065,EGF,3065,EGF,KLAX-KSAN
EGF3066,EGF,3066,EGF,KSAN-KLAX
EGF3068,EGF,3068,EGF,KSAN-KLAX
EGF3069,EGF,3069,EGF,KSAN-KLAX
EGF3070,EGF,3070,EGF,KSAN-KLAX
EGF3073,EGF,3073,EGF,KLAX-KSAN
EGF3079,EGF,3079,EGF,KLAX-KMRY
EGF3081,EGF,3081,EGF,KLAX-KSBA
EGF3082,EGF,3082,EGF,KSBA-KLAX
EGF3084,EGF,3084,EGF,KSAN-KLAX
EGF3086,EGF,3086,EGF,KSAN-KLAX
EGF3093,EGF,3093,EGF,KLAX-KSAN
EGF3094,EGF,3094,EGF,KSAN-KLAX
EGF3096,EGF,3096,EGF,KSAN-KLAX
EGF3110,EGF,3110,EGF,KDFW-KTYS
EGF3111,EGF,3111,EGF,KLAX-KROW
