Callsign,Code,Number,AirlineCode,AirportCodes
EJU1009,EJU,1009,EJU,LFSB-LFRS
EJU101A,EJU,101A,EJU,LFLL-LFBD
EJU101B,EJU,101B,EJU,LIMC-LIEO
EJU101R,EJU,101R,EJU,LFBD-LFLL
EJU102J,EJU,102J,EJU,LIMC-LIRN
EJU102M,EJU,102M,EJU,LFLL-LFKB
EJU1039,EJU,1039,EJU,LFSB-LDSP
EJU103B,EJU,103B,EJU,LFRN-LFMN
EJU103D,EJU,103D,EJU,LIMC-LIEE
EJU103L,EJU,103L,EJU,LFBD-LFML
EJU103Y,EJU,103Y,EJU,LFPG-LFBO
EJU103Z,EJU,103Z,EJU,LFMN-LFPO
EJU1041,EJU,1041,EJU,LFSB-EHAM
EJU1042,EJU,1042,EJU,EHAM-LFSB
EJU1043,EJU,1043,EJU,LFSB-EHAM
EJU1045,EJU,1045,EJU,EHAM-LFSB
EJU1046,EJU,1046,EJU,LFSB-EHAM
EJU104A,EJU,104A,EJU,EDDT-EDDS
EJU104J,EJU,104J,EJU,LFKJ-LFLL
EJU104P,EJU,104P,EJU,LFBO-LFMN
EJU104Y,EJU,104Y,EJU,LFKJ-LFPG
EJU1051,EJU,1051,EJU,LFSB-LEPA
EJU1052,EJU,1052,EJU,LEPA-LFSB
EJU1058,EJU,1058,EJU,LEPA-LFSB
EJU1059,EJU,1059,EJU,LFSB-LEPA
EJU1060,EJU,1060,EJU,LEPA-LFSB
EJU1063,EJU,1063,EJU,LFSB-LEPA
EJU1065,EJU,1065,EJU,LFSB-LEMG
EJU1066,EJU,1066,EJU,LEMG-LFSB
EJU1067,EJU,1067,EJU,LFSB-LEMG
EJU1068,EJU,1068,EJU,LEMG-LFSB
EJU106D,EJU,106D,EJU,LFMN-LFRS
EJU106F,EJU,106F,EJU,LFPG-LFKF
EJU1076,EJU,1076,EJU,LEBL-LFSB
EJU1078,EJU,1078,EJU,LEBL-LFSB
EJU1079,EJU,1079,EJU,LFSB-LEBL
EJU107D,EJU,107D,EJU,LFQQ-LFBD
EJU108X,EJU,108X,EJU,LFMN-LFPO
EJU1097,EJU,1097,EJU,LFSB-EPKK
EJU109G,EJU,109G,EJU,LFPO-LFMN
EJU109H,EJU,109H,EJU,LFRS-LFMN
EJU109U,EJU,109U,EJU,LFRS-LFMN
EJU109Y,EJU,109Y,EJU,LIMC-LICC
EJU109Z,EJU,109Z,EJU,LFBD-LFQQ
EJU1217,EJU,1217,EJU,LFSB-LKPR
EJU1218,EJU,1218,EJU,LKPR-LFSB
EJU121Q,EJU,121Q,EJU,LFBO-LFLL
EJU123D,EJU,123D,EJU,LIMC-LICJ
EJU123L,EJU,123L,EJU,LFMN-LFPO
EJU124B,EJU,124B,EJU,LFLL-LFKJ
EJU125K,EJU,125K,EJU,LFLL-LFBO
EJU126H,EJU,126H,EJU,LFLL-LFRN
EJU128K,EJU,128K,EJU,LFBO-LFPG
EJU128L,EJU,128L,EJU,LFMN-LFPO
EJU128R,EJU,128R,EJU,LFRN-LFMN
EJU129M,EJU,129M,EJU,LFMN-LFPG
EJU12AB,EJU,12AB,EJU,EGGD-LFLL
EJU12AF,EJU,12AF,EJU,LPPR-LFPG
EJU12AL,EJU,12AL,EJU,LFQQ-LPPT
EJU12AR,EJU,12AR,EJU,EDDT-LSZH
EJU12BD,EJU,12BD,EJU,EDDB-LDDU
EJU12CD,EJU,12CD,EJU,LIMC-LLBG
EJU12CP,EJU,12CP,EJU,LIRN-LICC
EJU12CU,EJU,12CU,EJU,LSGG-EDDB
EJU12DK,EJU,12DK,EJU,LFRS-GCTS
EJU12DQ,EJU,12DQ,EJU,LIRN-LFMN
EJU12EM,EJU,12EM,EJU,LFLL-LOWW
EJU12ER,EJU,12ER,EJU,EDDB-LFML
EJU12ET,EJU,12ET,EJU,EHAM-LIMC
EJU12FR,EJU,12FR,EJU,LPPR-LSGG
