Callsign,Code,Number,AirlineCode,AirportCodes
ENY2773,ENY,2773,ENY,KLGA-KCHO-KLGA
ENY2782,ENY,2782,ENY,KORD-KHPN-KORD
ENY2783,ENY,2783,ENY,KLGA-KROA-KLGA
ENY2789,ENY,2789,ENY,KLGA-KILM-KLGA
ENY2796,ENY,2796,ENY,KORD-KHPN
ENY2815,ENY,2815,ENY,KJFK-KCLE
ENY2828,ENY,2828,ENY,KORD-KHPN-KORD
ENY2877,ENY,2877,ENY,KORD-KBNA
ENY2887,ENY,2887,ENY,KIND-KORD
ENY2915,ENY,2915,ENY,KCLE-KJFK
ENY2949,ENY,2949,ENY,KJFK-KBNA
ENY2963,ENY,2963,ENY,KJFK-KCVG
ENY2992,ENY,2992,ENY,KLGA-KRIC-KLGA
ENY3009,ENY,3009,ENY,KCMI-KDFW
ENY3011,ENY,3011,ENY,KLGA-KRIC
ENY3012,ENY,3012,ENY,KLGA-KRIC-KLGA
ENY3014,ENY,3014,ENY,KORF-KLGA
ENY3040,ENY,3040,ENY,KLGA-KGSO-KLGA
ENY3044,ENY,3044,ENY,KJFK-KBWI
ENY3054,ENY,3054,ENY,KCVG-KJFK
ENY3074,ENY,3074,ENY,KLGA-CYUL
ENY3076,ENY,3076,ENY,KORD-CYYZ-KORD
ENY3086,ENY,3086,ENY,KORD-KDAY
ENY3091,ENY,3091,ENY,KBNA-KJFK
ENY3095,ENY,3095,ENY,KORD-KMEM-KORD
ENY3097,ENY,3097,ENY,KHPN-KORD
ENY3099,ENY,3099,ENY,KLGA-KORF
ENY3139,ENY,3139,ENY,KHPN-KORD
ENY3141,ENY,3141,ENY,KBWI-KJFK
ENY3145,ENY,3145,ENY,KCMH-KJFK
ENY3150,ENY,3150,ENY,KATL-KMIA
ENY3153,ENY,3153,ENY,KDFW-CYUL
ENY3157,ENY,3157,ENY,CYUL-KJFK
ENY3161,ENY,3161,ENY,CYUL-KDFW
ENY3169,ENY,3169,ENY,KJFK-KORF
ENY3180,ENY,3180,ENY,KORD-KCMH
ENY3185,ENY,3185,ENY,KIND-KORD
ENY3186,ENY,3186,ENY,KDFW-KGRI
ENY3199,ENY,3199,ENY,KLGA-KGSO-KLGA
ENY3201,ENY,3201,ENY,KLGA-KCHO-KLGA
ENY3202,ENY,3202,ENY,KJFK-KIND
ENY3217,ENY,3217,ENY,KORF-KJFK
ENY3218,ENY,3218,ENY,KIND-KJFK
ENY3221,ENY,3221,ENY,KGSO-KLGA-KRIC
ENY3225,ENY,3225,ENY,KJFK-KDCA-KJFK
ENY3231,ENY,3231,ENY,KJFK-KPIT
ENY3232,ENY,3232,ENY,KORD-KFAR
ENY3236,ENY,3236,ENY,KORD-KAZO-KORD
ENY3247,ENY,3247,ENY,KORF-KMIA
ENY3248,ENY,3248,ENY,KOMA-KDFW
ENY3249,ENY,3249,ENY,KCLE-KMIA
ENY3254,ENY,3254,ENY,KORD-KRST
ENY3257,ENY,3257,ENY,KLGA-KRDU
ENY3273,ENY,3273,ENY,KMIA-KJAX-KMIA
ENY3295,ENY,3295,ENY,KLGA-KDAY
ENY3299,ENY,3299,ENY,KLGA-KGSO-KLGA
ENY3300,ENY,3300,ENY,KDFW-KGRR
ENY3302,ENY,3302,ENY,KEWR-KORD
ENY3304,ENY,3304,ENY,KBTR-KDFW
ENY3305,ENY,3305,ENY,KSRQ-KDFW
ENY3307,ENY,3307,ENY,KBTR-KDFW
ENY3308,ENY,3308,ENY,KSHV-KDFW
ENY3309,ENY,3309,ENY,KJFK-CYUL-KJFK
ENY3310,ENY,3310,ENY,KTUL-KDFW
ENY3311,ENY,3311,ENY,KDFW-KABI
ENY3312,ENY,3312,ENY,KDFW-KMSN-KDFW
ENY3314,ENY,3314,ENY,KDFW-KBHM-KDFW
ENY3315,ENY,3315,ENY,KMOB-KDFW
ENY3316,ENY,3316,ENY,KACT-KDFW
ENY3318,ENY,3318,ENY,KDFW-MMDO
ENY3319,ENY,3319,ENY,KDFW-KMSN-KDFW
ENY3320,ENY,3320,ENY,KLGA-KILM-KLGA
ENY3321,ENY,3321,ENY,KDFW-KDRT
ENY3322,ENY,3322,ENY,KDRT-KDFW
ENY3323,ENY,3323,ENY,KDFW-KLCH-KDFW
ENY3325,ENY,3325,ENY,KTLH-KMIA
ENY3327,ENY,3327,ENY,KCLE-KJFK
ENY3328,ENY,3328,ENY,KORD-KPIT-KORD
ENY3329,ENY,3329,ENY,KCMH-KJFK
ENY3331,ENY,3331,ENY,KTRI-KDFW
ENY3332,ENY,3332,ENY,KDFW-KSDF-KDFW
ENY3334,ENY,3334,ENY,KIND-KDFW
ENY3335,ENY,3335,ENY,KGSO-KLGA
ENY3337,ENY,3337,ENY,KDFW-KMSP
ENY3338,ENY,3338,ENY,KDFW-KBOI
ENY3339,ENY,3339,ENY,KDFW-KBIL-KDFW
ENY3340,ENY,3340,ENY,KMIA-KCMH-KMIA
ENY3341,ENY,3341,ENY,KORD-KRDU-KORD
ENY3342,ENY,3342,ENY,KAVP-KORD
ENY3343,ENY,3343,ENY,KSGF-KDFW
ENY3344,ENY,3344,ENY,KORF-KLGA
ENY3345,ENY,3345,ENY,KTUL-KDFW
ENY3346,ENY,3346,ENY,KABI-KDFW
ENY3347,ENY,3347,ENY,KMCI-KDFW
ENY3348,ENY,3348,ENY,KCMH-KDFW
ENY3349,ENY,3349,ENY,KBOI-KDFW
ENY3351,ENY,3351,ENY,CYUL-KLGA
ENY3352,ENY,3352,ENY,KDFW-KSTL
ENY3353,ENY,3353,ENY,KSTL-KDFW
ENY3354,ENY,3354,ENY,KMCI-KDFW
ENY3355,ENY,3355,ENY,KDFW-KDRT-KDFW
ENY3356,ENY,3356,ENY,KMLI-KORD
ENY3357,ENY,3357,ENY,KCVG-KDFW
ENY3358,ENY,3358,ENY,KORD-KATL-KORD
ENY3359,ENY,3359,ENY,KSAV-KMIA
ENY3360,ENY,3360,ENY,KORD-KSGF
ENY3361,ENY,3361,ENY,KDFW-SKGP
ENY3363,ENY,3363,ENY,KDFW-KBOI-KDFW
ENY3365,ENY,3365,ENY,KJFK-KDCA-KJFK
ENY3366,ENY,3366,ENY,KCRP-KDFW
ENY3367,ENY,3367,ENY,KMIA-KORF
ENY3368,ENY,3368,ENY,KLGA-CYUL
ENY3369,ENY,3369,ENY,KBUF-KDFW
ENY3372,ENY,3372,ENY,KCAE-KMIA
ENY3373,ENY,3373,ENY,KDFW-KTYR
ENY3374,ENY,3374,ENY,KLGA-KDTW-KLGA
ENY3375,ENY,3375,ENY,KMIA-KSAV
ENY3376,ENY,3376,ENY,KDFW-KBOI-KDFW
ENY3377,ENY,3377,ENY,KLIT-KDFW
ENY3378,ENY,3378,ENY,KMIA-KGSP-KMIA
ENY3380,ENY,3380,ENY,KBHM-KMIA
ENY3381,ENY,3381,ENY,KMOB-KDFW
ENY3383,ENY,3383,ENY,KDFW-KLIT-KDFW
ENY3384,ENY,3384,ENY,KDFW-KXNA
ENY3386,ENY,3386,ENY,KLGA-CYYZ-KLGA
ENY3387,ENY,3387,ENY,KORD-KCWA-KORD
ENY3389,ENY,3389,ENY,KORD-KCVG-KORD
ENY3391,ENY,3391,ENY,KLGA-KCMH
ENY3392,ENY,3392,ENY,KMEM-KPHX
ENY3393,ENY,3393,ENY,KMIA-KBHM
ENY3394,ENY,3394,ENY,KDFW-KMGM-KDFW
ENY3395,ENY,3395,ENY,KCVG-KORD
ENY3396,ENY,3396,ENY,KCVG-KORD
ENY3397,ENY,3397,ENY,KDFW-KXNA-KDFW
ENY3398,ENY,3398,ENY,MMCU-KDFW
ENY3399,ENY,3399,ENY,KORD-KCMH-KORD
ENY3402,ENY,3402,ENY,KDFW-KBUF
ENY3403,ENY,3403,ENY,KPHX-KMEM
ENY3404,ENY,3404,ENY,KMIA-KSAV
ENY3405,ENY,3405,ENY,KMEM-KPHX
ENY3407,ENY,3407,ENY,KPIA-KDFW
ENY3409,ENY,3409,ENY,KDFW-KGRR
ENY3410,ENY,3410,ENY,KPVD-KORD
ENY3411,ENY,3411,ENY,KMIA-KIND
ENY3412,ENY,3412,ENY,KORD-KIND-KORD
ENY3413,ENY,3413,ENY,KDCA-KJFK
ENY3415,ENY,3415,ENY,KORD-KCOU-KORD
ENY3416,ENY,3416,ENY,KIND-KORD
ENY3417,ENY,3417,ENY,KDFW-KXNA
ENY3418,ENY,3418,ENY,KFAR-KDFW
ENY3419,ENY,3419,ENY,KLIT-KDFW
ENY3420,ENY,3420,ENY,KORD-KCOU-KORD
ENY3421,ENY,3421,ENY,KMIA-KTLH-KMIA
ENY3422,ENY,3422,ENY,KCLT-KGSO
ENY3423,ENY,3423,ENY,KDFW-KLIT-KDFW
ENY3425,ENY,3425,ENY,KDFW-KCOU
ENY3426,ENY,3426,ENY,KGNV-KMIA
ENY3427,ENY,3427,ENY,KMIA-KPNS
ENY3430,ENY,3430,ENY,CYYZ-KORD
ENY3432,ENY,3432,ENY,KTUL-KDFW
ENY3435,ENY,3435,ENY,KORD-KMCI
ENY3437,ENY,3437,ENY,KJFK-KIND
ENY3438,ENY,3438,ENY,KSHV-KDFW
ENY3439,ENY,3439,ENY,KPWM-KORD
ENY3440,ENY,3440,ENY,KSGF-KCLT
ENY3441,ENY,3441,ENY,KCVG-KJFK
ENY3443,ENY,3443,ENY,KMHK-KORD
ENY3444,ENY,3444,ENY,KCMH-KJFK
ENY3446,ENY,3446,ENY,KGSP-KMIA
ENY3447,ENY,3447,ENY,CYUL-KJFK
ENY3448,ENY,3448,ENY,KDTW-KORD
ENY3449,ENY,3449,ENY,KDFW-KCMI
ENY3450,ENY,3450,ENY,CYUL-KLGA
ENY3451,ENY,3451,ENY,KMIA-KMSY-KMIA
ENY3452,ENY,3452,ENY,KXNA-KDFW
ENY3453,ENY,3453,ENY,KORD-KGRR
ENY3455,ENY,3455,ENY,KLGA-KCHO-KLGA
ENY3456,ENY,3456,ENY,CYUL-KJFK
ENY3457,ENY,3457,ENY,KDFW-KCVG
ENY3460,ENY,3460,ENY,KDFW-KMSN-KDFW
ENY3461,ENY,3461,ENY,KDFW-MMLO-KDFW
ENY3462,ENY,3462,ENY,KORD-KAVP-KORD
ENY3463,ENY,3463,ENY,KDFW-KABI-KDFW
ENY3464,ENY,3464,ENY,KDFW-KLFT-KDFW
ENY3465,ENY,3465,ENY,KJFK-KRDU-KJFK
ENY3466,ENY,3466,ENY,KORF-KDFW
ENY3469,ENY,3469,ENY,KRDU-KLGA
ENY3470,ENY,3470,ENY,KDFW-CYYZ-KDFW
ENY3472,ENY,3472,ENY,KCLT-KGSO-KCLT
ENY3473,ENY,3473,ENY,KORD-KCID-KORD
ENY3474,ENY,3474,ENY,KORD-KCMI-KORD
ENY3475,ENY,3475,ENY,KDFW-KSGF-KDFW
ENY3476,ENY,3476,ENY,KCMH-KORD
ENY3477,ENY,3477,ENY,KORD-KHPN
ENY3478,ENY,3478,ENY,KDFW-KMEM
ENY3479,ENY,3479,ENY,KMSN-KORD
ENY3480,ENY,3480,ENY,KMIA-KORF
ENY3482,ENY,3482,ENY,KDFW-KSJT
ENY3483,ENY,3483,ENY,KMIA-KIND-KMIA
ENY3484,ENY,3484,ENY,KCLT-KFNT-KCLT
ENY3485,ENY,3485,ENY,KJFK-CYUL
ENY3486,ENY,3486,ENY,KSJT-KDFW
ENY3487,ENY,3487,ENY,KLCH-KDFW
ENY3488,ENY,3488,ENY,KPNS-KDFW
ENY3489,ENY,3489,ENY,KMIA-MYGF-KMIA
ENY3492,ENY,3492,ENY,KORD-KMLI-KORD
ENY3493,ENY,3493,ENY,KGRR-KDFW
ENY3495,ENY,3495,ENY,KORD-KRIC
ENY3496,ENY,3496,ENY,KDFW-KBPT-KDFW
ENY3497,ENY,3497,ENY,KLGA-CYUL-KLGA
ENY3498,ENY,3498,ENY,KLGA-KCHO-KLGA
ENY3499,ENY,3499,ENY,KCMH-KLGA
