Callsign,Code,Number,AirlineCode,AirportCodes
EUK45,EUK,45,EUK,EGCC-KJFK
EUK930,EUK,930,EUK,TBPB-EGCC
EUK931,EUK,931,EUK,EGCC-TBPB
EUK934,EUK,934,EUK,EGAC-EGLL
EUK935,EUK,935,EUK,EGCC-KMCO
EUK93C,EUK,93C,EUK,EGLL-EGAC
EUK93D,EUK,93D,EUK,EGAC-EGLL
EUK93H,EUK,93H,EUK,KMCO-EGCC
EUK93X,EUK,93X,EUK,EGLL-EGAC
EUK94R,EUK,94R,EUK,KJFK-EGCC
EUK980,EUK,980,EUK,EIDW-EGCC
EUK981,EUK,981,EUK,EGCC-EIDW
EUK986,EUK,986,EUK,TBPB-EGCC
EUK9HR,EUK,9HR,EUK,EGCC-KJFK
EUK9KN,EUK,9KN,EUK,EGLL-EGAC
EUK9MC,EUK,9MC,EUK,EGCC-KJFK
EUK9RE,EUK,9RE,EUK,EGAC-EGLL
EUK9VK,EUK,9VK,EUK,EGCC-KJFK
EUK9YG,EUK,9YG,EUK,KMCO-EGCC
