Callsign,Code,Number,AirlineCode,AirportCodes
EZY30,EZY,30,EZY,EGPH-EGGW
EZY3001,EZY,3001,EZY,EGSS-EHAM
EZY3002,EZY,3002,EZY,EHAM-EGSS
EZY3003,EZY,3003,EZY,EGSS-EHAM
EZY3004,EZY,3004,EZY,EHAM-EGSS
EZY3005,EZY,3005,EZY,EGAA-LEAL
EZY3006,EZY,3006,EZY,EHAM-EGSS
EZY3007,EZY,3007,EZY,EGAA-GCFV
EZY3008,EZY,3008,EZY,GCFV-EGAA
EZY3009,EZY,3009,EZY,EGAA-LEMH
EZY300J,EZY,300J,EZY,EGSS-EHAM
EZY3010,EZY,3010,EZY,EHAM-EGSS
EZY3011,EZY,3011,EZY,EGSS-EHAM
EZY3012,EZY,3012,EZY,EHAM-EGSS
EZY3015,EZY,3015,EZY,EGAA-GCFV
EZY301B,EZY,301B,EZY,LFLL-LFBZ
EZY301C,EZY,301C,EZY,EHAM-EGSS
EZY301F,EZY,301F,EZY,LFQQ-LFBD
EZY301H,EZY,301H,EZY,LFMN-LFSB
EZY301Q,EZY,301Q,EZY,EGAA-EGPH
EZY301W,EZY,301W,EZY,EGGD-LEBL
EZY301Y,EZY,301Y,EZY,LFPG-LIMC
EZY3020,EZY,3020,EZY,GCRR-EGAA
EZY3021,EZY,3021,EZY,EGSS-LDSP
EZY3022,EZY,3022,EZY,LDSP-EGSS
EZY3024,EZY,3024,EZY,LEMG-EGAA
EZY3025,EZY,3025,EZY,EGSS-LDDU
EZY3026,EZY,3026,EZY,LDDU-EGSS
EZY302B,EZY,302B,EZY,LEBL-EGGP
EZY302F,EZY,302F,EZY,EHAM-EGSS
EZY302G,EZY,302G,EZY,LFBO-LFLL
EZY302J,EZY,302J,EZY,EGGD-LIRF
EZY302K,EZY,302K,EZY,EGPF-EGGW
EZY303,EZY,303,EZY,EGPH-EGGW
EZY3031,EZY,3031,EZY,EGSS-LEBL
EZY3032,EZY,3032,EZY,LFBD-EGAA
EZY3033,EZY,3033,EZY,EGSS-BIKF
EZY3034,EZY,3034,EZY,BIKF-EGSS
EZY3035,EZY,3035,EZY,EGAA-LFPG
EZY3036,EZY,3036,EZY,LFMN-EGAA
EZY3037,EZY,3037,EZY,EGAA-LFLL
EZY303A,EZY,303A,EZY,LFLL-LFBO
EZY303L,EZY,303L,EZY,LEBB-LEMD
EZY303R,EZY,303R,EZY,LEBL-EGSS
