Callsign,Code,Number,AirlineCode,AirportCodes
FAT188F,FAT,188F,FAT,EGBB-LFSB
FAT191F,FAT,191F,FAT,EDDK-EGBB
FAT1BU,FAT,1BU,FAT,LROP-EDDK
FAT260F,FAT,260F,FAT,EDDF-EGTK
FAT2BU,FAT,2BU,FAT,EDDK-LROP
FAT2VA,FAT,2VA,FAT,EDDK-LSGG
FAT315,FAT,315,FAT,LFRS-LBPD
FAT39F,FAT,39F,FAT,LBPD-EDDK
FAT3SL,FAT,3SL,FAT,LFSB-EDDK
FAT481,FAT,481,FAT,LROP-LFOK
FAT504F,FAT,504F,FAT,LFOK-EDDK
FAT6944,FAT,6944,FAT,EDDK-EPKT
FAT6OF,FAT,6OF,FAT,EDDK-LRTR-EPKT
FAT7801,FAT,7801,FAT,EDDK-LYBE-LBSF
FAT7804,FAT,7804,FAT,EDDK-LYBE-LBSF
FAT7911,FAT,7911,FAT,LSGG-EDDK
FAT7912,FAT,7912,FAT,EDDK-LROP-LBSF
FAT7913,FAT,7913,FAT,LBSF-EDDK
FAT7973,FAT,7973,FAT,LFBD-EDDK
FAT798,FAT,798,FAT,EDDK-LFPG
FAT7OF,FAT,7OF,FAT,LRTR-EDDK
FAT7RG,FAT,7RG,FAT,LKPR-EDDK
FAT7TW,FAT,7TW,FAT,EPKT-EDDK
FAT8TW,FAT,8TW,FAT,EDDK-EPKT
FAT9VA,FAT,9VA,FAT,LSGG-LFSB
