Callsign,Code,Number,AirlineCode,AirportCodes
FCA10E,FCA,10E,FCA,LBSF-EGGD
FCA10H,FCA,10H,FCA,EGKK-LIRN
FCA10M,FCA,10M,FCA,EGCC-LOWI
FCA10P,FCA,10P,FCA,EGBB-LPFR
FCA10W,FCA,10W,FCA,EGKK-LGKR
FCA1111,FCA,1111,FCA,EGPF-LPMA
FCA1118,FCA,1118,FCA,EGNT-LGKR
FCA1142,FCA,1142,FCA,EGNT-GCLP
FCA1143,FCA,1143,FCA,GCLP-EGNT
FCA116,FCA,116,FCA,EGCC-VRMM
FCA1163,FCA,1163,FCA,LBBG-EGPF
FCA118,FCA,118,FCA,EGCC-KBGR
FCA1188,FCA,1188,FCA,EGNT-LBBG
FCA1218,FCA,1218,FCA,EGPF-LEPA
FCA1219,FCA,1219,FCA,LEPA-EGPF
FCA1222,FCA,1222,FCA,EGPF-LEAL
FCA1230,FCA,1230,FCA,EGPF-GCTS
FCA1244,FCA,1244,FCA,EGPF-LGIR
FCA1252,FCA,1252,FCA,EGPF-LERS
FCA1289,FCA,1289,FCA,GCTS-EGPF
FCA12E,FCA,12E,FCA,LEMH-EGNT
FCA12K,FCA,12K,FCA,LERS-EGNT
FCA12T,FCA,12T,FCA,EGKK-LEMG
FCA12V,FCA,12V,FCA,EGBB-LGRP
FCA1301,FCA,1301,FCA,LEIB-EGPF
FCA1308,FCA,1308,FCA,EGPF-LIPX
FCA1321,FCA,1321,FCA,LCPH-EGPF
FCA1324,FCA,1324,FCA,EGPF-LCPH
FCA1350,FCA,1350,FCA,EGNT-LGKR
FCA1355,FCA,1355,FCA,LGRP-EGPF
FCA1365,FCA,1365,FCA,LCPH-EGNT
FCA13J,FCA,13J,FCA,EGPF-LERS
FCA13Y,FCA,13Y,FCA,EGKK-LFBO
FCA1406,FCA,1406,FCA,EGPF-LEPA
FCA1434,FCA,1434,FCA,EGNT-LGIR
FCA1444,FCA,1444,FCA,EGNT-GCRR
FCA1448,FCA,1448,FCA,EGPF-GCRR
FCA1449,FCA,1449,FCA,GCRR-EGPF
FCA14D,FCA,14D,FCA,LFLB-EGCC
FCA14H,FCA,14H,FCA,EGKK-LOWI
FCA14T,FCA,14T,FCA,EGKK-GCTS
FCA1525,FCA,1525,FCA,LEPA-EGPF
FCA1558,FCA,1558,FCA,EGNT-GCTS
FCA1562,FCA,1562,FCA,EGNT-LEIB
FCA157,FCA,157,FCA,TBPB-EGCC
FCA1592,FCA,1592,FCA,EGPF-LEPA
FCA1602,FCA,1602,FCA,EGNT-EFRO
FCA1609,FCA,1609,FCA,LEIB-EGPF
FCA1612,FCA,1612,FCA,EGNT-LERS
FCA1629,FCA,1629,FCA,LEPA-EGNT
FCA163,FCA,163,FCA,MDPP-EGCC
FCA1678,FCA,1678,FCA,EGPF-LEPA
FCA168,FCA,168,FCA,EGCC-TNCA
FCA1692,FCA,1692,FCA,EGPF-LEPA
FCA1696,FCA,1696,FCA,EGPF-LEPA
FCA1697,FCA,1697,FCA,LEPA-EGPF
FCA16V,FCA,16V,FCA,EGCC-EFRO
FCA16W,FCA,16W,FCA,EGNX-LEPA
FCA1707,FCA,1707,FCA,LCPH-EGPF
FCA1729,FCA,1729,FCA,EGPF-DTMB
FCA1733,FCA,1733,FCA,EGCC-EGPF
FCA1748,FCA,1748,FCA,EGNT-LCPH
FCA1752,FCA,1752,FCA,EGPF-LGZA
FCA1776,FCA,1776,FCA,EGNT-GCTS
FCA17H,FCA,17H,FCA,LGRP-EGKK
FCA1AH,FCA,1AH,FCA,LEAL-EGPF
FCA1AV,FCA,1AV,FCA,LEPA-EGNT
