Callsign,Code,Number,AirlineCode,AirportCodes
FDB1,FDB,1,FDB,OMDB-OTHH
FDB1025,FDB,1025,FDB,OMDB-VRMM-VCBI
FDB1026,FDB,1026,FDB,VCBI-VRMM-OMDB
FDB1033,FDB,1033,FDB,OMDB-OOSA
FDB1053,FDB,1053,FDB,OMDB-LATI
FDB1054,FDB,1054,FDB,LATI-OMDB
FDB1075,FDB,1075,FDB,OMDB-LGMK
FDB1076,FDB,1076,FDB,LGMK-OMDB
FDB1077,FDB,1077,FDB,OMDB-LGKR
FDB1078,FDB,1078,FDB,LGKR-OMDB
FDB1133,FDB,1133,FDB,OMDB-VNKT
FDB1134,FDB,1134,FDB,VNKT-OMDB
FDB1163,FDB,1163,FDB,OMDB-LLBG
FDB1164,FDB,1164,FDB,LLBG-OMDB
FDB1208,FDB,1208,FDB,VRMM-OMDB
FDB1209,FDB,1209,FDB,OMDB-LLBG
FDB1210,FDB,1210,FDB,LLBG-OMDB
FDB1246,FDB,1246,FDB,LLBG-OMDB
FDB1256,FDB,1256,FDB,HTDA-HTZA-OMDB
FDB1259,FDB,1259,FDB,OMDB-HTZA
FDB1260,FDB,1260,FDB,HTZA-OMDB
FDB1265,FDB,1265,FDB,OMDB-UNNT
FDB1266,FDB,1266,FDB,UNNT-OMDB
FDB1295,FDB,1295,FDB,OMDB-LIRP
FDB1296,FDB,1296,FDB,LIRP-OMDB
FDB12G,FDB,12G,FDB,OOMS-OMDB
FDB1303,FDB,1303,FDB,OMDB-UACC
FDB1304,FDB,1304,FDB,UACC-OMDB
FDB1307,FDB,1307,FDB,OMDB-UACC
FDB1308,FDB,1308,FDB,UACC-OMDB
FDB131,FDB,131,FDB,OMDB-OOMS
FDB133,FDB,133,FDB,OMDB-OOMS
FDB134,FDB,134,FDB,OOMS-OMDB
FDB1341,FDB,1341,FDB,OMDB-UCFM
FDB135,FDB,135,FDB,OMDB-HESH-HESG
FDB1353,FDB,1353,FDB,OMDB-VRMM
FDB1354,FDB,1354,FDB,VRMM-OMDB
FDB138,FDB,138,FDB,OOMS-OMDB
FDB13Q,FDB,13Q,FDB,OMDB-LDDU
FDB140,FDB,140,FDB,HESH-OMDB
FDB1405,FDB,1405,FDB,OMDB-LHBP
FDB1406,FDB,1406,FDB,LHBP-OMDB
FDB1407,FDB,1407,FDB,OMDB-LHBP
FDB1408,FDB,1408,FDB,LHBP-OMDB
FDB1438,FDB,1438,FDB,WMSA-WMKP
FDB144,FDB,144,FDB,OJAI-OMDB
FDB1445,FDB,1445,FDB,OMDB-VTBU
FDB1446,FDB,1446,FDB,VTBU-OMDB
FDB1447,FDB,1447,FDB,OMDB-VTBU
FDB1448,FDB,1448,FDB,VTBU-OMDB
FDB1449,FDB,1449,FDB,OMDB-LOWS
FDB1450,FDB,1450,FDB,LOWS-OMDB
FDB1457,FDB,1457,FDB,OMDB-EPKK
FDB1458,FDB,1458,FDB,EPKK-OMDB
FDB1461,FDB,1461,FDB,OMDB-UCFM
FDB1462,FDB,1462,FDB,UCFM-OMDB
FDB1463,FDB,1463,FDB,OMDB-VTSG
FDB1464,FDB,1464,FDB,VTSG-OMDB
FDB1465,FDB,1465,FDB,OMDB-HTZA-HTDA
FDB1477,FDB,1477,FDB,OMDB-UCFM
FDB1481,FDB,1481,FDB,OMDB-VTSG
FDB1482,FDB,1482,FDB,VTSG-OMDB
FDB1491,FDB,1491,FDB,OMDB-LATI
FDB14B,FDB,14B,FDB,OMDB-LICC
FDB14F,FDB,14F,FDB,OMDB-OOSA
FDB14Q,FDB,14Q,FDB,OMDB-LYBE
FDB14Z,FDB,14Z,FDB,OMDB-OKKK
FDB1501,FDB,1501,FDB,OMDB-LICC
FDB1502,FDB,1502,FDB,LICC-OMDB
FDB1503,FDB,1503,FDB,OMDB-EPKK
FDB1504,FDB,1504,FDB,EPKK-OMDB
FDB1507,FDB,1507,FDB,OMDB-LIEO
FDB1508,FDB,1508,FDB,LIEO-OMDB
FDB1519,FDB,1519,FDB,OMDB-OIIE
FDB1520,FDB,1520,FDB,OIIE-OMDB
FDB1549,FDB,1549,FDB,OMDB-LLBG
FDB155,FDB,155,FDB,OMDB-OLBA
FDB1550,FDB,1550,FDB,LLBG-OMDB
FDB1569,FDB,1569,FDB,OMDB-VRMM
FDB157,FDB,157,FDB,OMDB-OLBA
