Callsign,Code,Number,AirlineCode,AirportCodes
FDY102,FDY,102,FDY,KPIT-KMGW
FDY103,FDY,103,FDY,KMGW-KBWI
FDY104,FDY,104,FDY,KBWI-KMGW
FDY152,FDY,152,FDY,KPIT-KLNS
FDY154,FDY,154,FDY,KBWI-KLNS
FDY155,FDY,155,FDY,KLNS-KPIT
FDY158,FDY,158,FDY,KPIT-KLNS
FDY180,FDY,180,FDY,KIAD-KMGW
FDY181,FDY,181,FDY,KMGW-KIAD
FDY182,FDY,182,FDY,KIAD-KMGW
FDY183,FDY,183,FDY,KMGW-KIAD
FDY194,FDY,194,FDY,KIAD-KMGW
FDY228,FDY,228,FDY,KPIT-KDUJ
FDY235,FDY,235,FDY,KPIT-KDUJ
FDY244,FDY,244,FDY,KIAD-KLNS
FDY246,FDY,246,FDY,KIAD-KLNS
FDY247,FDY,247,FDY,KLNS-KIAD
FDY276,FDY,276,FDY,KAOO-KPIT
FDY277,FDY,277,FDY,KPIT-KAOO
FDY283,FDY,283,FDY,KPIT-KAOO
FDY309,FDY,309,FDY,KLNS-KPIT
FDY351,FDY,351,FDY,KSOW-KPHX
FDY393,FDY,393,FDY,KIAD-KBFD
FDY404,FDY,404,FDY,KHRO-KDFW
FDY405,FDY,405,FDY,KDFW-KHRO
FDY408,FDY,408,FDY,KHRO-KDFW
FDY409,FDY,409,FDY,KDFW-KHRO
FDY427,FDY,427,FDY,KDFW-KELD
FDY468,FDY,468,FDY,KBFD-KPIT
FDY57,FDY,57,FDY,KBNA-KMEM
FDY672,FDY,672,FDY,PHNL-PHNY
FDY680,FDY,680,FDY,PHNL-PHNY
FDY706,FDY,706,FDY,PHNL-PHMK
FDY724,FDY,724,FDY,PHNL-PHMK
FDY802,FDY,802,FDY,KLAX-KIPL
FDY808,FDY,808,FDY,KLAX-KIPL
FDY81,FDY,81,FDY,KPBI-KTPA
FDY82,FDY,82,FDY,KTPA-KPBI
FDY822,FDY,822,FDY,PHNL-PHMK
FDY86,FDY,86,FDY,KTPA-KPBI
