Callsign,Code,Number,AirlineCode,AirportCodes
FFT10,FFT,10,FFT,MMUN-KMIA
FFT100,FFT,100,FFT,KMCO-MYNN
FFT1005,FFT,1005,FFT,KIAH-KLAS
FFT1006,FFT,1006,FFT,KGEG-KDEN-KBNA
FFT1007,FFT,1007,FFT,KALB-KMCO
FFT1009,FFT,1009,FFT,KBWI-KATL
FFT101,FFT,101,FFT,TJSJ-KATL-KMCO
FFT1010,FFT,1010,FFT,KATL-KMCO
FFT1011,FFT,1011,FFT,KMCO-KATL
FFT1012,FFT,1012,FFT,KATL-KMCO
FFT1013,FFT,1013,FFT,KMCO-KATL
FFT1014,FFT,1014,FFT,KATL-KMCO
FFT1015,FFT,1015,FFT,KMCO-KATL
FFT1016,FFT,1016,FFT,KATL-KMCO
FFT1017,FFT,1017,FFT,KMCO-KATL
FFT1018,FFT,1018,FFT,KAUS-KMCO
FFT1019,FFT,1019,FFT,KMCO-KAUS
FFT102,FFT,102,FFT,KRDU-TJSJ
FFT1020,FFT,1020,FFT,KSMF-KDEN-KBNA
FFT1022,FFT,1022,FFT,KMCO-KMDW
FFT1023,FFT,1023,FFT,KMDW-KMCO
FFT1024,FFT,1024,FFT,KMCO-KMDW
FFT1025,FFT,1025,FFT,KMDW-KMCO
FFT1026,FFT,1026,FFT,KMCO-KCLT
FFT1027,FFT,1027,FFT,KMCO-KBMI
FFT1028,FFT,1028,FFT,KMCO-KCLT-KPHL
FFT1029,FFT,1029,FFT,KCLT-KMCO-KPHL-KCLT
FFT103,FFT,103,FFT,TJSJ-KRDU
FFT1030,FFT,1030,FFT,KBNA-KMCO
FFT1031,FFT,1031,FFT,KMCO-KBNA
FFT1032,FFT,1032,FFT,KDEN-KOMA
FFT1033,FFT,1033,FFT,KBUF-KMCO
FFT1034,FFT,1034,FFT,KMCO-KBTV
FFT1035,FFT,1035,FFT,KBTV-KMCO
FFT1036,FFT,1036,FFT,KMCO-KBUF
FFT1038,FFT,1038,FFT,KMCO-KBUF
FFT1039,FFT,1039,FFT,KBUF-KMCO
FFT104,FFT,104,FFT,KMCO-TJSJ
FFT1040,FFT,1040,FFT,KMCO-KBUF
FFT1041,FFT,1041,FFT,KBUF-KMCO
FFT1042,FFT,1042,FFT,KMCO-KCLE
