Callsign,Code,Number,AirlineCode,AirportCodes
FJL500,FJL,500,FJL,OPLA-OMSJ
FJL501,FJL,501,FJL,OMSJ-OPLA
FJL502,FJL,502,FJL,OPLA-OMSJ
FJL503,FJL,503,FJL,OMSJ-OPLA
FJL512,FJL,512,FJL,OPLA-OMDB
FJL513,FJL,513,FJL,OMDB-OPLA
FJL530,FJL,530,FJL,OPLA-OBBI
FJL531,FJL,531,FJL,OBBI-OPLA
FJL550,FJL,550,FJL,OPLA-OOMS
FJL551,FJL,551,FJL,OOMS-OPLA
FJL570,FJL,570,FJL,OPLA-OEDF
FJL571,FJL,571,FJL,OEDF-OPLA
FJL580,FJL,580,FJL,OPLA-OERK
FJL581,FJL,581,FJL,OERK-OPLA
FJL586,FJL,586,FJL,OPLA-OEJN
FJL587,FJL,587,FJL,OEJN-OPLA
FJL600,FJL,600,FJL,OPKC-OEJN
FJL601,FJL,601,FJL,OEJN-OPKC
FJL670,FJL,670,FJL,OPKC-OPIS
FJL671,FJL,671,FJL,OPIS-OPKC
FJL672,FJL,672,FJL,OPKC-OPIS
FJL673,FJL,673,FJL,OPIS-OPKC
FJL674,FJL,674,FJL,OPKC-OPIS
FJL675,FJL,675,FJL,OPIS-OPKC
FJL676,FJL,676,FJL,OPKC-OPIS
FJL677,FJL,677,FJL,OPIS-OPKC
FJL700,FJL,700,FJL,OPIS-OEJN
FJL701,FJL,701,FJL,OEJN-OPIS
FJL710,FJL,710,FJL,OPIS-OEDF
FJL711,FJL,711,FJL,OEDF-OPIS
FJL724,FJL,724,FJL,OPIS-OOMS
FJL725,FJL,725,FJL,OOMS-OPIS
FJL740,FJL,740,FJL,OPIS-OMSJ
FJL741,FJL,741,FJL,OMSJ-OPIS
FJL742,FJL,742,FJL,OPIS-OMSJ
FJL743,FJL,743,FJL,OMSJ-OPIS
FJL744,FJL,744,FJL,OPIS-OMSJ
FJL745,FJL,745,FJL,OMSJ-OPIS
FJL764,FJL,764,FJL,OPIS-OBBI
FJL765,FJL,765,FJL,OBBI-OPIS
FJL780,FJL,780,FJL,OPIS-OERK
FJL781,FJL,781,FJL,OERK-OPIS
FJL810,FJL,810,FJL,OPKC-OPFA
FJL811,FJL,811,FJL,OPFA-OPKC
FJL820,FJL,820,FJL,OPKC-OPST
FJL821,FJL,821,FJL,OPST-OPKC
FJL840,FJL,840,FJL,OPKC-OPLA
FJL841,FJL,841,FJL,OPLA-OPKC
FJL842,FJL,842,FJL,OPKC-OPLA
FJL843,FJL,843,FJL,OPLA-OPKC
FJL846,FJL,846,FJL,OPKC-OPLA
FJL847,FJL,847,FJL,OPLA-OPKC
FJL847D,FJL,847D,FJL,OPLA-OPKC
FJL851,FJL,851,FJL,OPKC-OPQT
FJL852,FJL,852,FJL,OPQT-OPKC
FJL857,FJL,857,FJL,OPQT-OPIS
FJL858,FJL,858,FJL,OPIS-OPQT
FJL865,FJL,865,FJL,OPKC-OPPS
FJL866,FJL,866,FJL,OPPS-OPKC
FJL870,FJL,870,FJL,OPKC-OPMT
FJL871,FJL,871,FJL,OPMT-OPKC
