Callsign,Code,Number,AirlineCode,AirportCodes
FJM120,FJM,120,FJM,KJFK-MKJP
FJM121,FJM,121,FJM,MKJP-KJFK
FJM122,FJM,122,FJM,KJFK-MKJP
FJM123,FJM,123,FJM,MKJP-KJFK
FJM124,FJM,124,FJM,KJFK-MKJP-SYCJ
FJM141,FJM,141,FJM,MKJP-CYYZ
FJM144,FJM,144,FJM,CYYZ-SYCJ
FJM145,FJM,145,FJM,SYCJ-CYYZ
FJM146,FJM,146,FJM,CYYZ-SYCJ
FJM147,FJM,147,FJM,SYCJ-CYYZ
FJM152,FJM,152,FJM,MKJP-SYCJ
FJM172,FJM,172,FJM,KJFK-SYCJ
FJM173,FJM,173,FJM,MKJP-SYCJ-KJFK
FJM252,FJM,252,FJM,MKJP-CYYZ
FJM253,FJM,253,FJM,CYYZ-MKJP
FJM256,FJM,256,FJM,SYCJ-CYYZ
FJM258,FJM,258,FJM,SYCJ-CYYZ
FJM262,FJM,262,FJM,SYCJ-MKJP
FJM277,FJM,277,FJM,KJFK-MKJP-SYCJ
