Callsign,Code,Number,AirlineCode,AirportCodes
FPO100F,FPO,100F,FPO,EBLG-LFML
FPO1025,FPO,1025,FPO,LFLL-DAAG
FPO1026,FPO,1026,FPO,DAAG-LFLL
FPO102Z,FPO,102Z,FPO,LIPZ-EGFF
FPO1037,FPO,1037,FPO,LFPG-DAAG
FPO1038,FPO,1038,FPO,DAAG-LFPG
FPO1046,FPO,1046,FPO,DAAE-LFPG
FPO1052,FPO,1052,FPO,DAAG-LFPG
FPO105T,FPO,105T,FPO,EGPD-EGPF
FPO1074,FPO,1074,FPO,DAAG-LFQQ
FPO1079,FPO,1079,FPO,LFPG-DAAG
FPO107B,FPO,107B,FPO,LFMN-EGFF
FPO107V,FPO,107V,FPO,LFPG-EIDW
FPO1098,FPO,1098,FPO,LFBP-LFPG
FPO109B,FPO,109B,FPO,LFBO-EGFF
FPO10T,FPO,10T,FPO,LIEA-LFPG
FPO11,FPO,11,FPO,LFPG-EBLG
FPO111,FPO,111,FPO,LFPG-HELX
FPO112,FPO,112,FPO,HELX-LFPG
FPO112F,FPO,112F,FPO,EDVK-EPWR
FPO113T,FPO,113T,FPO,LFPG-EGPF
FPO116B,FPO,116B,FPO,LDSP-LFRS
FPO117T,FPO,117T,FPO,EGPF-EGPD
FPO118T,FPO,118T,FPO,LEPA-EGPD
FPO11W,FPO,11W,FPO,LFPG-LDSP
FPO121,FPO,121,FPO,EKCH-LGKO
FPO1255,FPO,1255,FPO,LFPG-EDDP
FPO1256,FPO,1256,FPO,EDDP-LFPG
FPO127B,FPO,127B,FPO,LFPG-LEAS
FPO12F,FPO,12F,FPO,LDSP-LFQQ
FPO12X,FPO,12X,FPO,LDSP-LFPG
FPO134Z,FPO,134Z,FPO,LEZL-LFRB
FPO1361,FPO,1361,FPO,EGNX-LIMC
FPO1362,FPO,1362,FPO,LIMC-EGNX
FPO1363,FPO,1363,FPO,LIMC-EGNX
FPO13W,FPO,13W,FPO,LFPG-LICJ
FPO1443,FPO,1443,FPO,EDDK-LEMD
FPO1444,FPO,1444,FPO,LEMD-EDDK
FPO147T,FPO,147T,FPO,LYBE-LFPG
FPO14X,FPO,14X,FPO,LICJ-LFPG
FPO150K,FPO,150K,FPO,LICJ-LFRS
FPO1539,FPO,1539,FPO,LIMC-EDDV
FPO154V,FPO,154V,FPO,LFRS-LFRB
FPO156Q,FPO,156Q,FPO,LGTS-LFRS
FPO158F,FPO,158F,FPO,EGPH-LFPG
FPO15Z,FPO,15Z,FPO,LFPG-HELX
FPO16,FPO,16,FPO,EBBR-LFPG
FPO161,FPO,161,FPO,LFPG-DAAG
FPO162,FPO,162,FPO,DAAG-LFPG
FPO165D,FPO,165D,FPO,GMFO-LFLL
FPO166,FPO,166,FPO,DAAG-LFPG
FPO16Z,FPO,16Z,FPO,LICC-LFLL
FPO171,FPO,171,FPO,LFPO-DAAG
FPO17D,FPO,17D,FPO,LFPG-LGSR
FPO182,FPO,182,FPO,LFTH-LFQQ
FPO183,FPO,183,FPO,LFTH-DAAG
FPO184,FPO,184,FPO,DAAG-LFTH
FPO18E,FPO,18E,FPO,LGSR-LFPG
FPO191F,FPO,191F,FPO,LFLL-EIDW
FPO1990,FPO,1990,FPO,EDDP-UGTB-OAMS
FPO1991,FPO,1991,FPO,OAMS-UGTB-EDDP
FPO19E,FPO,19E,FPO,LFPG-LICB
FPO1G,FPO,1G,FPO,LFPG-LIEO
FPO1UN,FPO,1UN,FPO,LFPG-EPKT-EYKA
FPO201A,FPO,201A,FPO,LFPG-LGIR
FPO202A,FPO,202A,FPO,LEPA-LFPG
FPO203A,FPO,203A,FPO,LFRS-LTAI
FPO206C,FPO,206C,FPO,LGIR-LFRS
FPO207C,FPO,207C,FPO,LFPG-LCPH
FPO208C,FPO,208C,FPO,LCPH-LFPG
FPO209B,FPO,209B,FPO,LFPG-LICJ
FPO209C,FPO,209C,FPO,LFRS-LCPH
FPO20G,FPO,20G,FPO,LICB-LFPG
FPO21,FPO,21,FPO,LFBD-EBLG
FPO210B,FPO,210B,FPO,LICJ-LFPG
FPO210C,FPO,210C,FPO,LCPH-LFLL-LFRS
FPO211,FPO,211,FPO,LFPG-DAAG
FPO211B,FPO,211B,FPO,LFPG-LDSP
FPO213,FPO,213,FPO,LFPG-LLBG
FPO214D,FPO,214D,FPO,LFKC-LFPG
FPO216E,FPO,216E,FPO,GCXO-LFMN-LFPG
FPO22,FPO,22,FPO,EBLG-LFLL
FPO223G,FPO,223G,FPO,LFPG-LICC
FPO228Z,FPO,228Z,FPO,LGIR-LFPG
FPO231Y,FPO,231Y,FPO,LFRK-LFKJ
FPO232K,FPO,232K,FPO,LGRP-LFPG
FPO233D,FPO,233D,FPO,LFRS-LCPH
FPO233Q,FPO,233Q,FPO,LFPG-LGIR
FPO234K,FPO,234K,FPO,EFKT-LFPG
FPO234Q,FPO,234Q,FPO,LGIR-LFPG
FPO235D,FPO,235D,FPO,LFBO-LCPH
FPO238G,FPO,238G,FPO,LCPH-LFRS
FPO239B,FPO,239B,FPO,LFRS-LFRB-LIPZ
FPO240B,FPO,240B,FPO,LIPZ-LFBO-LFRS
FPO241D,FPO,241D,FPO,LFPG-LEPA
FPO242D,FPO,242D,FPO,LEPA-LFPG
FPO242M,FPO,242M,FPO,LGRP-LFPG
FPO243,FPO,243,FPO,LFPG-EGJJ-LPMA
FPO244,FPO,244,FPO,LPMA-EGJJ-LFPG
FPO244P,FPO,244P,FPO,EGJJ-LFPG
FPO246P,FPO,246P,FPO,LEPA-LFPG
FPO25,FPO,25,FPO,LFBD-LFPG
FPO251R,FPO,251R,FPO,LFML-LTAI
FPO255R,FPO,255R,FPO,LFPO-UWWW
FPO256Q,FPO,256Q,FPO,LGTS-LFBO-LFRS
FPO256R,FPO,256R,FPO,UWWW-LFPG
FPO258U,FPO,258U,FPO,LDDU-LFPG
FPO26,FPO,26,FPO,LFML-LFPG
FPO260R,FPO,260R,FPO,LFLL-LFML
FPO261B,FPO,261B,FPO,LFPG-LGRP
FPO261D,FPO,261D,FPO,LEMD-LIBD
FPO262B,FPO,262B,FPO,LGRP-LFPG
FPO262D,FPO,262D,FPO,LIBD-LEMD
FPO263B,FPO,263B,FPO,LFRB-LGRP
FPO265U,FPO,265U,FPO,LFPG-LGKR
FPO266,FPO,266,FPO,DAAG-LFPG
FPO267U,FPO,267U,FPO,LFPG-LTBJ
FPO268U,FPO,268U,FPO,LTBJ-LFPG
FPO269U,FPO,269U,FPO,LFRS-LGRP
FPO26F,FPO,26F,FPO,LFML-LFPG
FPO26H,FPO,26H,FPO,LGRP-LFPG
FPO27,FPO,27,FPO,LFPG-LFML
FPO271,FPO,271,FPO,LFPG-DAAG
FPO272,FPO,272,FPO,DAAG-LFPG
FPO273,FPO,273,FPO,LFLL-DAAG
FPO274,FPO,274,FPO,DAAG-LFLL
FPO274G,FPO,274G,FPO,LTFE-LFRS
FPO275,FPO,275,FPO,LFPG-DAAG
FPO275B,FPO,275B,FPO,LFPG-LBBG
FPO276,FPO,276,FPO,DAAG-LFPG
FPO276Q,FPO,276Q,FPO,LGIR-LFRS
FPO277P,FPO,277P,FPO,LFPG-LEPA
FPO281,FPO,281,FPO,LFPG-DAAE
FPO281M,FPO,281M,FPO,LFPG-EFKT
FPO282,FPO,282,FPO,DAAE-LFPG
FPO282M,FPO,282M,FPO,EFKT-LFPG
FPO283W,FPO,283W,FPO,LFPG-LGAV
FPO284W,FPO,284W,FPO,LGAV-LFPG
FPO285E,FPO,285E,FPO,LFML-LDDU
FPO29,FPO,29,FPO,LFPG-EDDB
FPO290L,FPO,290L,FPO,LLBG-LIME
FPO294L,FPO,294L,FPO,LBBG-LGTS-LFLL
FPO2D,FPO,2D,FPO,LEPA-LFPG
FPO2H,FPO,2H,FPO,LIEO-LFPG
FPO2IX,FPO,2IX,FPO,EVRA-EKCH-LFPG
FPO2JU,FPO,2JU,FPO,LFPG-LIPZ-LJLJ
FPO2K,FPO,2K,FPO,EPKK-LFPG
FPO2KN,FPO,2KN,FPO,EYKA-LKPR-LFPG
FPO2MP,FPO,2MP,FPO,LHBP-LFPG
FPO2UN,FPO,2UN,FPO,EYKA-LKPR-LFPG
FPO302Z,FPO,302Z,FPO,LIPZ-LFPG
FPO308N,FPO,308N,FPO,LFRS-EGPD
FPO313,FPO,313,FPO,LLBG-LFPG
FPO314C,FPO,314C,FPO,EGFF-LFLL
FPO315A,FPO,315A,FPO,LFPG-LLBG
FPO315B,FPO,315B,FPO,LFPG-EFRO
FPO316B,FPO,316B,FPO,EFRO-LFPG
FPO316G,FPO,316G,FPO,EIDW-LFPG
FPO31Q,FPO,31Q,FPO,LFPG-LGSY
FPO321,FPO,321,FPO,LFPG-DABB
FPO321C,FPO,321C,FPO,LFPG-LEPA
FPO322,FPO,322,FPO,DABB-LFPG
FPO327B,FPO,327B,FPO,LEAS-LFBO
FPO327K,FPO,327K,FPO,LFPG-BIKF
FPO32S,FPO,32S,FPO,LGSY-LFPG
FPO33F,FPO,33F,FPO,EDDV-EBLG
FPO343A,FPO,343A,FPO,LFPG-EGPH
FPO349Y,FPO,349Y,FPO,LFPG-EDDB
FPO34F,FPO,34F,FPO,EBLG-EDDB
FPO35,FPO,35,FPO,LFPG-LYBE
FPO350M,FPO,350M,FPO,LEPA-LFLL
FPO355M,FPO,355M,FPO,LFLL-LTAI
FPO356M,FPO,356M,FPO,LTFE-LFLL
FPO357,FPO,357,FPO,LFQQ-DAOO
FPO357M,FPO,357M,FPO,LFLL-LIEO
FPO358,FPO,358,FPO,DAOO-LFQQ
FPO359,FPO,359,FPO,LFMP-DAOO
FPO359M,FPO,359M,FPO,LFRB-LIEO
FPO360,FPO,360,FPO,DAOO-LFMP
FPO364,FPO,364,FPO,DAAG-LFQQ
FPO371M,FPO,371M,FPO,LFST-LEPA
FPO372M,FPO,372M,FPO,LEPA-LFST
FPO378H,FPO,378H,FPO,LLOV-LFPG
FPO37B,FPO,37B,FPO,LFPG-LGIR
FPO37D,FPO,37D,FPO,LFPG-GVAC
FPO37W,FPO,37W,FPO,LFPG-LGIR
FPO380M,FPO,380M,FPO,LGRP-LFRS
FPO383,FPO,383,FPO,LFQQ-DAAE-DAAS-LFQQ
FPO383M,FPO,383M,FPO,LFLL-LTFE
FPO384M,FPO,384M,FPO,LGKO-LFRG
FPO385,FPO,385,FPO,LFQQ-DAAE
FPO386,FPO,386,FPO,DAAE-LFQQ
FPO387,FPO,387,FPO,LFPG-DAAE
FPO388,FPO,388,FPO,DAAE-LFPG
FPO38D,FPO,38D,FPO,LGIR-LFPG
