Callsign,Code,Number,AirlineCode,AirportCodes
FSC101,FSC,101,FSC,GCFV-EDDC
FSC106,FSC,106,FSC,EDDB-LEPA
FSC125,FSC,125,FSC,LGIR-EDDF
FSC14,FSC,14,FSC,EDDF-HEGN
FSC146,FSC,146,FSC,EDDF-LEPA
FSC163F,FSC,163F,FSC,EDDE-EDDF
FSC1749,FSC,1749,FSC,UTTT-EDDL
FSC175F,FSC,175F,FSC,EDDE-EDDH
FSC180,FSC,180,FSC,LFSB-EDVE
FSC1802,FSC,1802,FSC,EDVE-UUWW
FSC1803,FSC,1803,FSC,UUWW-EDVE
FSC183,FSC,183,FSC,EDVE-EDDL
FSC185,FSC,185,FSC,UUWW-EDDL
FSC185F,FSC,185F,FSC,UUWW-EDDH
FSC1893,FSC,1893,FSC,EGSS-LFSB
FSC2027,FSC,2027,FSC,EDDC-EDDS
FSC2031,FSC,2031,FSC,LHSM-EDDC
FSC203F,FSC,203F,FSC,EDDH-EDDE
FSC204F,FSC,204F,FSC,EDDE-EDDH
FSC2133,FSC,2133,FSC,LHDC-EDDE
FSC2233,FSC,2233,FSC,LEPA-EDDK
FSC2389,FSC,2389,FSC,LEPA-EDDL
FSC2439,FSC,2439,FSC,LEPA-EDNY
FSC2468,FSC,2468,FSC,EDNY-LEPA
FSC28,FSC,28,FSC,EDDF-LEJR
FSC2843,FSC,2843,FSC,LEJR-EDDH
FSC2911,FSC,2911,FSC,GCFV-EDDW
FSC2946,FSC,2946,FSC,EDDW-GCTS
FSC2947,FSC,2947,FSC,GCTS-EDDW
FSC2975,FSC,2975,FSC,GCTS-EDDH
FSC316,FSC,316,FSC,LFPG-EGNM
FSC3217,FSC,3217,FSC,GCTS-EDDC
FSC324,FSC,324,FSC,EDDF-LEJR
FSC3262,FSC,3262,FSC,EDDC-EDNY
FSC3281,FSC,3281,FSC,GCRR-EDDH
FSC3365,FSC,3365,FSC,GCFV-EDDC
FSC3369,FSC,3369,FSC,GCFV-EDNY
FSC336F,FSC,336F,FSC,EDDC-EDDH
FSC3397,FSC,3397,FSC,GCLP-EDDL
FSC352,FSC,352,FSC,EDDL-EDDC
FSC3523,FSC,3523,FSC,GCFV-EDDG
FSC3534,FSC,3534,FSC,EDDC-GCLP
FSC3535,FSC,3535,FSC,GCLP-EDDC
FSC354,FSC,354,FSC,EDDL-EDDM
FSC3547,FSC,3547,FSC,GCFV-EDDM
FSC3575,FSC,3575,FSC,GCTS-EDDC
FSC3577,FSC,3577,FSC,GCLP-EDDC
FSC3589,FSC,3589,FSC,GCTS-EDDC
FSC359,FSC,359,FSC,EDDC-EDDL
FSC36,FSC,36,FSC,EDDF-GCTS
FSC37,FSC,37,FSC,GCTS-EDDF
FSC381,FSC,381,FSC,LFSB-EHAM
FSC400,FSC,400,FSC,EDDL-EGSS
FSC406,FSC,406,FSC,EDDM-LGSA
FSC424,FSC,424,FSC,EDDB-LEPA
FSC425,FSC,425,FSC,LEPA-EDDB
FSC4252,FSC,4252,FSC,EDDG-LGIR
FSC4253,FSC,4253,FSC,LGIR-EDDG
FSC4255,FSC,4255,FSC,LGIR-EDDC
FSC4321,FSC,4321,FSC,LGRP-EDDL
FSC4364,FSC,4364,FSC,EDDC-LGKO
FSC4365,FSC,4365,FSC,LGKO-EDDC
FSC4411,FSC,4411,FSC,SKRG-SKBO
FSC443F,FSC,443F,FSC,EDDW-EDDG
FSC444T,FSC,444T,FSC,EDDH-EDOP
FSC4456,FSC,4456,FSC,EDNY-LGIR
FSC445T,FSC,445T,FSC,EDDH-EDOP
FSC464F,FSC,464F,FSC,EDDL-EDNY
FSC51,FSC,51,FSC,LTFE-EDDL
FSC515,FSC,515,FSC,LTCG-EDDL
FSC522F,FSC,522F,FSC,EDDH-UUDD
FSC5429,FSC,5429,FSC,HEGN-EDDW
FSC545F,FSC,545F,FSC,EDDK-EDLP
FSC5480,FSC,5480,FSC,EDDH-HEGN
FSC5481,FSC,5481,FSC,EDDV-EDDH
FSC5513,FSC,5513,FSC,HEGN-EDDL
FSC5549,FSC,5549,FSC,HEGN-EDDC
FSC5589,FSC,5589,FSC,HEGN-EDDL
FSC5657,FSC,5657,FSC,LTAC-EDLW
FSC5786,FSC,5786,FSC,EDDF-LTAT
FSC58,FSC,58,FSC,LEPA-EDDM
FSC5810,FSC,5810,FSC,EDDH-LTAI
FSC5811,FSC,5811,FSC,LTAI-EDDH
FSC5820,FSC,5820,FSC,EDDH-LTAI
FSC5821,FSC,5821,FSC,LTAI-EDDH
FSC5830,FSC,5830,FSC,EDDH-LTAI
FSC5831,FSC,5831,FSC,LTAI-EDDH
FSC5840,FSC,5840,FSC,EDDH-LTAI
FSC5841,FSC,5841,FSC,LTAI-EDDH
FSC584F,FSC,584F,FSC,EDDH-EDJA
FSC5850,FSC,5850,FSC,EDDH-LTAI
FSC5851,FSC,5851,FSC,LTAI-EDDH
FSC585F,FSC,585F,FSC,EDDM-EDDH
FSC5860,FSC,5860,FSC,EDDH-LTAI
FSC5861,FSC,5861,FSC,LTAI-EDDH
FSC586F,FSC,586F,FSC,EDJA-EDDH
FSC5870,FSC,5870,FSC,EDDH-LTAI
FSC5871,FSC,5871,FSC,LTAI-EDDH
FSC5928,FSC,5928,FSC,EDNY-LTAI
FSC5929,FSC,5929,FSC,LTAI-EDNY
FSC5962,FSC,5962,FSC,EDDW-LTAI
FSC5963,FSC,5963,FSC,LTAI-EDDW
FSC597,FSC,597,FSC,LTAI-EDDC
FSC5972,FSC,5972,FSC,EDSB-LTAI
FSC5973,FSC,5973,FSC,LTAI-EDSB
FSC5975,FSC,5975,FSC,LTAI-EDDC
FSC6081,FSC,6081,FSC,LTAI-EDDL
FSC6096,FSC,6096,FSC,EDDL-LTAI
FSC6097,FSC,6097,FSC,LTAI-EDDL
FSC6103,FSC,6103,FSC,LTAI-EDDL
FSC6189,FSC,6189,FSC,LTBJ-EDDL
FSC6190,FSC,6190,FSC,EDDL-LTAI
FSC6191,FSC,6191,FSC,LTAI-EDDL
FSC619F,FSC,619F,FSC,EDDC-EDDL
FSC6231,FSC,6231,FSC,LTFH-EDDV
FSC628,FSC,628,FSC,EDDL-LEPA
FSC6283,FSC,6283,FSC,LTAI-EDRZ
FSC6289,FSC,6289,FSC,LTAI-EDRZ
